,the,area,where,jacksonville,currently,sits,has,been,inhabited,for,how,many,years,?
the,1.0,0.37834644317626953,0.5003893971443176,0.2176690250635147,0.2945235073566437,0.3599841296672821,0.4177538752555847,0.3563927710056305,0.2579440772533417,0.4739971458911896,0.33890387415885925,0.4335206151008606,0.2912273406982422,0.22068053483963013
area,0.37834644317626953,1.0,0.3338260352611542,0.24562028050422668,0.15353551506996155,0.22337940335273743,0.3084876537322998,0.25130510330200195,0.46879640221595764,0.20941852033138275,0.17030490934848785,0.2414858043193817,0.13933950662612915,0.12640461325645447
of,0.733189046382904,0.3409860134124756,0.38066378235816956,0.23084138333797455,0.2655649185180664,0.2692330479621887,0.3909035325050354,0.31685134768486023,0.2573133707046509,0.4185989499092102,0.2480744868516922,0.37253960967063904,0.2904134690761566,0.1826142966747284
the,1.0,0.37834644317626953,0.5003893971443176,0.2176690250635147,0.2945235073566437,0.3599841296672821,0.4177538752555847,0.3563927710056305,0.2579440772533417,0.4739971458911896,0.33890387415885925,0.4335206151008606,0.2912273406982422,0.22068053483963013
modern,0.3283970355987549,0.1968824565410614,0.2249264419078827,0.07692307233810425,0.10109947621822357,0.10819792747497559,0.2644438147544861,0.2675687074661255,0.2380494475364685,0.22431503236293793,0.15316444635391235,0.32647043466567993,0.18850623071193695,0.12475407868623734
city,0.35769423842430115,0.41959723830223083,0.2686662971973419,0.3285287022590637,0.19350260496139526,0.18412719666957855,0.2476206123828888,0.1773093044757843,0.2798847258090973,0.18687109649181366,0.12024712562561035,0.21416836977005005,0.17960485816001892,0.13423943519592285
of,0.733189046382904,0.3409860134124756,0.38066378235816956,0.23084138333797455,0.2655649185180664,0.2692330479621887,0.3909035325050354,0.31685134768486023,0.2573133707046509,0.4185989499092102,0.2480744868516922,0.37253960967063904,0.2904134690761566,0.1826142966747284
jacksonville,0.2176690250635147,0.24562028050422668,0.18960021436214447,1.0000001192092896,0.1960514634847641,0.1352902054786682,0.22732819616794586,0.1600666642189026,0.07520169019699097,0.28549739718437195,0.165566086769104,0.19504043459892273,0.2367369830608368,0.1359667330980301
has,0.4177538752555847,0.3084876537322998,0.32190436124801636,0.22732819616794586,0.3354577422142029,0.26866593956947327,1.0,0.6162750124931335,0.28402310609817505,0.450642853975296,0.26820555329322815,0.4266262650489807,0.25622743368148804,0.15994466841220856
been,0.3563927710056305,0.25130510330200195,0.24669882655143738,0.1600666642189026,0.39931994676589966,0.1891476809978485,0.6162750124931335,0.9999998807907104,0.30828484892845154,0.39068686962127686,0.26456597447395325,0.4963826537132263,0.36026424169540405,0.24354910850524902
inhabited,0.2579440772533417,0.46879640221595764,0.18834374845027924,0.07520169019699097,0.15517133474349976,0.2381756752729416,0.28402310609817505,0.30828484892845154,1.0,0.12310535460710526,0.09796980023384094,0.20883247256278992,0.22221608459949493,0.12792479991912842
for,0.4739971458911896,0.20941852033138275,0.38599511981010437,0.28549739718437195,0.4316125214099884,0.2512679100036621,0.450642853975296,0.39068686962127686,0.12310535460710526,0.9999999403953552,0.3308170735836029,0.40972793102264404,0.2878222167491913,0.264628142118454
thousands,0.2934577763080597,0.23170329630374908,0.3188665807247162,0.1836935430765152,0.11818364262580872,0.13361003994941711,0.22849085927009583,0.36183127760887146,0.302524209022522,0.2778078615665436,0.2813407778739929,0.5732859373092651,0.3828625977039337,0.15520451962947845
of,0.733189046382904,0.3409860134124756,0.38066378235816956,0.23084138333797455,0.2655649185180664,0.2692330479621887,0.3909035325050354,0.31685134768486023,0.2573133707046509,0.4185989499092102,0.2480744868516922,0.37253960967063904,0.2904134690761566,0.1826142966747284
years,0.2912273406982422,0.13933950662612915,0.26697102189064026,0.2367369830608368,0.2178831398487091,0.16154389083385468,0.25622743368148804,0.36026424169540405,0.22221608459949493,0.2878222167491913,0.21949264407157898,0.2731519937515259,1.0,0.1914375126361847
.,0.5934505462646484,0.2760866582393646,0.41390106081962585,0.2843366861343384,0.29744869470596313,0.24295413494110107,0.4105546176433563,0.33645182847976685,0.17485760152339935,0.4726039469242096,0.3287222981452942,0.3974229395389557,0.31919315457344055,0.4130953550338745
