,how,many,times,did,southern,california,attempt,to,achieve,a,separate,statehood,?
subsequently,0.19233055412769318,0.2233906239271164,0.18218164145946503,0.24780967831611633,0.11294082552194595,0.16253405809402466,0.2397119402885437,0.29023027420043945,0.10369766503572464,0.1586967557668686,0.19369661808013916,0.13416428864002228,0.005594457965344191
",",0.22659391164779663,0.40610817074775696,0.2897866368293762,0.3015086054801941,0.2795628309249878,0.2704589068889618,0.19646479189395905,0.44245919585227966,0.17202849686145782,0.427140474319458,0.2999747693538666,0.2897523045539856,0.31091248989105225
californios,0.1450878232717514,0.26042941212654114,0.13206222653388977,0.155897855758667,0.31217095255851746,0.9074768424034119,0.1172647625207901,0.20502883195877075,0.17293652892112732,0.2747225761413574,0.13439030945301056,0.22199536859989166,0.15866388380527496
(,0.1676948219537735,0.1455259770154953,0.19763468205928802,0.18979617953300476,0.20017468929290771,0.16755922138690948,0.10127637535333633,0.30882009863853455,0.12767936289310455,0.3206180930137634,0.14614900946617126,0.19409941136837006,0.40561532974243164
dissatisfied,0.2729230225086212,0.2732292413711548,0.20403024554252625,0.3288135230541229,0.12274621427059174,0.10540738701820374,0.1918366253376007,0.26055023074150085,0.22777195274829865,0.21467028558254242,0.1754569560289383,0.29756632447242737,0.1946241557598114
with,0.3525622487068176,0.35744401812553406,0.3026435673236847,0.25472134351730347,0.18574869632720947,0.1391957849264145,0.14728452265262604,0.4239959120750427,0.22856736183166504,0.3783375024795532,0.29082512855529785,0.11309412866830826,0.2433311939239502
inequitable,0.346825510263443,0.24769431352615356,0.14254935085773468,0.20935240387916565,0.20876501500606537,0.18419893085956573,0.2359025776386261,0.2756721079349518,0.3203718066215515,0.2881287634372711,0.288932740688324,0.33114418387413025,0.25996339321136475
taxes,0.23697666823863983,0.2628365457057953,0.172980397939682,0.260954886674881,0.0726444199681282,0.1615370810031891,0.16505596041679382,0.2727338671684265,0.24533165991306305,0.19554322957992554,0.19692417979240417,0.35940825939178467,0.18323048949241638
and,0.33647966384887695,0.5296266674995422,0.2611900568008423,0.34479495882987976,0.24232792854309082,0.2441616654396057,0.22292351722717285,0.48971283435821533,0.23828470706939697,0.3739250600337982,0.334524005651474,0.19261673092842102,0.20544172823429108
land,0.1918935328722,0.19642266631126404,0.1410026103258133,0.19881628453731537,0.25394871830940247,0.15137773752212524,0.13744714856147766,0.2885280251502991,0.19980493187904358,0.247930645942688,0.1498863697052002,0.1921084076166153,0.1432059109210968
laws,0.295886754989624,0.28634124994277954,0.20627649128437042,0.2617504894733429,0.17411479353904724,0.14587156474590302,0.23164312541484833,0.2910608649253845,0.22535285353660583,0.1722979098558426,0.2382258027791977,0.36479154229164124,0.17911791801452637
),0.17939934134483337,0.16602720320224762,0.19210705161094666,0.18584993481636047,0.18959444761276245,0.19286775588989258,0.11806698143482208,0.31236231327056885,0.1478099375963211,0.3640355169773102,0.1628994345664978,0.18989738821983337,0.42300865054130554
and,0.33647966384887695,0.5296266674995422,0.2611900568008423,0.34479495882987976,0.24232792854309082,0.2441616654396057,0.22292351722717285,0.48971283435821533,0.23828470706939697,0.3739250600337982,0.334524005651474,0.19261673092842102,0.20544172823429108
pro-slavery,0.2595643401145935,0.28848737478256226,0.152515709400177,0.30509352684020996,0.25176143646240234,0.147145614027977,0.24908393621444702,0.28536051511764526,0.24416965246200562,0.23459206521511078,0.245132714509964,0.5213154554367065,0.2742362916469574
southerners,0.2766358554363251,0.31145310401916504,0.18959133327007294,0.31787344813346863,0.6575411558151245,0.23713412880897522,0.24756290018558502,0.30489084124565125,0.23379714787006378,0.27403801679611206,0.22874104976654053,0.44546422362327576,0.18071049451828003
