,when,is,luther,commemorated,by,the,church,of,england,?
in,0.4431333839893341,0.5394441485404968,0.20523880422115326,0.35010388493537903,0.370934396982193,0.6662389636039734,0.2493300437927246,0.5696388483047485,0.33311840891838074,0.20430970191955566
the,0.5091903209686279,0.5823672413825989,0.1759674996137619,0.32209500670433044,0.4408751428127289,1.0,0.23846197128295898,0.733189046382904,0.28280043601989746,0.22068053483963013
church,0.20053261518478394,0.203276589512825,0.379041463136673,0.279051274061203,0.135782390832901,0.23846197128295898,0.9999999403953552,0.3079429268836975,0.29048699140548706,0.18081501126289368
of,0.3757161796092987,0.4854315221309662,0.1719115972518921,0.3065877854824066,0.3646814823150635,0.733189046382904,0.3079429268836975,1.0,0.24624483287334442,0.1826142966747284
england,0.26359328627586365,0.19271282851696014,0.17883558571338654,0.2563880681991577,0.21564382314682007,0.28280043601989746,0.29048699140548706,0.24624483287334442,0.9999998807907104,0.13436897099018097
's,-0.03368149697780609,0.02396530658006668,-0.009990512393414974,0.07070214301347733,-0.010884488001465797,-0.01540423184633255,0.023664841428399086,-0.03817026689648628,-0.056369803845882416,-0.023395681753754616
calendar,0.19854870438575745,0.139500692486763,0.17284812033176422,0.24385449290275574,0.09884990006685257,0.21427585184574127,0.21194778382778168,0.15737932920455933,0.16843381524085999,0.16766934096813202
of,0.3757161796092987,0.4854315221309662,0.1719115972518921,0.3065877854824066,0.3646814823150635,0.733189046382904,0.3079429268836975,1.0,0.24624483287334442,0.1826142966747284
saints,0.14797814190387726,0.23882900178432465,0.17173054814338684,0.2930314242839813,0.16518937051296234,0.22267529368400574,0.5138506293296814,0.2700014114379883,0.3118871748447418,0.1782425343990326
he,0.39115971326828003,0.36230841279029846,0.2454872578382492,0.1808748096227646,0.2485479861497879,0.4571082592010498,0.23494282364845276,0.38706058263778687,0.2851419746875763,0.2089974731206894
is,0.3471449911594391,1.0,0.08282390236854553,0.21623633801937103,0.3899846076965332,0.5823672413825989,0.203276589512825,0.4854315221309662,0.19271282851696014,0.22961433231830597
commemorated,0.127808079123497,0.21623633801937103,0.18452680110931396,1.0,0.21860811114311218,0.32209500670433044,0.279051274061203,0.3065877854824066,0.2563880681991577,0.08633194863796234
on,0.37706470489501953,0.3635730445384979,0.19090485572814941,0.231469988822937,0.33887791633605957,0.5107308030128479,0.1726921796798706,0.3966929316520691,0.2161867767572403,0.2714994251728058
31,-0.011162037961184978,0.13722816109657288,-0.08790630102157593,0.03236811235547066,-0.0794590413570404,0.12550820410251617,0.06993933767080307,0.13315030932426453,0.06812771409749985,-0.017570214346051216
october,0.273419588804245,0.24397309124469757,0.1806728094816208,0.19807381927967072,0.17728064954280853,0.2621108889579773,0.20000867545604706,0.20846129953861237,0.20774108171463013,0.29706719517707825
.,0.475719153881073,0.4569662809371948,0.24907569587230682,0.21241223812103271,0.3936232924461365,0.5934505462646484,0.28898224234580994,0.5352458953857422,0.31012484431266785,0.4130953550338745
