,what,resource,is,the,economy,of,southern,california,depedent,on,?
it,0.45803478360176086,0.21909528970718384,0.6328473687171936,0.6251175999641418,0.3087809979915619,0.38761502504348755,0.30382129549980164,0.1883031278848648,0.22389565408229828,0.4529881477355957,0.25732165575027466
is,0.28837618231773376,0.2658635079860687,1.0,0.5823672413825989,0.2698528468608856,0.4854315221309662,0.2419366091489792,0.20727038383483887,0.2222786396741867,0.3635730445384979,0.22961433231830597
dominated,0.145044207572937,0.17020457983016968,0.18273897469043732,0.33543094992637634,0.24647897481918335,0.2971191704273224,0.2962859272956848,0.1200372725725174,0.26002272963523865,0.16025306284427643,0.04715321213006973
and,0.31309178471565247,0.26207050681114197,0.3859752118587494,0.5171257257461548,0.26484790444374084,0.5116966962814331,0.24232792854309082,0.2441616654396057,0.23066741228103638,0.4077630043029785,0.20544172823429108
heavily,0.22760839760303497,0.2205871343612671,0.24793004989624023,0.2549211382865906,0.31145909428596497,0.15830223262310028,0.14060549437999725,0.12281396239995956,0.26670199632644653,0.3055734634399414,0.1724066138267517
dependent,0.2771287262439728,0.2844776213169098,0.2275722324848175,0.23169851303100586,0.2693040668964386,0.27231869101524353,0.15036273002624512,0.06538332253694534,0.5248465538024902,0.23826982080936432,0.1324409693479538
upon,0.2878674864768982,0.20826506614685059,0.1675044447183609,0.28184252977371216,0.15074355900287628,0.3224298357963562,0.07213426381349564,0.14682117104530334,0.25354212522506714,0.3876325786113739,0.13780277967453003
abundance,0.21293245255947113,0.27428415417671204,0.22904013097286224,0.26983582973480225,0.3038574755191803,0.23816923797130585,0.2202201932668686,0.17466384172439575,0.22053958475589752,0.1794131100177765,0.15727262198925018
of,0.33290785551071167,0.23272927105426788,0.4854315221309662,0.733189046382904,0.2583308815956116,1.0,0.31933003664016724,0.24929828941822052,0.23443590104579926,0.3966929316520691,0.1826142966747284
petroleum,0.18621116876602173,0.34397783875465393,0.24043776094913483,0.2209315299987793,0.40816032886505127,0.2179880291223526,0.16776353120803833,0.19040340185165405,0.2476060390472412,0.14531736075878143,0.1417868286371231
",",0.3087472915649414,0.2016548067331314,0.4691906273365021,0.4933079481124878,0.2521176040172577,0.4946078956127167,0.2795628309249878,0.2704589068889618,0.22376902401447296,0.49057599902153015,0.31091248989105225
as,0.31749409437179565,0.22894562780857086,0.43216490745544434,0.48381632566452026,0.2277245819568634,0.3886612355709076,0.17950406670570374,0.1933012157678604,0.24617451429367065,0.36047765612602234,0.27043893933296204
opposed,0.35573211312294006,0.13515318930149078,0.18266244232654572,0.24302934110164642,0.2656708359718323,0.25387564301490784,0.16832953691482544,0.10618561506271362,0.30201005935668945,0.23948130011558533,0.23428945243358612
to,0.455847829580307,0.28694528341293335,0.42745086550712585,0.535392165184021,0.2613506615161896,0.41548454761505127,0.18284058570861816,0.20697450637817383,0.2586410641670227,0.41031414270401,0.29463258385658264
other,0.341873437166214,0.2700425386428833,0.25895947217941284,0.44152235984802246,0.19991272687911987,0.38583824038505554,0.22025135159492493,0.19346874952316284,0.238872230052948,0.3410046398639679,0.24682199954986572
regions,0.22129066288471222,0.22091300785541534,0.28507089614868164,0.36158451437950134,0.2967557907104492,0.3694140613079071,0.3461337983608246,0.14872722327709198,0.22196656465530396,0.1871456503868103,0.11608363687992096
where,0.4457937180995941,0.1930205225944519,0.3586711287498474,0.5003893971443176,0.11450034379959106,0.38066378235816956,0.2580642104148865,0.21259644627571106,0.2756568193435669,0.37630224227905273,0.24793872237205505
automobiles,0.18129289150238037,0.16679294407367706,0.17314104735851288,0.21666547656059265,0.3290781080722809,0.1845320612192154,0.1479259729385376,0.27557048201560974,0.1761620193719864,0.12149333953857422,0.1570184975862503
not,0.5449194312095642,0.23131439089775085,0.3776007890701294,0.4310511648654938,0.210959330201149,0.3307090103626251,0.14804132282733917,0.15390560030937195,0.3129013180732727,0.3516409695148468,0.41942933201789856
nearly,0.21304303407669067,0.13777072727680206,0.268917441368103,0.3409946858882904,0.24385273456573486,0.3455437123775482,0.21966657042503357,0.15556450188159943,0.1085101068019867,0.2730490267276764,0.11670064926147461
as,0.31749409437179565,0.22894562780857086,0.43216490745544434,0.48381632566452026,0.2277245819568634,0.3886612355709076,0.17950406670570374,0.1933012157678604,0.24617451429367065,0.36047765612602234,0.27043893933296204
dominant,0.21783894300460815,0.19762586057186127,0.2622844874858856,0.3743239641189575,0.2385464459657669,0.3018357455730438,0.2593620717525482,0.13090834021568298,0.28186073899269104,0.15340125560760498,0.07625212520360947
",",0.3087472915649414,0.2016548067331314,0.4691906273365021,0.4933079481124878,0.2521176040172577,0.4946078956127167,0.2795628309249878,0.2704589068889618,0.22376902401447296,0.49057599902153015,0.31091248989105225
the,0.42745697498321533,0.2305259257555008,0.5823672413825989,1.0,0.24644890427589417,0.733189046382904,0.3282862603664398,0.2750805914402008,0.24850018322467804,0.5107308030128479,0.22068053483963013
vast,0.23471814393997192,0.2682272791862488,0.2100648730993271,0.28638118505477905,0.20985516905784607,0.28792089223861694,0.2082609236240387,0.17562490701675415,0.22764550149440765,0.1951756775379181,0.12112510949373245
majority,0.25967487692832947,0.18487225472927094,0.19749082624912262,0.28757327795028687,0.2377488613128662,0.29706597328186035,0.21773739159107208,0.167198047041893,0.26343175768852234,0.20937225222587585,0.220119908452034
of,0.33290785551071167,0.23272927105426788,0.4854315221309662,0.733189046382904,0.2583308815956116,1.0,0.31933003664016724,0.24929828941822052,0.23443590104579926,0.3966929316520691,0.1826142966747284
transport,0.1845296025276184,0.24280770123004913,0.22889505326747894,0.2433847039937973,0.314300000667572,0.2811439633369446,0.13903892040252686,0.12532669305801392,0.16542676091194153,0.15922781825065613,0.16607823967933655
runs,0.17057748138904572,0.12740518152713776,0.30176323652267456,0.30832576751708984,0.162430539727211,0.22292760014533997,0.2315884381532669,0.1149723157286644,0.15099138021469116,0.2395537942647934,0.08094297349452972
on,0.34226128458976746,0.1954047679901123,0.3635730445384979,0.5107308030128479,0.17831654846668243,0.3966929316520691,0.19093644618988037,0.2485160082578659,0.26774612069129944,0.9999999403953552,0.2714994251728058
this,0.5489566326141357,0.2612408697605133,0.480927973985672,0.6274310946464539,0.25099337100982666,0.45148900151252747,0.20097827911376953,0.19330458343029022,0.27782154083251953,0.4193967580795288,0.3155723512172699
fuel,0.1848171502351761,0.279590904712677,0.1733948439359665,0.18534968793392181,0.3584163784980774,0.18857792019844055,0.1371718794107437,0.1120857447385788,0.18461434543132782,0.20732001960277557,0.10583324730396271
.,0.3567904531955719,0.2455640733242035,0.4569662809371948,0.5934505462646484,0.2477293759584427,0.5352458953857422,0.26629969477653503,0.2870451807975769,0.2701250910758972,0.49257001280784607,0.4130953550338745
