,what,type,of,sentences,were,the,protesters,given,?
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.2084118127822876,0.3906462490558624,1.0,0.2494657039642334,0.37508252263069153,0.22068053483963013
arrested,0.1624409258365631,0.0033189605455845594,0.2085658311843872,0.30054908990859985,0.3088362216949463,0.18817131221294403,0.49165821075439453,0.22287693619728088,0.15566205978393555
persons,0.24108943343162537,0.16890159249305725,0.3095638155937195,0.2861763536930084,0.30754387378692627,0.3206244707107544,0.252676397562027,0.2753656506538391,0.22290422022342682
were,0.22298263013362885,0.09534358233213425,0.34038281440734863,0.1728038638830185,1.0000001192092896,0.3906462490558624,0.3483699858188629,0.25531911849975586,0.17890112102031708
found,0.1796332150697708,0.17831085622310638,0.2982911467552185,0.2328551560640335,0.23296621441841125,0.3452354073524475,0.11677184700965881,0.26742053031921387,0.16790300607681274
``,0.008517155423760414,0.03534303233027458,0.06780257821083069,0.12354683876037598,0.006090171169489622,0.029072100296616554,0.02059335634112358,0.044645439833402634,0.0685480609536171
guilty,0.2844175100326538,0.07153806835412979,0.15539902448654175,0.39778098464012146,0.16493947803974152,0.17396102845668793,0.2753857374191284,0.19253423810005188,0.17103199660778046
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.2491007298231125,0.36755475401878357,0.4933079481124878,0.26297226548194885,0.2843315005302429,0.31091248989105225
'',0.08143015950918198,0.054222505539655685,0.13035868108272552,0.02669689990580082,0.007215402089059353,0.041273195296525955,-0.053553272038698196,0.10763400048017502,0.018684765323996544
nevertheless,0.3331672251224518,0.19136008620262146,0.2589026987552643,0.18627828359603882,0.31472048163414,0.29583513736724854,0.19649574160575867,0.24559001624584198,0.12207362055778503
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.2491007298231125,0.36755475401878357,0.4933079481124878,0.26297226548194885,0.2843315005302429,0.31091248989105225
and,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.23422399163246155,0.42175528407096863,0.5171257257461548,0.2636207044124603,0.30185943841934204,0.20544172823429108
given,0.21883496642112732,0.17595160007476807,0.39388060569763184,0.18834437429904938,0.25531911849975586,0.37508252263069153,0.08535870164632797,1.0,0.2570464313030243
suspended,0.15452195703983307,0.09263001382350922,0.2760421931743622,0.2094326615333557,0.18307673931121826,0.28768354654312134,0.3363049626350403,0.1692904531955719,0.13118882477283478
sentences,0.2914929687976837,0.038731593638658524,0.2076345682144165,1.0000001192092896,0.1728038638830185,0.2084118127822876,0.19907422363758087,0.18834437429904938,0.290255606174469
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.2491007298231125,0.36755475401878357,0.4933079481124878,0.26297226548194885,0.2843315005302429,0.31091248989105225
conditional,0.26260891556739807,0.2938542664051056,0.2654849588871002,0.1965843290090561,0.20418141782283783,0.28594690561294556,0.17901262640953064,0.25037094950675964,0.16792933642864227
on,0.34226128458976746,0.2118636518716812,0.3966929316520691,0.20454975962638855,0.2774328887462616,0.5107308030128479,0.25484880805015564,0.2107619345188141,0.2714994251728058
their,0.35142919421195984,0.14413684606552124,0.4329940676689148,0.16273227334022522,0.43277356028556824,0.516537070274353,0.23873870074748993,0.2688690721988678,0.1898253709077835
not,0.5449194312095642,0.2697264850139618,0.3307090103626251,0.26258745789527893,0.33318549394607544,0.4310511648654938,0.19418039917945862,0.30521225929260254,0.41942933201789856
reentering,0.2647121548652649,0.14691898226737976,0.2825639545917511,0.24577772617340088,0.20433740317821503,0.3578844368457794,0.2544417381286621,0.16996878385543823,0.2040340006351471
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.2084118127822876,0.3906462490558624,1.0,0.2494657039642334,0.37508252263069153,0.22068053483963013
test,0.2596650719642639,0.23416662216186523,0.164191335439682,0.18541009724140167,0.1422247588634491,0.19235259294509888,0.178915873169899,0.1287793666124344,0.19832737743854523
site,0.21561308205127716,0.1421949565410614,0.24291633069515228,0.09938069432973862,0.2008490264415741,0.288954496383667,0.13021895289421082,0.1741369217634201,0.2014765441417694
grounds,0.2024700939655304,0.0700155645608902,0.26888811588287354,0.20709443092346191,0.2124960720539093,0.2690851390361786,0.28506430983543396,0.15874025225639343,0.1594391018152237
.,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.21377582848072052,0.3378238379955292,0.5934505462646484,0.24626030027866364,0.3169408142566681,0.4130953550338745
