,what,did,luther,tell,monks,and,nuns,about,their,vows,?
he,0.3114890456199646,0.3292143940925598,0.2454872578382492,0.24354232847690582,0.24231427907943726,0.45427167415618896,0.2655799686908722,0.2518255114555359,0.3267501890659332,0.3013240694999695,0.2089974731206894
assured,0.36277514696121216,0.34197667241096497,0.13489262759685516,0.3407905101776123,0.18047122657299042,0.22119444608688354,0.2278730720281601,0.269195556640625,0.3084601163864136,0.2885035574436188,0.2885999083518982
monks,0.2028580605983734,0.18693049252033234,0.2606058120727539,0.17827479541301727,1.0,0.24540609121322632,0.5711174011230469,0.23421521484851837,0.25699007511138916,0.44698914885520935,0.12877516448497772
and,0.31309178471565247,0.34479495882987976,0.20796556770801544,0.3038577735424042,0.24540609121322632,1.0,0.22067952156066895,0.3875081241130829,0.45114588737487793,0.25179582834243774,0.20544172823429108
nuns,0.22828799486160278,0.25228947401046753,0.3110099732875824,0.2351217418909073,0.5711174011230469,0.22067952156066895,1.0000001192092896,0.24717968702316284,0.23663872480392456,0.4444044828414917,0.17051644623279572
that,0.6297725439071655,0.47518548369407654,0.21746599674224854,0.40882083773612976,0.2026011347770691,0.4731321930885315,0.2589225172996521,0.4500710964202881,0.4266771972179413,0.282185435295105,0.32716336846351624
they,0.4431931674480438,0.4879390597343445,0.16441592574119568,0.35766810178756714,0.3008573055267334,0.5073080658912659,0.2990783154964447,0.34267860651016235,0.7104025483131409,0.28296205401420593,0.2753053903579712
could,0.4188697934150696,0.6308382749557495,0.1768653839826584,0.28257521986961365,0.1907949298620224,0.3385082483291626,0.29725393652915955,0.29409685730934143,0.38763219118118286,0.25108879804611206,0.3411986827850342
break,0.2858539819717407,0.26556721329689026,0.08901325613260269,0.2943001985549927,0.15590977668762207,0.2812328040599823,0.1885765939950943,0.17441895604133606,0.2702880799770355,0.2704748511314392,0.19753244519233704
their,0.35142919421195984,0.38078752160072327,0.1988239735364914,0.2886418402194977,0.25699007511138916,0.45114588737487793,0.23663872480392456,0.25792208313941956,1.0,0.2698054015636444,0.1898253709077835
vows,0.24404683709144592,0.2899130582809448,0.2297513484954834,0.2780715227127075,0.44698914885520935,0.25179582834243774,0.4444044828414917,0.1837664246559143,0.2698054015636444,1.0,0.17137905955314636
without,0.3181614279747009,0.3172723054885864,0.14397957921028137,0.2330792397260666,0.2237832248210907,0.35511502623558044,0.21382863819599152,0.3084058463573456,0.3610062003135681,0.21126866340637207,0.2928665280342102
sin,0.2028670310974121,0.12168633192777634,0.09982562065124512,0.16068539023399353,0.1617593765258789,0.20722192525863647,0.18090979754924774,0.1324210911989212,0.16653260588645935,0.27027833461761475,0.17164617776870728
",",0.3087472915649414,0.3015086054801941,0.23255878686904907,0.29178953170776367,0.17870470881462097,0.6633074283599854,0.20547693967819214,0.3877100944519043,0.3045167922973633,0.22589944303035736,0.31091248989105225
because,0.46729007363319397,0.45674043893814087,0.19194559752941132,0.4018329679965973,0.2285037487745285,0.5069696307182312,0.27298828959465027,0.41714149713516235,0.43909528851509094,0.27603811025619507,0.2528740465641022
vows,0.24404683709144592,0.2899130582809448,0.2297513484954834,0.2780715227127075,0.44698914885520935,0.25179582834243774,0.4444044828414917,0.1837664246559143,0.2698054015636444,1.0,0.17137905955314636
were,0.22298263013362885,0.4162326455116272,0.18652333319187164,0.22518520057201385,0.29595303535461426,0.42175528407096863,0.28865012526512146,0.29814305901527405,0.43277356028556824,0.17028498649597168,0.17890112102031708
an,0.2821882665157318,0.22598257660865784,0.10983039438724518,0.1958691030740738,0.06528163701295853,0.2838519215583801,0.12180954962968826,0.2700941264629364,0.19624626636505127,0.11446753144264221,0.19793890416622162
illegitimate,0.20889122784137726,0.2994690537452698,0.1632307767868042,0.13985353708267212,0.24509800970554352,0.256327360868454,0.32214272022247314,0.2070533037185669,0.18573778867721558,0.2538914382457733,0.17268218100070953
and,0.31309178471565247,0.34479495882987976,0.20796556770801544,0.3038577735424042,0.24540609121322632,1.0,0.22067952156066895,0.3875081241130829,0.45114588737487793,0.25179582834243774,0.20544172823429108
vain,0.2939469814300537,0.21543867886066437,0.21353133022785187,0.32275113463401794,0.34083640575408936,0.23494254052639008,0.29510173201560974,0.16429686546325684,0.24453946948051453,0.347779780626297,0.21942907571792603
attempt,0.2411041408777237,0.3181029260158539,0.11885666102170944,0.14602895081043243,0.15560580790042877,0.22292351722717285,0.1922273486852646,0.15946094691753387,0.21348460018634796,0.23731355369091034,0.16559520363807678
to,0.455847829580307,0.4452643394470215,0.18029534816741943,0.3557203412055969,0.29168152809143066,0.48971283435821533,0.23674897849559784,0.391953706741333,0.44619059562683105,0.3133222162723541,0.29463258385658264
win,0.15653561055660248,0.303374707698822,0.15386874973773956,0.19498781859874725,0.0845586359500885,0.25380003452301025,0.06742540746927261,0.12704887986183167,0.20182272791862488,0.13068987429141998,0.1873117983341217
salvation,0.31571435928344727,0.15371133387088776,0.24563154578208923,0.20951491594314575,0.28761211037635803,0.22255335748195648,0.3489628732204437,0.1738014966249466,0.2426326721906662,0.34211939573287964,0.2133665680885315
.,0.3567904531955719,0.35288307070732117,0.24907569587230682,0.3360239267349243,0.17902152240276337,0.588965117931366,0.21859675645828247,0.42038556933403015,0.34427863359451294,0.15046633780002594,0.4130953550338745
