,where,does,a,private,school,get,funding,to,operate,?
teachers,0.21712590754032135,0.1685517579317093,0.2509842813014984,0.274162232875824,0.5544193387031555,0.19830089807510376,0.31929007172584534,0.2668606638908386,0.17424927651882172,0.19522249698638916
have,0.412650465965271,0.3709583580493927,0.338716596364975,0.1496797353029251,0.16803227365016937,0.5343971252441406,0.2834905683994293,0.4544740617275238,0.3386690616607666,0.32991164922714233
the,0.5003893971443176,0.35928019881248474,0.5829201340675354,0.18291357159614563,0.22953221201896667,0.29667025804519653,0.3006567358970642,0.535392165184021,0.23581141233444214,0.22068053483963013
option,0.21079640090465546,0.2519983649253845,0.2986384332180023,0.15947704017162323,0.1359318494796753,0.27442875504493713,0.2354802042245865,0.27180376648902893,0.2394590526819229,0.3510825037956238
to,0.47735077142715454,0.4391997456550598,0.45503583550453186,0.18892748653888702,0.24496325850486755,0.4388369917869568,0.3602164685726166,1.0,0.3261392116546631,0.29463258385658264
teach,0.25165146589279175,0.24951143562793732,0.18608243763446808,0.24773333966732025,0.4499453604221344,0.28936800360679626,0.2920311689376831,0.36650484800338745,0.27334290742874146,0.24188745021820068
for,0.38599511981010437,0.35159170627593994,0.44038116931915283,0.22242696583271027,0.18618352711200714,0.342695415019989,0.34661975502967834,0.4451248347759247,0.23467504978179932,0.264628142118454
a,0.40997210144996643,0.38201746344566345,1.0,0.20346391201019287,0.2245093584060669,0.27948489785194397,0.2314450591802597,0.45503583550453186,0.21306559443473816,0.23916715383529663
public,0.2059764564037323,0.18710975348949432,0.19607044756412506,0.5126727223396301,0.3342896103858948,0.1994173526763916,0.3689518868923187,0.2672370672225952,0.2603178918361664,0.19872993230819702
school,0.23611775040626526,0.1536676436662674,0.2245093584060669,0.3584248125553131,1.0,0.1414523422718048,0.2523915767669678,0.24496325850486755,0.1826377958059311,0.15091250836849213
which,0.5477990508079529,0.39111801981925964,0.56894451379776,0.21277280151844025,0.19108018279075623,0.3393840193748474,0.3287273049354553,0.5345056653022766,0.33749717473983765,0.25814583897590637
is,0.3586711287498474,0.4403602182865143,0.658733606338501,0.1420905888080597,0.19488026201725006,0.29207053780555725,0.17921492457389832,0.42745086550712585,0.24157488346099854,0.22961433231830597
funded,0.13953101634979248,0.15973332524299622,0.13728104531764984,0.37384557723999023,0.3065583109855652,0.1784440279006958,0.6851902604103088,0.1668122261762619,0.32326582074165344,0.14043596386909485
by,0.2641284465789795,0.143477201461792,0.32094135880470276,0.18554414808750153,0.1477794349193573,0.2411126047372818,0.26025402545928955,0.33534231781959534,0.16318510472774506,0.17966607213020325
the,0.5003893971443176,0.35928019881248474,0.5829201340675354,0.18291357159614563,0.22953221201896667,0.29667025804519653,0.3006567358970642,0.535392165184021,0.23581141233444214,0.22068053483963013
provincial,0.18156011402606964,0.08828453719615936,0.19501082599163055,0.13215982913970947,0.16620773077011108,0.12659113109111786,0.1753222942352295,0.1423754096031189,0.10481645911931992,0.11250471323728561
government,0.16681428253650665,0.19420266151428223,0.25158295035362244,0.3261575996875763,0.24537934362888336,0.2104441523551941,0.44323596358299255,0.28343796730041504,0.2652454078197479,0.18851417303085327
or,0.3651050925254822,0.4248845875263214,0.48853766918182373,0.21888144314289093,0.12007436156272888,0.3740382194519043,0.22443437576293945,0.38921234011650085,0.2953515350818634,0.32389625906944275
teaching,0.24929308891296387,0.20767050981521606,0.21643459796905518,0.28103822469711304,0.4717925488948822,0.19248607754707336,0.3417869806289673,0.2762126624584198,0.22555774450302124,0.20424684882164001
in,0.5344807505607605,0.214483380317688,0.539380669593811,0.21135757863521576,0.26157811284065247,0.24899829924106598,0.2074873298406601,0.45010748505592346,0.24484391510486603,0.20430970191955566
a,0.40997210144996643,0.38201746344566345,1.0,0.20346391201019287,0.2245093584060669,0.27948489785194397,0.2314450591802597,0.45503583550453186,0.21306559443473816,0.23916715383529663
private,0.2538891136646271,0.1316513568162918,0.20346391201019287,1.0,0.3584248125553131,0.16381114721298218,0.27316173911094666,0.18892748653888702,0.2985268235206604,0.14389030635356903
school,0.23611775040626526,0.1536676436662674,0.2245093584060669,0.3584248125553131,1.0,0.1414523422718048,0.2523915767669678,0.24496325850486755,0.1826377958059311,0.15091250836849213
which,0.5477990508079529,0.39111801981925964,0.56894451379776,0.21277280151844025,0.19108018279075623,0.3393840193748474,0.3287273049354553,0.5345056653022766,0.33749717473983765,0.25814583897590637
is,0.3586711287498474,0.4403602182865143,0.658733606338501,0.1420905888080597,0.19488026201725006,0.29207053780555725,0.17921492457389832,0.42745086550712585,0.24157488346099854,0.22961433231830597
funded,0.13953101634979248,0.15973332524299622,0.13728104531764984,0.37384557723999023,0.3065583109855652,0.1784440279006958,0.6851902604103088,0.1668122261762619,0.32326582074165344,0.14043596386909485
by,0.2641284465789795,0.143477201461792,0.32094135880470276,0.18554414808750153,0.1477794349193573,0.2411126047372818,0.26025402545928955,0.33534231781959534,0.16318510472774506,0.17966607213020325
the,0.5003893971443176,0.35928019881248474,0.5829201340675354,0.18291357159614563,0.22953221201896667,0.29667025804519653,0.3006567358970642,0.535392165184021,0.23581141233444214,0.22068053483963013
