,how,old,was,turkana,boy,?
during,0.26830652356147766,0.19289104640483856,0.4470829963684082,0.149322971701622,0.17835769057273865,0.1325719803571701
excavations,0.14509239792823792,0.25529244542121887,0.20284177362918854,0.3544541597366333,0.09122447669506073,0.12720316648483276
at,0.2154216170310974,0.17987459897994995,0.36707764863967896,0.17824730277061462,0.15315860509872437,0.21978627145290375
lake,0.10057038813829422,0.11347294598817825,0.1820499300956726,0.412352591753006,0.15111252665519714,0.07226386666297913
turkana,0.15715421736240387,0.2632870376110077,0.20470230281352997,1.0,0.2370142638683319,0.12596961855888367
in,0.2601168751716614,0.2865324318408966,0.45514053106307983,0.24214357137680054,0.1783042699098587,0.20430970191955566
1984,-0.13373258709907532,0.05292082577943802,0.06351601332426071,0.2838011682033539,0.07402355968952179,0.07765956968069077
",",0.22659391164779663,0.26524028182029724,0.45456063747406006,0.2768156826496124,0.1868639439344406,0.31091248989105225
paleoanthropologist,0.1705818921327591,0.2247118055820465,0.25318294763565063,0.4144853353500366,0.18220548331737518,0.18234194815158844
richard,0.18155698478221893,0.1499868482351303,0.26966050267219543,0.1361672580242157,0.19458070397377014,0.15003317594528198
leakey,0.1382480412721634,0.15220311284065247,0.2554331123828888,0.4263008236885071,0.24585990607738495,0.13373079895973206
assisted,0.12122966349124908,0.07683960348367691,0.25729772448539734,0.17605550587177277,0.1559053510427475,0.08560974150896072
by,0.34370526671409607,0.16804057359695435,0.4752357602119446,0.16327732801437378,0.21962207555770874,0.17966607213020325
kamoya,0.17365767061710358,0.20135293900966644,0.19011150300502777,0.48730188608169556,0.2025499790906906,0.12070517241954803
kimeu,0.17421425879001617,0.16476333141326904,0.2440454214811325,0.44506263732910156,0.2069920003414154,0.24818336963653564
discovered,0.14884135127067566,0.1771269589662552,0.3177400529384613,0.2976233661174774,0.16977263987064362,0.08452875912189484
the,0.33890387415885925,0.31849798560142517,0.48711544275283813,0.2747046947479248,0.21782036125659943,0.22068053483963013
turkana,0.15715421736240387,0.2632870376110077,0.20470230281352997,1.0,0.2370142638683319,0.12596961855888367
boy,0.22117550671100616,0.3025209903717041,0.2472873330116272,0.2370142638683319,0.9999999403953552,0.1530727595090866
",",0.22659391164779663,0.26524028182029724,0.45456063747406006,0.2768156826496124,0.1868639439344406,0.31091248989105225
a,0.29312583804130554,0.2846200466156006,0.4508470594882965,0.23787623643875122,0.2612770199775696,0.23916715383529663
1.6-million-year-old,0.3166620433330536,0.32517436146736145,0.2747073173522949,0.20850417017936707,0.2913859784603119,0.40614745020866394
fossil,0.15351839363574982,0.18535079061985016,0.10512274503707886,0.3882557451725006,0.1735905110836029,0.15712964534759521
belonging,0.14198614656925201,0.2348223626613617,0.24654531478881836,0.2431260049343109,0.10655184090137482,0.0745176300406456
to,0.44169697165489197,0.2412436157464981,0.3636345863342285,0.2150954008102417,0.1953747272491455,0.29463258385658264
homo,0.1892886906862259,0.15155461430549622,0.17529146373271942,0.4150640368461609,0.2082013338804245,0.15592239797115326
erectus,0.19918163120746613,0.2393709421157837,0.20113925635814667,0.42000454664230347,0.222195565700531,0.21784496307373047
.,0.3287222981452942,0.32390445470809937,0.40146201848983765,0.24297364056110382,0.1813209354877472,0.4130953550338745
