,how,large,are,chloroplast,ribosomes,?
chloroplast,0.23138970136642456,0.2446320652961731,0.26561424136161804,1.0000001192092896,0.6826659440994263,0.12532055377960205
ribosomes,0.2775554060935974,0.25457528233528137,0.3222968578338623,0.6826659440994263,0.9999999403953552,0.1832229495048523
are,0.311818927526474,0.3467932939529419,1.0,0.26561424136161804,0.3222968578338623,0.24591213464736938
about,0.44264400005340576,0.20547378063201904,0.36165615916252136,0.1271195411682129,0.13630491495132446,0.302409827709198
two-thirds,0.2647247910499573,0.37537992000579834,0.4187377989292145,0.31424078345298767,0.32134220004081726,0.15813422203063965
the,0.33890387415885925,0.3828733265399933,0.40399202704429626,0.21317854523658752,0.2453140765428543,0.22068053483963013
size,0.24571672081947327,0.45722296833992004,0.25654396414756775,0.20447413623332977,0.1722642481327057,0.13693112134933472
of,0.2480744868516922,0.3569655418395996,0.39081433415412903,0.2069506198167801,0.2397242784500122,0.1826142966747284
cytoplasmic,0.22681482136249542,0.2789057195186615,0.2937641739845276,0.780915379524231,0.757412850856781,0.17041778564453125
ribosomes,0.2775554060935974,0.25457528233528137,0.3222968578338623,0.6826659440994263,0.9999999403953552,0.1832229495048523
(,0.1676948219537735,0.1259251832962036,0.23263892531394958,0.17505401372909546,0.1888713538646698,0.40561532974243164
around,0.3297552764415741,0.37400367856025696,0.3560173511505127,0.2160399705171585,0.17710809409618378,0.14729668200016022
17,0.11148978024721146,0.024147097021341324,0.18190422654151917,0.23391345143318176,0.27789947390556335,0.17603135108947754
nm,0.2144416719675064,0.174142524600029,0.21792477369308472,0.31566596031188965,0.2728007137775421,0.18232138454914093
vs,0.17305277287960052,0.062253501266241074,0.13920678198337555,0.06286025047302246,0.0746377483010292,0.20496989786624908
25,0.07429084926843643,0.1812017410993576,0.10888858884572983,0.08015653491020203,0.0884421244263649,0.09614268690347672
nm,0.2144416719675064,0.174142524600029,0.21792477369308472,0.31566596031188965,0.2728007137775421,0.18232138454914093
),0.17939934134483337,0.12569274008274078,0.2373749315738678,0.16709916293621063,0.1665344387292862,0.42300865054130554
.,0.3287222981452942,0.2304532378911972,0.3452940285205841,0.2371024191379547,0.18368114531040192,0.4130953550338745
