,in,what,year,did,the,fcc,begin,an,investigation,in,to,the,operation,of,radio,networks,in,america
in,1.0,0.30808621644973755,0.3359307050704956,0.2593238651752472,0.6662389636039734,0.134840726852417,0.2903634011745453,0.2605783939361572,0.25384989380836487,1.0,0.45010748505592346,0.6662389636039734,0.26394933462142944,0.5696388483047485,0.22625693678855896,0.17525765299797058,1.0,0.3098583221435547
1938,0.13815519213676453,0.09370804578065872,0.05508183687925339,0.0011983392760157585,0.256177693605423,0.028452666476368904,0.1691136211156845,0.11112231016159058,0.03697827085852623,0.13815519213676453,0.1432509869337082,0.256177693605423,0.04779365658760071,0.1956050544977188,-0.001754443976096809,-0.018282810226082802,0.13815519213676453,0.13285201787948608
",",0.5201468467712402,0.3087472915649414,0.28560417890548706,0.3015086054801941,0.4933079481124878,0.12939687073230743,0.27304404973983765,0.3581022024154663,0.23980677127838135,0.5201468467712402,0.44245919585227966,0.4933079481124878,0.24555085599422455,0.4946078956127167,0.25251123309135437,0.20105446875095367,0.5201468467712402,0.253568559885025
the,0.6662389636039734,0.42745697498321533,0.3609684407711029,0.34736719727516174,1.0,0.24932202696800232,0.34293439984321594,0.4207492768764496,0.2993324100971222,0.6662389636039734,0.535392165184021,1.0,0.2985492944717407,0.733189046382904,0.23511973023414612,0.24705806374549866,0.6662389636039734,0.37090015411376953
fcc,0.134840726852417,0.2598995566368103,0.17038124799728394,0.23574954271316528,0.24932202696800232,1.0000001192092896,0.15197746455669403,0.1447693258523941,0.3655816614627838,0.134840726852417,0.24543172121047974,0.24932202696800232,0.18930719792842865,0.16839106380939484,0.29589203000068665,0.4118899405002594,0.134840726852417,0.1690555214881897
began,0.34154343605041504,0.1665823757648468,0.23867103457450867,0.4415510594844818,0.3059147596359253,0.21738693118095398,0.49711355566978455,0.19044236838817596,0.20396500825881958,0.34154343605041504,0.2731419503688812,0.3059147596359253,0.18042458593845367,0.2330763041973114,0.22153401374816895,0.16490720212459564,0.34154343605041504,0.24912548065185547
a,0.539380669593811,0.3320399522781372,0.29350247979164124,0.2552328109741211,0.5829201340675354,0.1445450782775879,0.22845244407653809,0.44552403688430786,0.24633555114269257,0.539380669593811,0.45503583550453186,0.5829201340675354,0.22423553466796875,0.5052502155303955,0.19488471746444702,0.16109517216682434,0.539380669593811,0.22012436389923096
series,0.2914260923862457,0.17328087985515594,0.2600080966949463,0.15581852197647095,0.31376904249191284,0.2363206148147583,0.23442764580249786,0.16255386173725128,0.2651013135910034,0.2914260923862457,0.19879554212093353,0.31376904249191284,0.16286323964595795,0.22268271446228027,0.2014765441417694,0.3643087148666382,0.2914260923862457,0.2544792592525482
of,0.5696388483047485,0.33290785551071167,0.2578314542770386,0.2513895630836487,0.733189046382904,0.16839106380939484,0.24830074608325958,0.32280945777893066,0.23923081159591675,0.5696388483047485,0.41548454761505127,0.733189046382904,0.259731262922287,1.0,0.16079017519950867,0.17763681709766388,0.5696388483047485,0.28803038597106934
investigations,0.2534966468811035,0.20865970849990845,0.16964150965213776,0.21491368114948273,0.2768571972846985,0.3474457561969757,0.22114068269729614,0.20198386907577515,0.9577296376228333,0.2534966468811035,0.17082583904266357,0.2768571972846985,0.27172136306762695,0.2303210347890854,0.20139072835445404,0.2697855234146118,0.2534966468811035,0.13305388391017914
into,0.38021373748779297,0.2180619090795517,0.08657927066087723,0.14888085424900055,0.39493247866630554,0.19204632937908173,0.22897665202617645,0.2105669528245926,0.1833854764699936,0.38021373748779297,0.38810545206069946,0.39493247866630554,0.09965206682682037,0.32255905866622925,0.15239199995994568,0.163968026638031,0.38021373748779297,0.16707547008991241
the,0.6662389636039734,0.42745697498321533,0.3609684407711029,0.34736719727516174,1.0,0.24932202696800232,0.34293439984321594,0.4207492768764496,0.2993324100971222,0.6662389636039734,0.535392165184021,1.0,0.2985492944717407,0.733189046382904,0.23511973023414612,0.24705806374549866,0.6662389636039734,0.37090015411376953
practices,0.204969584941864,0.30286267399787903,0.14704637229442596,0.21679148077964783,0.24007414281368256,0.2881734073162079,0.16909243166446686,0.1488221436738968,0.2779204845428467,0.204969584941864,0.28297853469848633,0.24007414281368256,0.13180513679981232,0.25354546308517456,0.0847388505935669,0.1920117288827896,0.204969584941864,0.1524903029203415
of,0.5696388483047485,0.33290785551071167,0.2578314542770386,0.2513895630836487,0.733189046382904,0.16839106380939484,0.24830074608325958,0.32280945777893066,0.23923081159591675,0.5696388483047485,0.41548454761505127,0.733189046382904,0.259731262922287,1.0,0.16079017519950867,0.17763681709766388,0.5696388483047485,0.28803038597106934
radio,0.22625693678855896,0.16863368451595306,0.08681962639093399,0.16486462950706482,0.23511973023414612,0.29589203000068665,0.10262531787157059,0.2141112983226776,0.1997741311788559,0.22625693678855896,0.16918617486953735,0.23511973023414612,0.15074777603149414,0.16079017519950867,0.9999999403953552,0.35456371307373047,0.22625693678855896,0.18978674709796906
networks,0.17525765299797058,0.18279550969600677,0.12820519506931305,0.06869131326675415,0.24705806374549866,0.4118899405002594,0.13577887415885925,0.2116188257932663,0.230811208486557,0.17525765299797058,0.23877078294754028,0.24705806374549866,0.2714599668979645,0.17763681709766388,0.35456371307373047,1.0,0.17525765299797058,0.2081581950187683
and,0.4954058527946472,0.31309178471565247,0.2506658732891083,0.34479495882987976,0.5171257257461548,0.22326773405075073,0.2599445581436157,0.2838519215583801,0.17241890728473663,0.4954058527946472,0.48971283435821533,0.5171257257461548,0.23037932813167572,0.5116966962814331,0.2658638060092926,0.27532249689102173,0.4954058527946472,0.2647855281829834
published,0.26697060465812683,0.20457668602466583,0.18425042927265167,0.17877818644046783,0.22017472982406616,0.2075728178024292,0.11927203834056854,0.11590567231178284,0.3197910189628601,0.26697060465812683,0.12403073906898499,0.22017472982406616,0.11451047658920288,0.23023100197315216,0.17632843554019928,0.20343180000782013,0.26697060465812683,0.20697978138923645
its,0.3793783485889435,0.30393704771995544,0.15338382124900818,0.19922670722007751,0.559237003326416,0.2045624554157257,0.20967066287994385,0.28139030933380127,0.19818027317523956,0.3793783485889435,0.3691340684890747,0.559237003326416,0.25884702801704407,0.48690423369407654,0.16302348673343658,0.23475177586078644,0.3793783485889435,0.2869555354118347
report,0.204250767827034,0.2868559956550598,0.19930125772953033,0.2986995279788971,0.2556745111942291,0.32434773445129395,0.1443372666835785,0.18313995003700256,0.5097765326499939,0.204250767827034,0.2559358477592468,0.2556745111942291,0.2666565775871277,0.22992923855781555,0.18228235840797424,0.20898906886577606,0.204250767827034,0.16330720484256744
