,who,made,experimental,measurements,on,a,model,steam,engine,?
the,0.3733934462070465,0.3885267674922943,0.2084609717130661,0.2816277742385864,0.5107308030128479,0.5829201340675354,0.14028635621070862,0.23105813562870026,0.21651263535022736,0.22068053483963013
experimental,0.20474687218666077,0.21479839086532593,1.0,0.335925817489624,0.23907987773418427,0.2632029950618744,0.23337121307849884,0.2068733274936676,0.25444555282592773,0.14400577545166016
measurements,0.14947821199893951,0.23371447622776031,0.335925817489624,1.0000001192092896,0.21655458211898804,0.25912022590637207,0.229855477809906,0.18274375796318054,0.22576631605625153,0.18784773349761963
made,0.2576322853565216,1.0,0.21479839086532593,0.23371447622776031,0.37619519233703613,0.3180864453315735,0.12748488783836365,0.19250525534152985,0.14108897745609283,0.17218779027462006
by,0.39727845788002014,0.34175434708595276,0.2850048840045929,0.21789118647575378,0.33887791633605957,0.32094135880470276,0.12459231913089752,0.18134352564811707,0.1870088279247284,0.17966607213020325
watt,0.22992701828479767,0.14280405640602112,0.22851048409938812,0.2801406681537628,0.14423085749149323,0.21096299588680267,0.22145168483257294,0.3759114742279053,0.31998884677886963,0.16354146599769592
on,0.2340552806854248,0.37619519233703613,0.23907987773418427,0.21655458211898804,0.9999999403953552,0.3848365545272827,0.20435898005962372,0.1939276158809662,0.21060344576835632,0.2714994251728058
a,0.36608949303627014,0.3180864453315735,0.2632029950618744,0.25912022590637207,0.3848365545272827,1.0,0.29218459129333496,0.2141898274421692,0.24768835306167603,0.23916715383529663
model,0.14253783226013184,0.12748488783836365,0.23337121307849884,0.229855477809906,0.20435898005962372,0.29218459129333496,1.0000001192092896,0.1983744353055954,0.2739640772342682,0.14843042194843292
steam,0.1786653995513916,0.19250525534152985,0.2068733274936676,0.18274375796318054,0.1939276158809662,0.2141898274421692,0.1983744353055954,1.0000001192092896,0.4921848475933075,0.113324373960495
engine,0.1543407142162323,0.14108897745609283,0.25444555282592773,0.22576631605625153,0.21060344576835632,0.24768835306167603,0.2739640772342682,0.4921848475933075,1.0,0.17739196121692657
led,0.2450801581144333,0.28145718574523926,0.2235875129699707,0.1627015471458435,0.23411796987056732,0.19072435796260834,0.05455842614173889,0.14877061545848846,0.2147948294878006,0.09273858368396759
to,0.42656609416007996,0.3377571105957031,0.2292875498533249,0.2815989851951599,0.41031414270401,0.45503583550453186,0.187554731965065,0.22894427180290222,0.20794793963432312,0.29463258385658264
the,0.3733934462070465,0.3885267674922943,0.2084609717130661,0.2816277742385864,0.5107308030128479,0.5829201340675354,0.14028635621070862,0.23105813562870026,0.21651263535022736,0.22068053483963013
development,0.15172652900218964,0.21771858632564545,0.32381966710090637,0.22889670729637146,0.23800693452358246,0.2762584090232849,0.1938512772321701,0.1828628033399582,0.19329482316970825,0.1211358830332756
of,0.2827862501144409,0.33167365193367004,0.2088514268398285,0.2575634717941284,0.3966929316520691,0.5052502155303955,0.18271391093730927,0.20239725708961487,0.17095594108104706,0.1826142966747284
the,0.3733934462070465,0.3885267674922943,0.2084609717130661,0.2816277742385864,0.5107308030128479,0.5829201340675354,0.14028635621070862,0.23105813562870026,0.21651263535022736,0.22068053483963013
separate,0.17296724021434784,0.2573976516723633,0.19533725082874298,0.2410978376865387,0.29721102118492126,0.3137926161289215,0.15581361949443817,0.19511428475379944,0.17311933636665344,0.16835719347000122
condenser,0.0634724572300911,0.260501891374588,0.3103081285953522,0.32451388239860535,0.18807891011238098,0.25842127203941345,0.25016868114471436,0.42217105627059937,0.33374881744384766,0.1732601672410965
.,0.3541337847709656,0.4032190144062042,0.2673594355583191,0.26048997044563293,0.49257001280784607,0.50484299659729,0.1938832700252533,0.22855372726917267,0.21814921498298645,0.4130953550338745
