,what,did,paul,baran,develop
starting,0.25271084904670715,0.22911779582500458,0.12910541892051697,0.04551410302519798,0.23135694861412048
in,0.30808621644973755,0.2593238651752472,0.21331322193145752,0.20557019114494324,0.22882415354251862
the,0.42745697498321533,0.34736719727516174,0.19191958010196686,0.20225991308689117,0.26276466250419617
late,0.1576872020959854,0.27609187364578247,0.16050758957862854,0.18171417713165283,0.22991779446601868
1950s,0.2998310923576355,0.3492051362991333,0.08204768598079681,0.1480177789926529,0.29472386837005615
",",0.3087472915649414,0.3015086054801941,0.3070785701274872,0.25993672013282776,0.17652153968811035
american,0.1909721940755844,0.21486236155033112,0.22999535501003265,0.1770395189523697,0.16795329749584198
computer,0.26911869645118713,0.1818549484014511,0.0949171707034111,0.26956063508987427,0.21339890360832214
scientist,0.19887776672840118,0.15091316401958466,0.17412026226520538,0.2978304922580719,0.22861477732658386
paul,0.11217030137777328,0.16905230283737183,1.0000001192092896,0.14907748997211456,0.04536578431725502
baran,0.11883194744586945,0.048253823071718216,0.14907748997211456,1.0,0.09724517911672592
developed,0.15555569529533386,0.24445466697216034,0.053292952477931976,0.137728750705719,0.6529664397239685
the,0.42745697498321533,0.34736719727516174,0.19191958010196686,0.20225991308689117,0.26276466250419617
concept,0.28724339604377747,0.2316831350326538,0.0929277166724205,0.07234027236700058,0.2570488750934601
distributed,0.12753748893737793,0.15478676557540894,0.047164514660835266,0.16691161692142487,0.2605593800544739
adaptive,0.22806508839130402,0.16779272258281708,0.1189541220664978,0.22060956060886383,0.3176173269748688
message,0.35757336020469666,0.1851978302001953,0.1556989848613739,0.21445982158184052,0.057516828179359436
block,0.33229514956474304,0.17439137399196625,0.10435524582862854,0.11995917558670044,0.09988933056592941
switching,0.24737738072872162,0.17849217355251312,0.10246413946151733,0.1476963311433792,0.2960894703865051
with,0.2464839518070221,0.25472134351730347,0.19302357733249664,0.17205913364887238,0.2685096859931946
the,0.42745697498321533,0.34736719727516174,0.19191958010196686,0.20225991308689117,0.26276466250419617
goal,0.2571476101875305,0.23877869546413422,0.10482185333967209,0.11531885713338852,0.17608000338077545
to,0.455847829580307,0.4452643394470215,0.16250576078891754,0.19148242473602295,0.3375980854034424
provide,0.27049049735069275,0.2528877258300781,0.06795994192361832,0.07182622700929642,0.3293642997741699
a,0.3320399522781372,0.2552328109741211,0.13667120039463043,0.19735346734523773,0.27134326100349426
fault-tolerant,0.40556225180625916,0.2654038667678833,0.10552290827035904,0.19703131914138794,0.3239608108997345
",",0.3087472915649414,0.3015086054801941,0.3070785701274872,0.25993672013282776,0.17652153968811035
efficient,0.22662539780139923,0.22738628089427948,0.12175972759723663,0.15271106362342834,0.3171803653240204
routing,0.29352641105651855,0.18212033808231354,0.04845168814063072,0.16593225300312042,0.20956413447856903
method,0.25476205348968506,0.21537424623966217,0.10348742455244064,0.09395677596330643,0.2481250762939453
for,0.3017193675041199,0.318512886762619,0.18398262560367584,0.1477230191230774,0.2540854215621948
telecommunication,0.2281339168548584,0.14696580171585083,0.11849603801965714,0.24469316005706787,0.187021866440773
messages,0.31826624274253845,0.18452005088329315,0.13533352315425873,0.1352555900812149,0.09511826932430267
as,0.31749409437179565,0.3596470057964325,0.18547500669956207,0.20356325805187225,0.17358502745628357
part,0.3476244807243347,0.23558001220226288,0.0899803563952446,0.15349452197551727,0.2254333347082138
of,0.33290785551071167,0.2513895630836487,0.14511796832084656,0.19897006452083588,0.2259741723537445
a,0.3320399522781372,0.2552328109741211,0.13667120039463043,0.19735346734523773,0.27134326100349426
research,0.237140491604805,0.2046227902173996,0.14426816999912262,0.1839037984609604,0.3805612325668335
program,0.25047802925109863,0.18915289640426636,0.0728994831442833,0.2976740002632141,0.3034162223339081
at,0.2838611304759979,0.28390252590179443,0.13789676129817963,0.14187674224376678,0.1719626486301422
the,0.42745697498321533,0.34736719727516174,0.19191958010196686,0.20225991308689117,0.26276466250419617
rand,0.23037707805633545,0.16993215680122375,0.2224293053150177,0.26310282945632935,0.15084749460220337
corporation,0.1715448498725891,0.10538096725940704,0.09010560065507889,0.18043258786201477,0.22467242181301117
",",0.3087472915649414,0.3015086054801941,0.3070785701274872,0.25993672013282776,0.17652153968811035
funded,0.12889151275157928,0.20334458351135254,0.15136100351810455,0.21925728023052216,0.24425773322582245
by,0.2455483376979828,0.18574509024620056,0.2352575659751892,0.1486193984746933,0.16370567679405212
the,0.42745697498321533,0.34736719727516174,0.19191958010196686,0.20225991308689117,0.26276466250419617
us,0.32081687450408936,0.23250600695610046,0.11610865592956543,0.10088943690061569,0.12330974638462067
department,0.20655807852745056,0.12130371481180191,0.11724113672971725,0.22047626972198486,0.1807558387517929
of,0.33290785551071167,0.2513895630836487,0.14511796832084656,0.19897006452083588,0.2259741723537445
defense,0.193815678358078,0.14361093938350677,0.11731644719839096,0.13701429963111877,0.25348523259162903
.,0.3567904531955719,0.35288307070732117,0.25831571221351624,0.2236904501914978,0.2532461881637573
