,where,do,ctenophora,live,?
ctenophora,0.10621871799230576,0.28426316380500793,0.9999998807907104,0.1764754354953766,0.20862777531147003
(,0.1970011591911316,0.24216170608997345,0.21480697393417358,0.20015591382980347,0.40561532974243164
/tᵻˈnɒfərə/,0.13516351580619812,0.28738418221473694,0.18542838096618652,0.0573333278298378,0.48267874121665955
;,-0.020392686128616333,0.06261929124593735,0.06274223327636719,0.03318629041314125,0.10349778085947037
singular,0.2046693116426468,0.31243523955345154,0.33299607038497925,0.1873786449432373,0.17302146553993225
ctenophore,0.1630910038948059,0.31213733553886414,0.9053757190704346,0.19288623332977295,0.2190871685743332
",",0.3149496018886566,0.3283645510673523,0.20480060577392578,0.29754534363746643,0.31091248989105225
/ˈtɛnəfɔːr/,0.23818892240524292,0.2729839086532593,0.28528541326522827,0.17335812747478485,0.42447856068611145
or,0.3651050925254822,0.39439281821250916,0.25133922696113586,0.16903264820575714,0.32389625906944275
/ˈtiːnəfɔːr/,0.14701737463474274,0.20711565017700195,0.2594183683395386,0.15095454454421997,0.36497023701667786
;,-0.020392686128616333,0.06261929124593735,0.06274223327636719,0.03318629041314125,0.10349778085947037
from,0.3713873624801636,0.20424067974090576,0.1317715346813202,0.19593046605587006,0.19969791173934937
the,0.5003893971443176,0.30239659547805786,0.2430446892976761,0.2995128035545349,0.22068053483963013
greek,0.19902768731117249,0.17794327437877655,0.3522953689098358,0.12302599847316742,0.11180876195430756
κτείς,0.016675354912877083,0.09705934673547745,0.31681951880455017,0.02743348851799965,0.126088947057724
kteis,0.19688794016838074,0.17249737679958344,0.36820921301841736,0.19670172035694122,0.18047234416007996
'comb,0.20850980281829834,0.18449576199054718,0.3583008348941803,0.2075568437576294,0.26840975880622864
',0.24928376078605652,0.33874475955963135,0.1898500919342041,0.19770988821983337,0.330942302942276
and,0.43859338760375977,0.276123583316803,0.15281255543231964,0.29040172696113586,0.20544172823429108
φέρω,0.09503112733364105,0.1937822550535202,0.1209045946598053,0.014386490918695927,0.13099947571754456
pherō,0.20693381130695343,0.173455610871315,0.36986106634140015,0.1554635614156723,0.17430178821086884
'carry,0.2905919849872589,0.35012781620025635,0.236845925450325,0.21704156696796417,0.21061457693576813
',0.24928376078605652,0.33874475955963135,0.1898500919342041,0.19770988821983337,0.330942302942276
;,-0.020392686128616333,0.06261929124593735,0.06274223327636719,0.03318629041314125,0.10349778085947037
commonly,0.27393415570259094,0.2260909378528595,0.2521992027759552,0.16444270312786102,0.13546277582645416
known,0.22275541722774506,0.23082251846790314,0.261493444442749,0.1596667319536209,0.18314571678638458
as,0.35409465432167053,0.38329678773880005,0.2036411315202713,0.1558578610420227,0.27043893933296204
comb,0.19743791222572327,0.30873432755470276,0.41990113258361816,0.20414124429225922,0.2510223686695099
jellies,0.14377766847610474,0.21285603940486908,0.552432656288147,0.16912804543972015,0.1617898792028427
),0.20711064338684082,0.24460165202617645,0.20206139981746674,0.20233401656150818,0.42300865054130554
is,0.3586711287498474,0.30895981192588806,0.20774365961551666,0.2694047689437866,0.22961433231830597
a,0.40997210144996643,0.26237669587135315,0.24843408167362213,0.21948647499084473,0.23916715383529663
phylum,0.14608749747276306,0.26568078994750977,0.6852492094039917,0.24024711549282074,0.18758688867092133
of,0.38066378235816956,0.26150479912757874,0.241486594080925,0.27734068036079407,0.1826142966747284
animals,0.24580097198486328,0.28798356652259827,0.4381978213787079,0.2705341577529907,0.16430135071277618
that,0.4876193106174469,0.44533252716064453,0.2257128357887268,0.22191597521305084,0.32716336846351624
live,0.29394233226776123,0.2297554910182953,0.1764754354953766,1.0,0.19481121003627777
in,0.5344807505607605,0.23402775824069977,0.1502838283777237,0.3068392276763916,0.20430970191955566
marine,0.18294478952884674,0.2044742852449417,0.36812207102775574,0.17718997597694397,0.1407923698425293
waters,0.1724209189414978,0.1436735838651657,0.2112162560224533,0.29594936966896057,0.135763481259346
worldwide,0.19593431055545807,0.139451801776886,0.18733349442481995,0.19890664517879486,0.2253960371017456
.,0.41390106081962585,0.3613996207714081,0.24174925684928894,0.32964062690734863,0.4130953550338745
