,what,skin-related,symptom,appears,from,the,pneumonic,plague,?
symptoms,0.23864661157131195,0.2945464551448822,0.9319740533828735,0.18131586909294128,0.19939838349819183,0.20678415894508362,0.42938199639320374,0.39422205090522766,0.23707963526248932
are,0.29724663496017456,0.3914041221141815,0.27471795678138733,0.2518869638442993,0.2674213647842407,0.40399202704429626,0.14262881875038147,0.15205079317092896,0.24591213464736938
high,0.20466077327728271,0.16424214839935303,0.1144280731678009,0.15208908915519714,0.193696990609169,0.28034812211990356,0.15873871743679047,0.15712063014507294,0.11137914657592773
fevers,0.1695190817117691,0.2431463599205017,0.5449322462081909,0.09103064239025116,0.1573217660188675,0.2652446925640106,0.4053456783294678,0.4361240863800049,0.1879604160785675
and,0.31309178471565247,0.31250718235969543,0.17440176010131836,0.24003387987613678,0.3601827025413513,0.5171257257461548,0.19763115048408508,0.2229994833469391,0.20544172823429108
purple,0.13023346662521362,0.19865623116493225,0.14749187231063843,0.19668392837047577,0.18696613609790802,0.21717645227909088,0.022604728117585182,0.1500878483057022,0.10724170506000519
skin,0.22670333087444305,0.542506754398346,0.3688262701034546,0.2188606858253479,0.20657950639724731,0.2213820368051529,0.21259132027626038,0.27300772070884705,0.21488560736179352
patches,0.20208734273910522,0.360992968082428,0.3326304852962494,0.2935805320739746,0.1839006096124649,0.283282995223999,0.16243429481983185,0.2837739884853363,0.18337495625019073
(,0.2411840260028839,0.23630687594413757,0.18362203240394592,0.22700390219688416,0.25806233286857605,0.33289089798927307,0.163432776927948,0.137485072016716,0.40561532974243164
purpura,0.16020607948303223,0.31659162044525146,0.2055468112230301,0.2006070762872696,0.16185657680034637,0.24665211141109467,0.12428060173988342,0.18098735809326172,0.11395836621522903
due,0.15204688906669617,0.26464956998825073,0.1928994208574295,0.22583647072315216,0.2898779809474945,0.22577603161334991,0.27330926060676575,0.20560261607170105,0.10954997688531876
to,0.455847829580307,0.2786668837070465,0.2452159970998764,0.29167720675468445,0.4069952368736267,0.535392165184021,0.19210879504680634,0.21845681965351105,0.29463258385658264
disseminated,0.21533425152301788,0.3113798201084137,0.3337986171245575,0.12597283720970154,0.24145148694515228,0.2325429469347,0.29717063903808594,0.2589377760887146,0.14376996457576752
intravascular,0.3248724639415741,0.4713653028011322,0.45471352338790894,0.20581325888633728,0.28093600273132324,0.33398985862731934,0.4699864685535431,0.2801588177680969,0.27233877778053284
coagulation,0.26683539152145386,0.39475297927856445,0.41762301325798035,0.1371854543685913,0.24770574271678925,0.3595784306526184,0.36613479256629944,0.3531091511249542,0.16597618162631989
),0.26259949803352356,0.21014007925987244,0.1604260355234146,0.20147185027599335,0.2672361731529236,0.3456730246543884,0.1709669828414917,0.1338484138250351,0.42300865054130554
.,0.3567904531955719,0.30312544107437134,0.19916506111621857,0.2625799775123596,0.41536515951156616,0.5934505462646484,0.21953316032886505,0.2547653317451477,0.4130953550338745
