,what,were,x.25,and,frame,relay,used,for
for,0.3017193675041199,0.33592689037323,0.09247758984565735,0.5064792633056641,0.23156283795833588,0.21421201527118683,0.4236139953136444,0.9999999403953552
a,0.3320399522781372,0.17203083634376526,0.1218629851937294,0.3739250600337982,0.20500081777572632,0.21075297892093658,0.3864384889602661,0.44038116931915283
while,0.35511791706085205,0.3084527552127838,0.15194162726402283,0.45699796080589294,0.1952466368675232,0.22105513513088226,0.2704656422138214,0.4232339859008789
",",0.3087472915649414,0.36755475401878357,0.11203207075595856,0.6633074283599854,0.15437807142734528,0.25584784150123596,0.3120402991771698,0.4464869201183319
frame,0.21280157566070557,0.167007178068161,0.03597531095147133,0.20931656658649445,1.0000001192092896,0.23881879448890686,0.21946851909160614,0.23156283795833588
relay,0.16829247772693634,0.18177984654903412,0.11770671606063843,0.22042112052440643,0.23881879448890686,1.0000001192092896,0.23387886583805084,0.21421201527118683
was,0.22111038863658905,0.590133786201477,0.03781469911336899,0.3740963041782379,0.15633782744407654,0.20443768799304962,0.23679393529891968,0.3863949179649353
used,0.27546408772468567,0.27636459469795227,0.039583735167980194,0.3150506615638733,0.21946851909160614,0.23387886583805084,0.9999998807907104,0.4236139953136444
to,0.455847829580307,0.31913647055625916,0.10491752624511719,0.48971283435821533,0.1800948828458786,0.28170013427734375,0.40058770775794983,0.4451248347759247
interconnect,0.19724877178668976,0.17237409949302673,0.0993439257144928,0.2297562211751938,0.21641886234283447,0.4114088714122772,0.32043036818504333,0.20124639570713043
lans,0.19389571249485016,0.28268706798553467,0.1574685424566269,0.3450935184955597,0.19938956201076508,0.27529075741767883,0.3489200472831726,0.24034695327281952
across,0.24809791147708893,0.22917133569717407,0.07315605133771896,0.3308866024017334,0.1765800565481186,0.21047522127628326,0.19313064217567444,0.20198741555213928
wide,0.22181174159049988,0.14779356122016907,0.1096857562661171,0.272363543510437,0.21340498328208923,0.2147081345319748,0.2608835697174072,0.26162320375442505
area,0.21965408325195312,0.2544567286968231,0.13518023490905762,0.3044000566005707,0.1407863050699234,0.15780939161777496,0.2307427078485489,0.20941852033138275
networks,0.18279550969600677,0.18279117345809937,0.13546757400035858,0.27532249689102173,0.16870182752609253,0.3766184449195862,0.2785648703575134,0.2421427071094513
.,0.3567904531955719,0.3378238379955292,0.08462481200695038,0.588965117931366,0.21271292865276337,0.21066129207611084,0.33111312985420227,0.4726039469242096
,what,were,x.25,and,frame,relay,used,for
both,0.3361809551715851,0.4254525601863861,0.12165381014347076,0.5503310561180115,0.16697372496128082,0.2224784791469574,0.3154800534248352,0.3887220323085785
x.25,0.16212259232997894,0.10370413959026337,1.0,0.09234233945608139,0.03597531095147133,0.11770671606063843,0.039583735167980194,0.09247758984565735
and,0.31309178471565247,0.42175528407096863,0.09234233945608139,1.0,0.20931656658649445,0.22042112052440643,0.3150506615638733,0.5064792633056641
frame,0.21280157566070557,0.167007178068161,0.03597531095147133,0.20931656658649445,1.0000001192092896,0.23881879448890686,0.21946851909160614,0.23156283795833588
relay,0.16829247772693634,0.18177984654903412,0.11770671606063843,0.22042112052440643,0.23881879448890686,1.0000001192092896,0.23387886583805084,0.21421201527118683
