,when,was,the,palace,on,the,water,rebuilt,?
some,0.386913925409317,0.21528802812099457,0.4566698372364044,0.12728184461593628,0.31474894285202026,0.4566698372364044,0.29974591732025146,0.15498510003089905,0.2562315762042999
of,0.3757161796092987,0.4069072902202606,0.733189046382904,0.223849356174469,0.3966929316520691,0.733189046382904,0.2741255462169647,0.19431622326374054,0.1826142966747284
the,0.5091903209686279,0.48711544275283813,1.0,0.25955939292907715,0.5107308030128479,1.0,0.297396719455719,0.30831199884414673,0.22068053483963013
best,0.15734568238258362,0.2817839980125427,0.3134109377861023,0.0951622799038887,0.2090703696012497,0.3134109377861023,0.11923742294311523,0.14523537456989288,0.2799045741558075
examples,0.2518409192562103,0.07216602563858032,0.30092597007751465,0.0955294519662857,0.20380041003227234,0.30092597007751465,0.2356073260307312,0.13345655798912048,0.19976599514484406
of,0.3757161796092987,0.4069072902202606,0.733189046382904,0.223849356174469,0.3966929316520691,0.733189046382904,0.2741255462169647,0.19431622326374054,0.1826142966747284
the,0.5091903209686279,0.48711544275283813,1.0,0.25955939292907715,0.5107308030128479,1.0,0.297396719455719,0.30831199884414673,0.22068053483963013
neoclassical,0.19697244465351105,0.30160579085350037,0.16609536111354828,0.2465294450521469,0.14283311367034912,0.16609536111354828,0.11457011848688126,0.30951595306396484,0.19664928317070007
style,0.2162606418132782,0.17358732223510742,0.2331719547510147,0.18916551768779755,0.1947430968284607,0.2331719547510147,0.16598035395145416,0.18817298114299774,0.19862167537212372
are,0.29873907566070557,0.3076191842556,0.40399202704429626,0.09508481621742249,0.268924742937088,0.40399202704429626,0.26855918765068054,0.0718512237071991,0.24591213464736938
the,0.5091903209686279,0.48711544275283813,1.0,0.25955939292907715,0.5107308030128479,1.0,0.297396719455719,0.30831199884414673,0.22068053483963013
palace,0.169320210814476,0.22858285903930664,0.25955939292907715,0.9999999403953552,0.13724961876869202,0.25955939292907715,0.12431920319795609,0.35920965671539307,0.14965219795703888
on,0.37706470489501953,0.3909217119216919,0.5107308030128479,0.13724961876869202,0.9999999403953552,0.5107308030128479,0.18117135763168335,0.16577333211898804,0.2714994251728058
the,0.5091903209686279,0.48711544275283813,1.0,0.25955939292907715,0.5107308030128479,1.0,0.297396719455719,0.30831199884414673,0.22068053483963013
water,0.28462544083595276,0.18750394880771637,0.297396719455719,0.12431920319795609,0.18117135763168335,0.297396719455719,0.9999998807907104,0.20793266594409943,0.14731885492801666
(,0.2459595799446106,0.2980341613292694,0.33289089798927307,0.17869748175144196,0.28656116127967834,0.33289089798927307,0.16755586862564087,0.15151149034500122,0.40561532974243164
rebuilt,0.21840380132198334,0.3419616222381592,0.30831199884414673,0.35920965671539307,0.16577333211898804,0.30831199884414673,0.20793266594409943,0.9999999403953552,0.08837113529443741
1775–1795,0.09619539231061935,-0.08903796225786209,-0.00182574731297791,-0.10780812799930573,-0.07521519064903259,-0.00182574731297791,0.05531688407063484,-0.043475616723299026,0.11509110033512115
),0.2538422644138336,0.3267642855644226,0.3456730246543884,0.18446725606918335,0.29937487840652466,0.3456730246543884,0.18243473768234253,0.14401619136333466,0.42300865054130554
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.2317083179950714,0.49057599902153015,0.4933079481124878,0.26706066727638245,0.205765500664711,0.31091248989105225
królikarnia,0.2732648551464081,0.33814677596092224,0.3620048463344574,0.3035507798194885,0.22956138849258423,0.3620048463344574,0.2647143304347992,0.25109967589378357,0.2700255215167999
(,0.2459595799446106,0.2980341613292694,0.33289089798927307,0.17869748175144196,0.28656116127967834,0.33289089798927307,0.16755586862564087,0.15151149034500122,0.40561532974243164
1782–1786,0.1476132720708847,0.051606230437755585,0.14534613490104675,0.005371444392949343,0.11762412637472153,0.14534613490104675,0.10389699041843414,0.05921618640422821,0.2092212736606598
),0.2538422644138336,0.3267642855644226,0.3456730246543884,0.18446725606918335,0.29937487840652466,0.3456730246543884,0.18243473768234253,0.14401619136333466,0.42300865054130554
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.2317083179950714,0.49057599902153015,0.4933079481124878,0.26706066727638245,0.205765500664711,0.31091248989105225
carmelite,0.178196981549263,0.2924961447715759,0.2520553767681122,0.2473689168691635,0.1681128442287445,0.2520553767681122,0.1648082137107849,0.24564562737941742,0.20299963653087616
church,0.20053261518478394,0.24960921704769135,0.23846197128295898,0.24142658710479736,0.1726921796798706,0.23846197128295898,0.15648595988750458,0.32232555747032166,0.18081501126289368
(,0.2459595799446106,0.2980341613292694,0.33289089798927307,0.17869748175144196,0.28656116127967834,0.33289089798927307,0.16755586862564087,0.15151149034500122,0.40561532974243164
façade,0.11215508729219437,0.24647100269794464,0.33251336216926575,0.3857133388519287,0.18651700019836426,0.33251336216926575,0.19018195569515228,0.3902440369129181,0.14144746959209442
1761–1783,0.09312395751476288,-0.04542630538344383,0.06477359682321548,-0.0964091345667839,0.022915128618478775,0.06477359682321548,0.0906364843249321,-0.0014732327545061707,0.1001390665769577
),0.2538422644138336,0.3267642855644226,0.3456730246543884,0.18446725606918335,0.29937487840652466,0.3456730246543884,0.18243473768234253,0.14401619136333466,0.42300865054130554
and,0.4716290831565857,0.3740963041782379,0.5171257257461548,0.20294713973999023,0.4077630043029785,0.5171257257461548,0.3054247498512268,0.22822636365890503,0.20544172823429108
evangelical,0.12281137704849243,0.20954948663711548,0.23743100464344025,0.035039354115724564,0.18489494919776917,0.23743100464344025,0.10513702034950256,0.1121186763048172,0.16597984731197357
holy,0.16601495444774628,0.19543759524822235,0.2778179347515106,0.2082652896642685,0.16306132078170776,0.2778179347515106,0.1770687997341156,0.2412993311882019,0.18148104846477509
trinity,0.14912763237953186,0.23401494324207306,0.2496737241744995,0.1286422163248062,0.17811332643032074,0.2496737241744995,0.17275038361549377,0.2273307889699936,0.18659240007400513
church,0.20053261518478394,0.24960921704769135,0.23846197128295898,0.24142658710479736,0.1726921796798706,0.23846197128295898,0.15648595988750458,0.32232555747032166,0.18081501126289368
(,0.2459595799446106,0.2980341613292694,0.33289089798927307,0.17869748175144196,0.28656116127967834,0.33289089798927307,0.16755586862564087,0.15151149034500122,0.40561532974243164
1777–1782,0.10407502204179764,-0.10822597146034241,0.03183414041996002,-0.1190766766667366,-0.04973280057311058,0.03183414041996002,0.0316096693277359,-0.031070813536643982,0.11749622970819473
