,when,was,the,confederation,of,the,rhine,?
the,0.5091903209686279,0.48711544275283813,1.0,0.338320255279541,0.733189046382904,1.0,0.30735138058662415,0.22068053483963013
confederation,0.15986080467700958,0.254781037569046,0.338320255279541,1.0000001192092896,0.3036113679409027,0.338320255279541,0.3604039251804352,0.1559038907289505
of,0.3757161796092987,0.4069072902202606,0.733189046382904,0.3036113679409027,1.0,0.733189046382904,0.2548927664756775,0.1826142966747284
the,0.5091903209686279,0.48711544275283813,1.0,0.338320255279541,0.733189046382904,1.0,0.30735138058662415,0.22068053483963013
rhine,0.13750529289245605,0.18681856989860535,0.30735138058662415,0.3604039251804352,0.2548927664756775,0.30735138058662415,1.0,0.13754533231258392
was,0.37326499819755554,1.0000001192092896,0.48711544275283813,0.254781037569046,0.4069072902202606,0.48711544275283813,0.18681856989860535,0.18412111699581146
established,0.18169470131397247,0.26515325903892517,0.33092597126960754,0.2890714108943939,0.2735237777233124,0.33092597126960754,0.17527751624584198,0.15917523205280304
by,0.4376842677593231,0.4752357602119446,0.4408751428127289,0.19481641054153442,0.3646814823150635,0.4408751428127289,0.18456800282001495,0.17966607213020325
napoleon,0.19452770054340363,0.26898297667503357,0.2502446174621582,0.3312171399593353,0.20811064541339874,0.2502446174621582,0.2989141345024109,0.15321364998817444
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.23066601157188416,0.4946078956127167,0.4933079481124878,0.167837992310524,0.31091248989105225
as,0.4437963366508484,0.3677520453929901,0.48381632566452026,0.19671228528022766,0.3886612355709076,0.48381632566452026,0.18380387127399445,0.27043893933296204
a,0.44397395849227905,0.4508470594882965,0.5829201340675354,0.20444446802139282,0.5052502155303955,0.5829201340675354,0.1823403388261795,0.23916715383529663
french,0.18820616602897644,0.2523815333843231,0.2555147111415863,0.29079362750053406,0.19450366497039795,0.2555147111415863,0.2762029767036438,0.1386883556842804
client,0.1744951456785202,0.166180819272995,0.22438184916973114,0.14565962553024292,0.1617206633090973,0.22438184916973114,0.2378692477941513,0.20958182215690613
state,0.2549494504928589,0.22072885930538177,0.3097178041934967,0.2878730893135071,0.34253445267677307,0.3097178041934967,0.25422582030296326,0.1160883978009224
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.23066601157188416,0.4946078956127167,0.4933079481124878,0.167837992310524,0.31091248989105225
in,0.4431333839893341,0.45514053106307983,0.6662389636039734,0.24201244115829468,0.5696388483047485,0.6662389636039734,0.24648422002792358,0.20430970191955566
1806,0.22276249527931213,0.013058681041002274,0.13159698247909546,-0.037697069346904755,0.1389991044998169,0.13159698247909546,0.07429543137550354,0.10316470265388489
and,0.4716290831565857,0.3740963041782379,0.5171257257461548,0.2237556129693985,0.5116966962814331,0.5171257257461548,0.22029656171798706,0.20544172823429108
lasted,0.2528345286846161,0.4320896565914154,0.2910100221633911,0.18137355148792267,0.27373629808425903,0.2910100221633911,0.21994446218013763,0.13777512311935425
until,0.494509756565094,0.43126991391181946,0.37191009521484375,0.16227662563323975,0.2787701487541199,0.37191009521484375,0.2225569188594818,0.20304496586322784
1814,0.09205549210309982,0.1638902723789215,0.0333278514444828,0.08262200653553009,0.09749412536621094,0.0333278514444828,0.06650374084711075,0.1497342884540558
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.23066601157188416,0.4946078956127167,0.4933079481124878,0.167837992310524,0.31091248989105225
during,0.46721696853637695,0.4470829963684082,0.4838213622570038,0.21532683074474335,0.3869180977344513,0.4838213622570038,0.18684938549995422,0.1325719803571701
which,0.572554349899292,0.2830964922904968,0.6521818041801453,0.2570469081401825,0.5011631846427917,0.6521818041801453,0.18744276463985443,0.25814583897590637
time,0.4363728165626526,0.3641340136528015,0.43061500787734985,0.20636069774627686,0.35127586126327515,0.43061500787734985,0.1911163330078125,0.27391523122787476
it,0.4775012135505676,0.4577186405658722,0.6251175999641418,0.2301097959280014,0.38761502504348755,0.6251175999641418,0.17693428695201874,0.25732165575027466
served,0.1625121384859085,0.35597074031829834,0.25209251046180725,0.14507290720939636,0.2967056334018707,0.25209251046180725,0.12873682379722595,0.117141492664814
as,0.4437963366508484,0.3677520453929901,0.48381632566452026,0.19671228528022766,0.3886612355709076,0.48381632566452026,0.18380387127399445,0.27043893933296204
a,0.44397395849227905,0.4508470594882965,0.5829201340675354,0.20444446802139282,0.5052502155303955,0.5829201340675354,0.1823403388261795,0.23916715383529663
significant,0.1782427728176117,0.187061607837677,0.35524800419807434,0.16312764585018158,0.318554162979126,0.35524800419807434,0.12132226675748825,0.18679562211036682
source,0.18842492997646332,0.14040647447109222,0.30258262157440186,0.1414911150932312,0.18598204851150513,0.30258262157440186,0.20831243693828583,0.2462312877178192
of,0.3757161796092987,0.4069072902202606,0.733189046382904,0.3036113679409027,1.0,0.733189046382904,0.2548927664756775,0.1826142966747284
resources,0.2354515790939331,0.14124581217765808,0.25734785199165344,0.25185123085975647,0.2746381163597107,0.25734785199165344,0.16035619378089905,0.26047492027282715
and,0.4716290831565857,0.3740963041782379,0.5171257257461548,0.2237556129693985,0.5116966962814331,0.5171257257461548,0.22029656171798706,0.20544172823429108
military,0.20479682087898254,0.24704936146736145,0.2290858030319214,0.2991660535335541,0.27347031235694885,0.2290858030319214,0.2040538787841797,0.1890317052602768
manpower,0.27231869101524353,0.22110262513160706,0.3114681541919708,0.420514315366745,0.2533341646194458,0.3114681541919708,0.21304260194301605,0.3374505639076233
for,0.43402108550071716,0.3863949179649353,0.4739971458911896,0.2157653421163559,0.4185989499092102,0.4739971458911896,0.1584572196006775,0.264628142118454
the,0.5091903209686279,0.48711544275283813,1.0,0.338320255279541,0.733189046382904,1.0,0.30735138058662415,0.22068053483963013
first,0.4282494783401489,0.5022147297859192,0.49448907375335693,0.26231542229652405,0.3536086082458496,0.49448907375335693,0.13051658868789673,0.18701928853988647
french,0.18820616602897644,0.2523815333843231,0.2555147111415863,0.29079362750053406,0.19450366497039795,0.2555147111415863,0.2762029767036438,0.1386883556842804
empire,0.18422111868858337,0.30602675676345825,0.32532164454460144,0.33795711398124695,0.30522286891937256,0.32532164454460144,0.2721722424030304,0.14909450709819794
.,0.475719153881073,0.40146201848983765,0.5934505462646484,0.2577512562274933,0.5352458953857422,0.5934505462646484,0.2089352011680603,0.4130953550338745
