,what,is,the,proto-germanic,adaptation,of,the,name,of,the,rhine,?
[,0.010752761736512184,-0.06921151280403137,0.07130392640829086,0.004382931161671877,0.053775351494550705,0.010817250236868858,0.07130392640829086,-0.009093504399061203,0.010817250236868858,0.07130392640829086,0.12319914251565933,0.011015460826456547
note,0.2500276267528534,0.22927063703536987,0.255229115486145,0.11655408889055252,0.11465567350387573,0.1706424355506897,0.255229115486145,0.16368374228477478,0.1706424355506897,0.255229115486145,0.09906937181949615,0.2754004895687103
3,0.04473085701465607,0.1504552811384201,0.06283142417669296,0.052746064960956573,0.07329634577035904,0.046857766807079315,0.06283142417669296,0.09124153107404709,0.046857766807079315,0.06283142417669296,0.07943644374608994,0.005975271109491587
],-0.03775298595428467,-0.02998926118016243,-0.04779602214694023,0.022423332557082176,-0.013730539940297604,-0.035044461488723755,-0.04779602214694023,-0.02270379662513733,-0.035044461488723755,-0.04779602214694023,-0.016111083328723907,-0.0022520492784678936
the,0.42745697498321533,0.5823672413825989,1.0,0.3311484754085541,0.2371719926595688,0.733189046382904,1.0,0.3171212375164032,0.733189046382904,1.0,0.30735138058662415,0.22068053483963013
spelling,0.2473261058330536,0.2441502958536148,0.23768942058086395,0.25654399394989014,0.09824711829423904,0.19078011810779572,0.23768942058086395,0.36612948775291443,0.19078011810779572,0.23768942058086395,0.06541361659765244,0.23016591370105743
with,0.2464839518070221,0.3250955045223236,0.4223487675189972,0.2773785889148712,0.16778621077537537,0.41827285289764404,0.4223487675189972,0.17897967994213104,0.41827285289764404,0.4223487675189972,0.18184249103069305,0.2433311939239502
rh-,0.05994853749871254,0.10124589502811432,0.1918235421180725,0.32149770855903625,0.14360636472702026,0.15155377984046936,0.1918235421180725,0.14333531260490417,0.15155377984046936,0.1918235421180725,0.5471546053886414,0.05741379037499428
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.2620809078216553,0.19578887522220612,0.5696388483047485,0.6662389636039734,0.2459065467119217,0.5696388483047485,0.6662389636039734,0.24648422002792358,0.20430970191955566
english,0.25060737133026123,0.24613474309444427,0.23982001841068268,0.31895554065704346,0.24913720786571503,0.17198967933654785,0.23982001841068268,0.27055349946022034,0.17198967933654785,0.23982001841068268,0.16806156933307648,0.23251567780971527
rhine,0.16475653648376465,0.15617261826992035,0.30735138058662415,0.43494361639022827,0.06968796998262405,0.2548927664756775,0.30735138058662415,0.12217257916927338,0.2548927664756775,0.30735138058662415,1.0,0.13754533231258392
as,0.31749409437179565,0.43216490745544434,0.48381632566452026,0.2767738699913025,0.2540149986743927,0.3886612355709076,0.48381632566452026,0.2851914167404175,0.3886612355709076,0.48381632566452026,0.18380387127399445,0.27043893933296204
well,0.4154493808746338,0.33406564593315125,0.42630070447921753,0.23354947566986084,0.22858187556266785,0.3343164324760437,0.42630070447921753,0.17632928490638733,0.3343164324760437,0.42630070447921753,0.19703485071659088,0.24815571308135986
as,0.31749409437179565,0.43216490745544434,0.48381632566452026,0.2767738699913025,0.2540149986743927,0.3886612355709076,0.48381632566452026,0.2851914167404175,0.3886612355709076,0.48381632566452026,0.18380387127399445,0.27043893933296204
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.2620809078216553,0.19578887522220612,0.5696388483047485,0.6662389636039734,0.2459065467119217,0.5696388483047485,0.6662389636039734,0.24648422002792358,0.20430970191955566
german,0.1960553526878357,0.19231973588466644,0.256483793258667,0.4525938332080841,0.10331499576568604,0.2122138887643814,0.256483793258667,0.14387056231498718,0.2122138887643814,0.256483793258667,0.49305370450019836,0.13978645205497742
rhein,0.15212267637252808,0.2335740327835083,0.2614726424217224,0.37949544191360474,0.12678295373916626,0.24313244223594666,0.2614726424217224,0.1940275877714157,0.24313244223594666,0.2614726424217224,0.6607828736305237,0.2176131010055542
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.270100861787796,0.21907475590705872,0.5116966962814331,0.5171257257461548,0.21235932409763336,0.5116966962814331,0.5171257257461548,0.22029656171798706,0.20544172823429108
french,0.17393042147159576,0.19312386214733124,0.2555147111415863,0.2507966458797455,0.15752677619457245,0.19450366497039795,0.2555147111415863,0.18910211324691772,0.19450366497039795,0.2555147111415863,0.2762029767036438,0.1386883556842804
