,higher,rates,of,health,and,social,problems,are,just,two,of,examples,of,effects,from,what,?
effects,0.26419708132743835,0.37442609667778015,0.21244898438453674,0.3714279234409332,0.26666516065597534,0.257942795753479,0.37416204810142517,0.27667149901390076,0.2216014415025711,0.16703848540782928,0.21244898438453674,0.32053595781326294,0.21244898438453674,1.0000001192092896,0.20401045680046082,0.22572848200798035,0.16749060153961182
of,0.3096220791339874,0.2585311233997345,1.0,0.28076469898223877,0.5116966962814331,0.2605111300945282,0.2450421154499054,0.39081433415412903,0.35124439001083374,0.37726253271102905,1.0,0.3054686188697815,1.0,0.21244898438453674,0.4249346852302551,0.33290785551071167,0.1826142966747284
inequality,0.3147837817668915,0.3752773702144623,0.27910974621772766,0.3470330834388733,0.2590520679950714,0.48126378655433655,0.4065331220626831,0.24070033431053162,0.21207210421562195,0.25851327180862427,0.27910974621772766,0.2171621024608612,0.27910974621772766,0.29619550704956055,0.06381086260080338,0.30072227120399475,0.23619021475315094
researchers,0.2752567231655121,0.30384811758995056,0.23457743227481842,0.3263973891735077,0.2865251898765564,0.25659921765327454,0.2729051411151886,0.33773449063301086,0.23854510486125946,0.2322109490633011,0.23457743227481842,0.2782498598098755,0.23457743227481842,0.2904736399650574,0.23222222924232483,0.29493099451065063,0.14480042457580566
have,0.3573189079761505,0.28337380290031433,0.3802283704280853,0.2750714123249054,0.4711785912513733,0.2098868191242218,0.35452309250831604,0.6577680706977844,0.45864632725715637,0.4498785734176636,0.3802283704280853,0.3969608247280121,0.3802283704280853,0.30499693751335144,0.30702701210975647,0.39808809757232666,0.32991164922714233
found,0.14600330591201782,0.1947016417980194,0.2982911467552185,0.16176854074001312,0.27978911995887756,0.17261944711208344,0.1616072952747345,0.2740558087825775,0.2306448370218277,0.20758113265037537,0.2982911467552185,0.2555832266807556,0.2982911467552185,0.1466032862663269,0.15488772094249725,0.1796332150697708,0.16790300607681274
include,0.1311129778623581,0.2335047423839569,0.37431180477142334,0.23623669147491455,0.3915219306945801,0.18803253769874573,0.20521005988121033,0.5140694975852966,0.22024773061275482,0.2755211889743805,0.37431180477142334,0.554942786693573,0.37431180477142334,0.26185518503189087,0.2679238021373749,0.1535889357328415,0.14925788342952728
higher,1.0,0.4424194395542145,0.3096220791339874,0.21500584483146667,0.3147866129875183,0.26766929030418396,0.2454357147216797,0.2964613437652588,0.2874256372451782,0.24243386089801788,0.3096220791339874,0.17698144912719727,0.3096220791339874,0.26419708132743835,0.2177213728427887,0.2538340389728546,0.15679465234279633
rates,0.4424194395542145,1.0,0.2585311233997345,0.3469219505786896,0.2589600086212158,0.23757560551166534,0.29856279492378235,0.2806459367275238,0.20153383910655975,0.20138303935527802,0.2585311233997345,0.2829588055610657,0.2585311233997345,0.37442609667778015,0.24062766134738922,0.2148645967245102,0.13808594644069672
of,0.3096220791339874,0.2585311233997345,1.0,0.28076469898223877,0.5116966962814331,0.2605111300945282,0.2450421154499054,0.39081433415412903,0.35124439001083374,0.37726253271102905,1.0,0.3054686188697815,1.0,0.21244898438453674,0.4249346852302551,0.33290785551071167,0.1826142966747284
health,0.21500584483146667,0.3469219505786896,0.28076469898223877,1.0000001192092896,0.3215619623661041,0.3956437110900879,0.40322181582450867,0.19031372666358948,0.24877256155014038,0.11344872415065765,0.28076469898223877,0.16003628075122833,0.28076469898223877,0.3714279234409332,0.17037683725357056,0.21460163593292236,0.16094304621219635
and,0.3147866129875183,0.2589600086212158,0.5116966962814331,0.3215619623661041,1.0,0.38231831789016724,0.285793662071228,0.48576638102531433,0.3842737674713135,0.4671151638031006,0.5116966962814331,0.35639533400535583,0.5116966962814331,0.26666516065597534,0.3601827025413513,0.31309178471565247,0.20544172823429108
social,0.26766929030418396,0.23757560551166534,0.2605111300945282,0.3956437110900879,0.38231831789016724,1.0,0.24665296077728271,0.21125389635562897,0.19147853553295135,0.1568053960800171,0.2605111300945282,0.16079102456569672,0.2605111300945282,0.257942795753479,0.16684982180595398,0.22217629849910736,0.1615191102027893
problems,0.2454357147216797,0.29856279492378235,0.2450421154499054,0.40322181582450867,0.285793662071228,0.24665296077728271,1.0,0.2565869987010956,0.2706226706504822,0.22893044352531433,0.2450421154499054,0.32944121956825256,0.2450421154499054,0.37416204810142517,0.21618343889713287,0.3306994140148163,0.2638136148452759
",",0.251458078622818,0.19299949705600739,0.4946078956127167,0.2331448197364807,0.6633074283599854,0.2674078345298767,0.2596952021121979,0.4062570035457611,0.43425118923187256,0.35859420895576477,0.4946078956127167,0.2687304615974426,0.4946078956127167,0.23115523159503937,0.39760664105415344,0.3087472915649414,0.31091248989105225
and,0.3147866129875183,0.2589600086212158,0.5116966962814331,0.3215619623661041,1.0,0.38231831789016724,0.285793662071228,0.48576638102531433,0.3842737674713135,0.4671151638031006,0.5116966962814331,0.35639533400535583,0.5116966962814331,0.26666516065597534,0.3601827025413513,0.31309178471565247,0.20544172823429108
lower,0.5770463347434998,0.33435893058776855,0.31757521629333496,0.2023916244506836,0.2802542746067047,0.242025226354599,0.1928171068429947,0.22557412087917328,0.22701701521873474,0.1788208782672882,0.31757521629333496,0.15069344639778137,0.31757521629333496,0.16256918013095856,0.2286408692598343,0.20079238712787628,0.08471795171499252
rates,0.4424194395542145,1.0,0.2585311233997345,0.3469219505786896,0.2589600086212158,0.23757560551166534,0.29856279492378235,0.2806459367275238,0.20153383910655975,0.20138303935527802,0.2585311233997345,0.2829588055610657,0.2585311233997345,0.37442609667778015,0.24062766134738922,0.2148645967245102,0.13808594644069672
of,0.3096220791339874,0.2585311233997345,1.0,0.28076469898223877,0.5116966962814331,0.2605111300945282,0.2450421154499054,0.39081433415412903,0.35124439001083374,0.37726253271102905,1.0,0.3054686188697815,1.0,0.21244898438453674,0.4249346852302551,0.33290785551071167,0.1826142966747284
social,0.26766929030418396,0.23757560551166534,0.2605111300945282,0.3956437110900879,0.38231831789016724,1.0,0.24665296077728271,0.21125389635562897,0.19147853553295135,0.1568053960800171,0.2605111300945282,0.16079102456569672,0.2605111300945282,0.257942795753479,0.16684982180595398,0.22217629849910736,0.1615191102027893
goods,0.21340057253837585,0.32603979110717773,0.18927626311779022,0.24970610439777374,0.2947494387626648,0.21236930787563324,0.20311063528060913,0.2688404321670532,0.2356293946504593,0.1893293410539627,0.18927626311779022,0.26963499188423157,0.18927626311779022,0.1752348095178604,0.21074913442134857,0.20192822813987732,0.12034571915864944
",",0.251458078622818,0.19299949705600739,0.4946078956127167,0.2331448197364807,0.6633074283599854,0.2674078345298767,0.2596952021121979,0.4062570035457611,0.43425118923187256,0.35859420895576477,0.4946078956127167,0.2687304615974426,0.4946078956127167,0.23115523159503937,0.39760664105415344,0.3087472915649414,0.31091248989105225
a,0.2608921229839325,0.24341748654842377,0.5052502155303955,0.21166443824768066,0.3739250600337982,0.2286769598722458,0.21523453295230865,0.265255331993103,0.47693389654159546,0.3289857804775238,0.5052502155303955,0.2633219361305237,0.5052502155303955,0.20917339622974396,0.322764128446579,0.3320399522781372,0.23916715383529663
