,what,were,the,protesters,doing,with,christ,'s,counsel,?
first,0.28086137771606445,0.3285558819770813,0.49448907375335693,0.18282893300056458,0.16842122375965118,0.2691199779510498,0.17107033729553223,-0.014458609744906425,0.14862044155597687,0.18701928853988647
",",0.3087472915649414,0.36755475401878357,0.4933079481124878,0.26297226548194885,0.31285786628723145,0.4120737314224243,0.22404725849628448,-0.0016132977325469255,0.19927780330181122,0.31091248989105225
in,0.30808621644973755,0.3815755248069763,0.6662389636039734,0.28835320472717285,0.27240219712257385,0.4080928862094879,0.16419753432273865,-0.037580832839012146,0.14475800096988678,0.20430970191955566
choosing,0.37332260608673096,0.22025060653686523,0.32819104194641113,0.15673625469207764,0.3939341902732849,0.2439345121383667,0.20050697028636932,-0.07444778084754944,0.24657446146011353,0.24394561350345612
violence,0.24788525700569153,0.22823014855384827,0.25465771555900574,0.43853896856307983,0.2342948466539383,0.15887562930583954,0.22577722370624542,0.05901326611638069,0.2140916883945465,0.20634515583515167
over,0.28007611632347107,0.30589473247528076,0.39856547117233276,0.23262418806552887,0.2800770401954651,0.34885337948799133,0.13121779263019562,0.016215575858950615,0.1796480417251587,0.25742942094802856
lawful,0.3231540322303772,0.270282119512558,0.22974924743175507,0.3120189607143402,0.36537623405456543,0.20754064619541168,0.20480968058109283,0.08612697571516037,0.3495865762233734,0.19633424282073975
submission,0.258326917886734,0.20912028849124908,0.26893264055252075,0.2578496038913727,0.2637699842453003,0.23765829205513,0.2361464500427246,-0.01708143949508667,0.24270828068256378,0.2050863802433014
to,0.455847829580307,0.31913647055625916,0.535392165184021,0.26689815521240234,0.3272162973880768,0.4239959120750427,0.22245259582996368,0.03782717138528824,0.24859434366226196,0.29463258385658264
the,0.42745697498321533,0.3906462490558624,1.0,0.2494657039642334,0.29305580258369446,0.4223487675189972,0.25124865770339966,-0.01540423184633255,0.2157531976699829,0.22068053483963013
secular,0.26444122195243835,0.21402139961719513,0.24261851608753204,0.2897082567214966,0.19271470606327057,0.13550563156604767,0.33482539653778076,0.008703164756298065,0.22305627167224884,0.13290788233280182
government,0.28074538707733154,0.27806493639945984,0.31798112392425537,0.40379151701927185,0.25811320543289185,0.2035938799381256,0.1496206521987915,0.00033092309604398906,0.32451069355010986,0.18851417303085327
",",0.3087472915649414,0.36755475401878357,0.4933079481124878,0.26297226548194885,0.31285786628723145,0.4120737314224243,0.22404725849628448,-0.0016132977325469255,0.19927780330181122,0.31091248989105225
they,0.4431931674480438,0.5580583214759827,0.49925389885902405,0.33033984899520874,0.3415575325489044,0.42091572284698486,0.20713739097118378,0.03738465905189514,0.1085740178823471,0.2753053903579712
were,0.22298263013362885,1.0000001192092896,0.3906462490558624,0.3483699858188629,0.2004420906305313,0.3179011940956116,0.1325245052576065,0.007088581565767527,0.09226915240287781,0.17890112102031708
ignoring,0.47845882177352905,0.24944135546684265,0.3114033341407776,0.3607758581638336,0.5170101523399353,0.23702996969223022,0.2306717336177826,-0.014602127484977245,0.3123285174369812,0.3513915240764618
christ,0.2615339457988739,0.1325245052576065,0.25124865770339966,0.21898740530014038,0.1780727207660675,0.1424454152584076,0.9999999403953552,0.054941605776548386,0.14916293323040009,0.13772203028202057
