,what,did,luther,think,of,purgatory,?
he,0.3114890456199646,0.3292143940925598,0.2454872578382492,0.26572662591934204,0.38706058263778687,0.19010543823242188,0.2089974731206894
also,0.42747777700424194,0.39334940910339355,0.22154976427555084,0.38373658061027527,0.4924938678741455,0.23446044325828552,0.21848613023757935
rejected,0.2521476447582245,0.3544847071170807,0.21717029809951782,0.3224114179611206,0.27805227041244507,0.2443009614944458,0.20434792339801788
the,0.42745697498321533,0.34736719727516174,0.1759674996137619,0.3102172613143921,0.733189046382904,0.28960198163986206,0.22068053483963013
existence,0.28166496753692627,0.1860221028327942,0.12263843417167664,0.26949846744537354,0.28272730112075806,0.3205420672893524,0.17803658545017242
of,0.33290785551071167,0.2513895630836487,0.1719115972518921,0.2625778615474701,1.0,0.2645772397518158,0.1826142966747284
purgatory,0.3479570150375366,0.1478838324546814,0.32118529081344604,0.29605796933174133,0.2645772397518158,0.9999999403953552,0.23922227323055267
",",0.3087472915649414,0.3015086054801941,0.23255878686904907,0.3095206320285797,0.4946078956127167,0.2961324155330658,0.31091248989105225
which,0.5261979103088379,0.2750149369239807,0.17501473426818848,0.3395437002182007,0.5011631846427917,0.2947723865509033,0.25814583897590637
involved,0.2673480808734894,0.3037993907928467,0.12428950518369675,0.3110823631286621,0.30147984623908997,0.10605153441429138,0.20599231123924255
christian,0.17849333584308624,0.20078235864639282,0.36969617009162903,0.17576442658901215,0.23494116961956024,0.35056304931640625,0.1508396863937378
souls,0.2576521933078766,0.17192335426807404,0.14558860659599304,0.29466575384140015,0.23374544084072113,0.45614710450172424,0.18306730687618256
undergoing,0.2311505824327469,0.19206055998802185,0.13699890673160553,0.24113908410072327,0.26731470227241516,0.14270521700382233,0.13844598829746246
penitential,0.27024874091148376,0.2199145406484604,0.2966001629829407,0.31042569875717163,0.2738330364227295,0.3394107222557068,0.2253200113773346
suffering,0.2904309332370758,0.2510739862918854,0.1780359148979187,0.26323142647743225,0.25025078654289246,0.28659600019454956,0.12642043828964233
after,0.21973377466201782,0.30330467224121094,0.17198127508163452,0.2643776834011078,0.3867455720901489,0.18758119642734528,0.16608688235282898
death,0.2267695665359497,0.2252790331840515,0.15764257311820984,0.1513487994670868,0.23778599500656128,0.22077350318431854,0.21149799227714539
.,0.3567904531955719,0.35288307070732117,0.24907569587230682,0.31119775772094727,0.5352458953857422,0.25153276324272156,0.4130953550338745
