,who,was,determined,to,expose,luther,at,this,time,?
the,0.3733934462070465,0.48711544275283813,0.3632190227508545,0.535392165184021,0.18799997866153717,0.1759674996137619,0.457212895154953,0.6274310946464539,0.43061500787734985,0.22068053483963013
theologian,0.2763800621032715,0.2595475912094116,0.06498893350362778,0.11932258307933807,0.13355667889118195,0.37448811531066895,0.12976524233818054,0.12048234045505524,0.13685491681098938,0.1625964343547821
johann,0.2507777810096741,0.22661232948303223,0.14515146613121033,0.1611560434103012,0.09959524869918823,0.3837730586528778,0.11761213093996048,0.16754618287086487,0.16296418011188507,0.1194499209523201
eck,0.24915529787540436,0.2736509442329407,0.1002846285700798,0.1271955817937851,0.1158338263630867,0.3661292493343353,0.1898406445980072,0.13311181962490082,0.2046683430671692,0.17439329624176025
",",0.3365725874900818,0.45456063747406006,0.20723886787891388,0.44245919585227966,0.1422649770975113,0.23255878686904907,0.38314947485923767,0.4316047728061676,0.3029961884021759,0.31091248989105225
however,0.4020770490169525,0.37327632308006287,0.4724084138870239,0.5474119186401367,0.26842015981674194,0.19122347235679626,0.29641106724739075,0.5548387765884399,0.41736549139022827,0.2152075469493866
",",0.3365725874900818,0.45456063747406006,0.20723886787891388,0.44245919585227966,0.1422649770975113,0.23255878686904907,0.38314947485923767,0.4316047728061676,0.3029961884021759,0.31091248989105225
was,0.3318818509578705,1.0000001192092896,0.22855234146118164,0.3636345863342285,0.140666663646698,0.19185513257980347,0.36707764863967896,0.3638818562030792,0.3641340136528015,0.18412111699581146
determined,0.2246977984905243,0.22855234146118164,0.9999999403953552,0.3210490345954895,0.24334566295146942,0.14826446771621704,0.20816855132579803,0.3173256814479828,0.23712806403636932,0.19379007816314697
to,0.42656609416007996,0.3636345863342285,0.3210490345954895,1.0,0.30008503794670105,0.18029534816741943,0.36524343490600586,0.5759071707725525,0.3679993152618408,0.29463258385658264
expose,0.19055138528347015,0.140666663646698,0.24334566295146942,0.30008503794670105,0.9999998807907104,0.14735347032546997,0.15085536241531372,0.2546120882034302,0.22685880959033966,0.1570730060338974
luther,0.21013082563877106,0.19185513257980347,0.14826446771621704,0.18029534816741943,0.14735347032546997,1.0,0.13834704458713531,0.17328955233097076,0.17623016238212585,0.1732746809720993
's,0.05599616840481758,0.008974763564765453,-0.04891816899180412,0.03782717138528824,-0.018678294494748116,-0.009990512393414974,-0.08481216430664062,0.02106832154095173,0.01301188487559557,-0.023395681753754616
doctrine,0.21387141942977905,0.1871018409729004,0.22355328500270844,0.18971149623394012,0.14079956710338593,0.34285056591033936,0.14126159250736237,0.2466030865907669,0.21005423367023468,0.21789313852787018
in,0.2792111933231354,0.45514053106307983,0.2656884789466858,0.45010748505592346,0.18588049709796906,0.20523880422115326,0.4374977946281433,0.45205554366111755,0.3431483507156372,0.20430970191955566
a,0.36608949303627014,0.4508470594882965,0.3001842796802521,0.45503583550453186,0.18677206337451935,0.17967689037322998,0.3095070421695709,0.5422310829162598,0.3292340338230133,0.23916715383529663
public,0.18950407207012177,0.2513592839241028,0.15462195873260498,0.2672370672225952,0.20400094985961914,0.19837835431098938,0.2642328441143036,0.22025765478610992,0.15546661615371704,0.19872993230819702
forum,0.18246394395828247,0.14568191766738892,0.10193419456481934,0.1837269812822342,0.19229644536972046,0.12249535322189331,0.2036614716053009,0.2477336972951889,0.229843869805336,0.17221806943416595
.,0.3541337847709656,0.40146201848983765,0.29949477314949036,0.4645031690597534,0.17889614403247833,0.24907569587230682,0.4549728035926819,0.500583827495575,0.371569961309433,0.4130953550338745
