,which,ipcc,author,criticized,the,tar,?
ipcc,0.2619032859802246,1.0000001192092896,0.19284172356128693,0.33950093388557434,0.24925659596920013,0.15086516737937927,0.22295254468917847
author,0.11506518721580505,0.19284172356128693,1.0,0.2278771996498108,0.199458509683609,0.0633019357919693,0.14162757992744446
richard,0.16533736884593964,0.14397791028022766,0.21664853394031525,0.18914607167243958,0.2087954580783844,0.10750187188386917,0.15003317594528198
lindzen,0.1778365671634674,0.22612632811069489,0.2592829763889313,0.10964237153530121,0.2849369943141937,0.16844919323921204,0.14743174612522125
has,0.4350704550743103,0.2192763090133667,0.15521103143692017,0.23147787153720856,0.4177538752555847,0.1842835545539856,0.15994466841220856
made,0.3407467305660248,0.2053290605545044,0.09977516531944275,0.22276848554611206,0.3885267674922943,0.17211765050888062,0.17218779027462006
a,0.56894451379776,0.12244262546300888,0.2428053617477417,0.20204293727874756,0.5829201340675354,0.22191040217876434,0.23916715383529663
number,0.3661547005176544,0.18503634631633759,0.13349246978759766,0.10447856038808823,0.35145696997642517,0.0945308580994606,0.19256845116615295
of,0.5011631846427917,0.20174051821231842,0.18473520874977112,0.20767788589000702,0.733189046382904,0.1731266975402832,0.1826142966747284
criticisms,0.23951175808906555,0.3904607892036438,0.27265629172325134,0.6812521815299988,0.2489481121301651,0.05058034881949425,0.24547499418258667
of,0.5011631846427917,0.20174051821231842,0.18473520874977112,0.20767788589000702,0.733189046382904,0.1731266975402832,0.1826142966747284
the,0.6521818041801453,0.24925659596920013,0.199458509683609,0.21370236575603485,1.0,0.20640505850315094,0.22068053483963013
tar,0.24411270022392273,0.15086516737937927,0.0633019357919693,0.06891092658042908,0.20640505850315094,1.0,0.09344086050987244
.,0.45942068099975586,0.20098818838596344,0.21841131150722504,0.20633642375469208,0.5934505462646484,0.18350741267204285,0.4130953550338745
