,what,must,be,done,to,make,non,public,lawbreaking,acknowledged,as,civil,disobedience,?
it,0.45803478360176086,0.17906725406646729,0.5203388929367065,0.31688302755355835,0.513711154460907,0.40787607431411743,0.20768599212169647,0.2047269344329834,0.2912312150001526,0.17457224428653717,0.4461488723754883,0.17707513272762299,0.2648297846317291,0.25732165575027466
is,0.28837618231773376,0.3093329071998596,0.4819129705429077,0.2536029815673828,0.42745086550712585,0.3331545889377594,0.24328963458538055,0.1980048567056656,0.24620796740055084,0.13597173988819122,0.43216490745544434,0.16941262781620026,0.21453623473644257,0.22961433231830597
usually,0.32521089911460876,0.44974076747894287,0.4821065366268158,0.35876795649528503,0.3824864327907562,0.4043290615081787,0.29217100143432617,0.21588484942913055,0.27012887597084045,0.0918218195438385,0.3335179388523102,0.1792614609003067,0.24451304972171783,0.19435347616672516
recognized,0.17776133120059967,0.15185631811618805,0.2335023730993271,0.23014506697654724,0.1667540818452835,0.23852667212486267,0.25803497433662415,0.16223540902137756,0.25166085362434387,0.3734191358089447,0.3368684649467468,0.1766601800918579,0.23928004503250122,0.18558090925216675
that,0.6297725439071655,0.42000943422317505,0.6036020517349243,0.40027952194213867,0.5436353087425232,0.48783382773399353,0.2571088671684265,0.2622828185558319,0.3493770956993103,0.3571138083934784,0.4735107421875,0.16867391765117645,0.3551425039768219,0.32716336846351624
lawbreaking,0.3439813554286957,0.2980421483516693,0.24762311577796936,0.25971585512161255,0.3109060227870941,0.292645126581192,0.292055606842041,0.2683592736721039,1.0,0.17870140075683594,0.2928815186023712,0.25102919340133667,0.39525651931762695,0.24185067415237427
",",0.3087472915649414,0.2231246829032898,0.39254459738731384,0.32079052925109863,0.44245919585227966,0.324553906917572,0.2072257250547409,0.2588968276977539,0.37170934677124023,0.2312433272600174,0.48816442489624023,0.24795588850975037,0.2878543734550476,0.31091248989105225
if,0.5277165174484253,0.5808357000350952,0.5628611445426941,0.3276807963848114,0.4559597074985504,0.46499893069267273,0.2874620854854584,0.1735907644033432,0.3250610828399658,0.24024051427841187,0.3354816734790802,0.12512178719043732,0.20446431636810303,0.4441644251346588
it,0.45803478360176086,0.17906725406646729,0.5203388929367065,0.31688302755355835,0.513711154460907,0.40787607431411743,0.20768599212169647,0.2047269344329834,0.2912312150001526,0.17457224428653717,0.4461488723754883,0.17707513272762299,0.2648297846317291,0.25732165575027466
is,0.28837618231773376,0.3093329071998596,0.4819129705429077,0.2536029815673828,0.42745086550712585,0.3331545889377594,0.24328963458538055,0.1980048567056656,0.24620796740055084,0.13597173988819122,0.43216490745544434,0.16941262781620026,0.21453623473644257,0.22961433231830597
not,0.5449194312095642,0.48002883791923523,0.5788898468017578,0.41713568568229675,0.5149973034858704,0.4738420248031616,0.36052408814430237,0.20537999272346497,0.29031533002853394,0.3422134816646576,0.5105602741241455,0.18740713596343994,0.38157403469085693,0.41942933201789856
done,0.40743619203567505,0.2948128283023834,0.39659690856933594,1.0000001192092896,0.2647212743759155,0.3386702835559845,0.15407750010490417,0.17486724257469177,0.25971585512161255,0.24085479974746704,0.28695398569107056,0.15913797914981842,0.2158847451210022,0.36153489351272583
publicly,0.2473599910736084,0.21754446625709534,0.27423232793807983,0.18850767612457275,0.29973188042640686,0.2121564745903015,0.1609441041946411,0.5424575805664062,0.19073501229286194,0.46733835339546204,0.2735099494457245,0.19783592224121094,0.3510599732398987,0.24073180556297302
