,how,much,food,does,a,ctenophora,eat,in,a,day,?
in,0.2601168751716614,0.2725222110748291,0.21391697227954865,0.214483380317688,0.539380669593811,0.1502838283777237,0.17146249115467072,1.0,0.539380669593811,0.2671984136104584,0.20430970191955566
favorable,0.1937618851661682,0.2695905566215515,0.17100483179092407,0.19171515107154846,0.2458888590335846,0.1176854819059372,0.0907541960477829,0.16976967453956604,0.2458888590335846,0.15849272906780243,0.1794821172952652
circumstances,0.3659582734107971,0.2820437252521515,0.1503085494041443,0.2805941104888916,0.22865210473537445,0.19946829974651337,0.21169151365756989,0.18888375163078308,0.22865210473537445,0.14527566730976105,0.25984445214271545
",",0.22659391164779663,0.36182254552841187,0.2870374023914337,0.28617382049560547,0.427140474319458,0.20480060577392578,0.27748003602027893,0.5201468467712402,0.427140474319458,0.30821847915649414,0.31091248989105225
ctenophores,0.2594645917415619,0.19180738925933838,0.2952769100666046,0.2655069828033447,0.25153061747550964,0.8903113007545471,0.3753615617752075,0.1814151555299759,0.25153061747550964,0.11694519221782684,0.2054179310798645
can,0.49246567487716675,0.39803463220596313,0.28453150391578674,0.5156301856040955,0.3915780484676361,0.2230215072631836,0.33471569418907166,0.26527702808380127,0.3915780484676361,0.11817701905965805,0.3226337134838104
eat,0.2741355001926422,0.21723854541778564,0.5922831892967224,0.28532201051712036,0.2176695615053177,0.31698551774024963,0.9999999403953552,0.17146249115467072,0.2176695615053177,0.23215879499912262,0.2330920696258545
ten,0.26821833848953247,0.20169475674629211,0.16179940104484558,0.1422448456287384,0.23545676469802856,0.12076959013938904,0.151518315076828,0.29515787959098816,0.23545676469802856,0.27711963653564453,0.14471080899238586
times,0.2685738503932953,0.3250696063041687,0.15951578319072723,0.23567602038383484,0.2745400369167328,0.1016373336315155,0.16771872341632843,0.2427823841571808,0.2745400369167328,0.2524244785308838,0.18880689144134521
their,0.3316696584224701,0.280311644077301,0.3252806067466736,0.29094186425209045,0.29698723554611206,0.24688750505447388,0.3384864330291748,0.34976133704185486,0.29698723554611206,0.21451431512832642,0.1898253709077835
own,0.3035697042942047,0.24814017117023468,0.26326173543930054,0.31958556175231934,0.3093770742416382,0.12654082477092743,0.2515008747577667,0.31893372535705566,0.3093770742416382,0.15157382190227509,0.1937696635723114
weight,0.31575119495391846,0.243657186627388,0.24190863966941833,0.21913670003414154,0.2418769896030426,0.20674338936805725,0.3076552450656891,0.14912216365337372,0.2418769896030426,0.11429321020841599,0.18111222982406616
in,0.2601168751716614,0.2725222110748291,0.21391697227954865,0.214483380317688,0.539380669593811,0.1502838283777237,0.17146249115467072,1.0,0.539380669593811,0.2671984136104584,0.20430970191955566
a,0.29312583804130554,0.2958075702190399,0.24320901930332184,0.38201746344566345,1.0,0.24843408167362213,0.2176695615053177,0.539380669593811,1.0,0.18630309402942657,0.23916715383529663
day,0.20268619060516357,0.23573602735996246,0.18623776733875275,0.12629863619804382,0.18630309402942657,0.06886427849531174,0.23215879499912262,0.2671984136104584,0.18630309402942657,1.0,0.2141837179660797
.,0.3287222981452942,0.3374604284763336,0.27541688084602356,0.3022993505001068,0.50484299659729,0.24174925684928894,0.3032529056072235,0.5591574311256409,0.50484299659729,0.24232520163059235,0.4130953550338745
