,what,is,thomas,b.,edsall,'s,profession,?
the,0.42745697498321533,0.5823672413825989,0.23505409061908722,-0.008502916432917118,0.3679543137550354,-0.01540423184633255,0.17655403912067413,0.22068053483963013
debate,0.2918691337108612,0.22463004291057587,0.12714441120624542,-0.10077930241823196,0.22862277925014496,-0.04047900438308716,0.20975080132484436,0.227684885263443
is,0.28837618231773376,1.0,0.15801864862442017,0.004180660005658865,0.2994748055934906,0.02396530658006668,0.24903449416160583,0.22961433231830597
summarized,0.3402542173862457,0.23516298830509186,0.15440143644809723,-0.03576138615608215,0.21423549950122833,-0.03642689064145088,0.23092584311962128,0.26025301218032837
in,0.30808621644973755,0.5394441485404968,0.21133768558502197,-0.03819156438112259,0.411561518907547,-0.037580832839012146,0.16790467500686646,0.20430970191955566
``,0.008517155423760414,0.058766357600688934,0.03435184434056282,0.005547747481614351,-0.07345466315746307,-0.03416389226913452,0.05882512778043747,0.0685480609536171
the,0.42745697498321533,0.5823672413825989,0.23505409061908722,-0.008502916432917118,0.3679543137550354,-0.01540423184633255,0.17655403912067413,0.22068053483963013
hidden,0.2690216898918152,0.14082451164722443,0.062314506620168686,-0.0026124226860702038,0.15016846358776093,0.009612354449927807,0.08623918890953064,0.22134476900100708
prosperity,0.20327873528003693,0.17147988080978394,0.07871481031179428,0.018351035192608833,0.18791228532791138,0.031439896672964096,0.2609879672527313,0.1755954772233963
of,0.33290785551071167,0.4854315221309662,0.18699592351913452,-0.0008460881654173136,0.3581623136997223,-0.03817026689648628,0.248733788728714,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,0.23505409061908722,-0.008502916432917118,0.3679543137550354,-0.01540423184633255,0.17655403912067413,0.22068053483963013
poor,0.2570318877696991,0.18218109011650085,0.14364475011825562,-0.021848861128091812,0.17237956821918488,0.07552039623260498,0.23531971871852875,0.12937016785144806
'',0.08143015950918198,0.0793738141655922,-0.0363897867500782,-0.003750094911083579,0.016443584114313126,-0.04859459400177002,0.014619657769799232,0.018684765323996544
by,0.2455483376979828,0.3899846076965332,0.21961893141269684,0.005187185946851969,0.2607917785644531,-0.010884488001465797,0.18375752866268158,0.17966607213020325
journalist,0.1052299290895462,0.1436786651611328,0.20029316842556,-0.06239596754312515,0.30409395694732666,0.08392947167158127,0.29266446828842163,0.09252665191888809
thomas,0.1806955188512802,0.15801864862442017,1.0000001192092896,-0.004345292691141367,0.39346420764923096,0.0326034352183342,0.24922294914722443,0.16133050620555878
b.,-0.08520887047052383,0.004180660005658865,-0.004345292691141367,1.0,-0.022228926420211792,-0.002039147075265646,-0.036113034933805466,-0.032647255808115005
edsall,0.215617373585701,0.2994748055934906,0.39346420764923096,-0.022228926420211792,1.0,-0.03385399281978607,0.23804065585136414,0.18097791075706482
.,0.3567904531955719,0.4569662809371948,0.2580391466617584,-0.009697958827018738,0.39581456780433655,-0.003708066651597619,0.23688457906246185,0.4130953550338745
