,what,organization,argued,that,drought,",",among,other,effects,",",could,cause,the,amazon,forest,to,reach,a,``,tipping,point,?,''
scientists,0.30003565549850464,0.22492200136184692,0.24146558344364166,0.3470602035522461,0.19205480813980103,0.25785407423973083,0.23685647547245026,0.2758164405822754,0.23877568542957306,0.25785407423973083,0.27533799409866333,0.2592352330684662,0.25988271832466125,0.08412733674049377,0.1373615860939026,0.27814680337905884,0.2713273763656616,0.21906225383281708,-0.005563737358897924,0.10069005936384201,0.1115475744009018,0.16597221791744232,0.02123219333589077
at,0.2838611304759979,0.11811204999685287,0.16528980433940887,0.3183255195617676,0.14885707199573517,0.38314947485923767,0.2148745357990265,0.24329762160778046,0.11516885459423065,0.38314947485923767,0.25692954659461975,0.1972731053829193,0.457212895154953,0.1615314781665802,0.15520213544368744,0.36524343490600586,0.2956312894821167,0.3095070421695709,-0.07642947137355804,0.14139898121356964,0.3500237762928009,0.21978627145290375,0.04379578307271004
the,0.42745697498321533,0.311172217130661,0.1919303685426712,0.5473989248275757,0.33421388268470764,0.4933079481124878,0.3507058024406433,0.44152235984802246,0.25316479802131653,0.4933079481124878,0.35393214225769043,0.2551237642765045,1.0,0.260541707277298,0.24134553968906403,0.535392165184021,0.31808504462242126,0.5829201340675354,0.029072100296616554,0.2517189085483551,0.3084787130355835,0.22068053483963013,0.041273195296525955
brazilian,0.1278308928012848,0.12036596238613129,0.14815199375152588,0.18866166472434998,0.0846056267619133,0.22142718732357025,0.15341930091381073,0.15491116046905518,0.12478247284889221,0.22142718732357025,0.06924125552177429,0.07376360893249512,0.16921663284301758,0.33175376057624817,0.15669775009155273,0.09528551250696182,0.05586134269833565,0.22105634212493896,-0.004077053628861904,0.08265656232833862,0.059520408511161804,0.13831064105033875,-0.00970049574971199
national,0.16882304847240448,0.3064082860946655,0.1372920125722885,0.20268747210502625,0.21095684170722961,0.23933029174804688,0.16865037381649017,0.1963898241519928,0.0724589079618454,0.23933029174804688,0.12300978600978851,0.06261485069990158,0.32739606499671936,0.14532430469989777,0.25524598360061646,0.21067756414413452,0.11598901450634003,0.27889734506607056,0.0037908339872956276,0.03531566634774208,0.17815686762332916,0.15643028914928436,0.012035216204822063
institute,0.17608846724033356,0.3641713559627533,0.11323849856853485,0.16938656568527222,0.0863054096698761,0.25896888971328735,0.21589457988739014,0.1802527755498886,0.10846790671348572,0.25896888971328735,0.1353272646665573,0.12453072518110275,0.24399729073047638,0.08394289016723633,0.19303733110427856,0.18375186622142792,0.14265836775302887,0.15834029018878937,-0.13274848461151123,0.08359654992818832,0.11751193553209305,0.115291528403759,0.03744862228631973
of,0.33290785551071167,0.25438958406448364,0.19172857701778412,0.41498205065727234,0.26836544275283813,0.4946078956127167,0.3679063022136688,0.38583824038505554,0.21244898438453674,0.4946078956127167,0.29043012857437134,0.25979894399642944,0.733189046382904,0.20143137872219086,0.2309139519929886,0.41548454761505127,0.20552729070186615,0.5052502155303955,0.06780257821083069,0.18751537799835205,0.269877165555954,0.1826142966747284,0.13035868108272552
amazonian,0.1507374495267868,0.1863032579421997,0.19376927614212036,0.2357732206583023,0.30700114369392395,0.24967293441295624,0.19258303940296173,0.27072298526763916,0.12898238003253937,0.24967293441295624,0.13189712166786194,0.14467301964759827,0.290641725063324,0.7159956097602844,0.3166050910949707,0.15711204707622528,0.220664381980896,0.2261718511581421,0.032157860696315765,0.22416280210018158,0.18315841257572174,0.1447652280330658,-0.04023749753832817
research,0.237140491604805,0.31378334760665894,0.20668788254261017,0.3083151876926422,0.10612224787473679,0.2764695882797241,0.2221369594335556,0.25624799728393555,0.23521116375923157,0.2764695882797241,0.19671496748924255,0.2356882095336914,0.24391183257102966,0.13143867254257202,0.211789071559906,0.2667310833930969,0.2182178497314453,0.1935642808675766,-0.05338248610496521,0.1676028072834015,0.18884004652500153,0.13481977581977844,0.04679169878363609
argue,0.41590559482574463,0.2077707201242447,0.7120472192764282,0.403499037027359,0.1965135782957077,0.2622731626033783,0.2721918523311615,0.2685352861881256,0.2629430294036865,0.2622731626033783,0.3279750347137451,0.31687062978744507,0.20374833047389984,0.22907845675945282,0.11378411203622818,0.27746978402137756,0.2582921087741852,0.20625422894954681,0.012744354084134102,0.20507462322711945,0.2942895293235779,0.32235559821128845,0.04798554256558418
in,0.30808621644973755,0.2513086795806885,0.16827838122844696,0.435920387506485,0.2705814242362976,0.5201468467712402,0.3211768567562103,0.39989137649536133,0.18867923319339752,0.5201468467712402,0.29357993602752686,0.24822883307933807,0.6662389636039734,0.12227833271026611,0.24136987328529358,0.45010748505592346,0.20601192116737366,0.539380669593811,0.04765888676047325,0.16339454054832458,0.24451331794261932,0.20430970191955566,0.07432962208986282
the,0.42745697498321533,0.311172217130661,0.1919303685426712,0.5473989248275757,0.33421388268470764,0.4933079481124878,0.3507058024406433,0.44152235984802246,0.25316479802131653,0.4933079481124878,0.35393214225769043,0.2551237642765045,1.0,0.260541707277298,0.24134553968906403,0.535392165184021,0.31808504462242126,0.5829201340675354,0.029072100296616554,0.2517189085483551,0.3084787130355835,0.22068053483963013,0.041273195296525955
article,0.40514686703681946,0.34165653586387634,0.25334659218788147,0.41666144132614136,0.2034958451986313,0.28605279326438904,0.16641272604465485,0.277202308177948,0.17282305657863617,0.28605279326438904,0.3629496991634369,0.24893057346343994,0.3329811692237854,0.19432488083839417,0.11697158962488174,0.361922025680542,0.16081562638282776,0.30913418531417847,0.025853512808680534,0.22432956099510193,0.26280948519706726,0.4948462247848511,0.08483149111270905
