,when,forces,are,from,the,presence,of,differnet,objects,",",what,law,gives,symmetry,?
newton,0.16569024324417114,0.14706134796142578,0.12608709931373596,0.12768514454364777,0.1876603662967682,0.10069345682859421,0.18479612469673157,0.19287614524364471,0.20895755290985107,0.2648763358592987,0.20841743052005768,0.34055307507514954,0.0852026715874672,0.24853026866912842,0.09645649790763855
's,-0.03368149697780609,0.011176351457834244,-0.008927806280553341,-0.01936490088701248,-0.01540423184633255,0.016902104020118713,-0.03817026689648628,0.0827622041106224,0.013840041123330593,-0.0016132977325469255,0.02692362666130066,-0.06109188124537468,0.012086298316717148,-0.044368550181388855,-0.023395681753754616
third,0.23858320713043213,0.17577509582042694,0.15971572697162628,0.19577939808368683,0.4229298532009125,0.12406659126281738,0.30602210760116577,0.15415441989898682,0.1230236142873764,0.283071368932724,0.2033906877040863,0.1839587539434433,0.15197129547595978,0.16188804805278778,0.15394791960716248
law,0.2062477022409439,0.23524847626686096,0.13009320199489594,0.19070591032505035,0.24548950791358948,0.07197421789169312,0.2816956341266632,0.14667879045009613,0.15823568403720856,0.24953721463680267,0.2145031988620758,1.0000001192092896,0.22587278485298157,0.25970813632011414,0.1528988480567932
is,0.3471449911594391,0.18792390823364258,0.5330929756164551,0.27355384826660156,0.5823672413825989,0.27154475450515747,0.4854315221309662,0.2754499316215515,0.23756065964698792,0.4691906273365021,0.28837618231773376,0.18597714602947235,0.35255318880081177,0.19170065224170685,0.22961433231830597
a,0.44397395849227905,0.17848460376262665,0.265255331993103,0.322764128446579,0.5829201340675354,0.2469376027584076,0.5052502155303955,0.24334605038166046,0.24898670613765717,0.427140474319458,0.3320399522781372,0.2212858349084854,0.3123532235622406,0.16467590630054474,0.23916715383529663
result,0.32054403424263,0.21434062719345093,0.18835392594337463,0.2199978530406952,0.27778977155685425,0.22272177040576935,0.231380432844162,0.17112554609775543,0.24223680794239044,0.23341737687587738,0.19945499300956726,0.1651681810617447,0.20556777715682983,0.2735554575920105,0.17218433320522308
of,0.3757161796092987,0.3090144991874695,0.39081433415412903,0.4249346852302551,0.733189046382904,0.2917717397212982,1.0,0.2864552140235901,0.23814009130001068,0.4946078956127167,0.33290785551071167,0.2816956341266632,0.36641067266464233,0.22946983575820923,0.1826142966747284
applying,0.34587690234184265,0.18553608655929565,0.30477145314216614,0.1894511878490448,0.24417702853679657,0.174603670835495,0.2598726153373718,0.2828617990016937,0.2954447865486145,0.2762807011604309,0.3609994947910309,0.27231594920158386,0.2687704265117645,0.29038336873054504,0.2414112687110901
symmetry,0.14297638833522797,0.27102944254875183,0.28001129627227783,0.11495663225650787,0.17346253991127014,0.17310123145580292,0.22946983575820923,0.3056443929672241,0.3300212323665619,0.14924201369285583,0.25648990273475647,0.25970813632011414,0.23890544474124908,1.0,0.1858944147825241
to,0.5423505902290344,0.2581802308559418,0.3504326641559601,0.4069952368736267,0.535392165184021,0.3215413987636566,0.41548454761505127,0.2276129126548767,0.2695634961128235,0.44245919585227966,0.455847829580307,0.259207159280777,0.3105483651161194,0.15511497855186462,0.29463258385658264
situations,0.32928672432899475,0.31609806418418884,0.35348692536354065,0.16412608325481415,0.2505728304386139,0.2586424946784973,0.19685450196266174,0.2766731381416321,0.38820117712020874,0.20087973773479462,0.38073766231536865,0.2538962662220001,0.2892017662525177,0.2969224452972412,0.2605491280555725
where,0.5747735500335693,0.20385611057281494,0.32389864325523376,0.3713873624801636,0.5003893971443176,0.2646007239818573,0.38066378235816956,0.16230559349060059,0.27781185507774353,0.3149496018886566,0.4457937180995941,0.21956811845302582,0.23817090690135956,0.2026728242635727,0.24793872237205505
forces,0.2460811883211136,1.0,0.22039441764354706,0.15575696527957916,0.3134811818599701,0.2964986562728882,0.3090144991874695,0.1104000061750412,0.2820701003074646,0.2544684410095215,0.2112482488155365,0.23524847626686096,0.14964742958545685,0.27102944254875183,0.16984491050243378
can,0.39191514253616333,0.15958181023597717,0.5408529043197632,0.2516351342201233,0.312528520822525,0.22971411049365997,0.2603091299533844,0.3381716310977936,0.3987920582294464,0.3139454126358032,0.34502777457237244,0.13600260019302368,0.30848610401153564,0.23492659628391266,0.3226337134838104
be,0.4451393485069275,0.17733727395534515,0.5556803941726685,0.3107333183288574,0.4248143136501312,0.2847478985786438,0.33904364705085754,0.2977655529975891,0.311663955450058,0.39254459738731384,0.3929833769798279,0.18454892933368683,0.2464580237865448,0.21251823008060455,0.3324260413646698
attributed,0.13573282957077026,0.1703496128320694,0.13890594244003296,0.23413144052028656,0.21220806241035461,0.21771541237831116,0.2709019184112549,0.21133437752723694,0.22443021833896637,0.23475953936576843,0.22667492926120758,0.1367233395576477,0.09094122797250748,0.2084502875804901,0.20030178129673004
to,0.5423505902290344,0.2581802308559418,0.3504326641559601,0.4069952368736267,0.535392165184021,0.3215413987636566,0.41548454761505127,0.2276129126548767,0.2695634961128235,0.44245919585227966,0.455847829580307,0.259207159280777,0.3105483651161194,0.15511497855186462,0.29463258385658264
the,0.5091903209686279,0.3134811818599701,0.40399202704429626,0.40150508284568787,1.0,0.34114351868629456,0.733189046382904,0.30321013927459717,0.24716724455356598,0.4933079481124878,0.42745697498321533,0.24548950791358948,0.3072636127471924,0.17346253991127014,0.22068053483963013
presence,0.27367129921913147,0.2964986562728882,0.2958362400531769,0.19627365469932556,0.34114351868629456,0.9999999403953552,0.2917717397212982,0.18883705139160156,0.24061083793640137,0.21457527577877045,0.24428647756576538,0.07197421789169312,0.2036667764186859,0.17310123145580292,0.08592845499515533
of,0.3757161796092987,0.3090144991874695,0.39081433415412903,0.4249346852302551,0.733189046382904,0.2917717397212982,1.0,0.2864552140235901,0.23814009130001068,0.4946078956127167,0.33290785551071167,0.2816956341266632,0.36641067266464233,0.22946983575820923,0.1826142966747284
