,about,what,weather,feature,do,paleoclimatologists,want,information,?
paleoclimatologists,0.30957359075546265,0.3709169626235962,0.33871638774871826,0.19980144500732422,0.2875542640686035,1.0,0.1920803338289261,0.20799311995506287,0.19191481173038483
measure,0.264496773481369,0.2807709276676178,0.22978760302066803,0.17657770216464996,0.23119527101516724,0.2994994819164276,0.2501429617404938,0.24457839131355286,0.22092340886592865
the,0.37995871901512146,0.42745697498321533,0.28776681423187256,0.3053930699825287,0.30239659547805786,0.26908668875694275,0.3003826439380646,0.3143121302127838,0.22068053483963013
ratio,0.18751733005046844,0.19170942902565002,0.15683488547801971,0.21038267016410828,0.18281781673431396,0.22063159942626953,0.17000432312488556,0.1835690289735794,0.13298895955085754
of,0.40939709544181824,0.33290785551071167,0.22687400877475739,0.2117752879858017,0.26150479912757874,0.22044017910957336,0.2645295262336731,0.2860049605369568,0.1826142966747284
oxygen-18,0.1775674670934677,0.19612939655780792,0.24975812435150146,0.19055578112602234,0.2343180924654007,0.329316109418869,0.16731736063957214,0.2327360361814499,0.17341867089271545
and,0.3875081241130829,0.31309178471565247,0.26406481862068176,0.29179611802101135,0.276123583316803,0.19825325906276703,0.34348347783088684,0.28268665075302124,0.20544172823429108
oxygen-16,0.18961164355278015,0.22204910218715668,0.24360264837741852,0.1830185353755951,0.25466111302375793,0.33818474411964417,0.19132383167743683,0.22857603430747986,0.18815967440605164
in,0.39797019958496094,0.30808621644973755,0.19644400477409363,0.24296961724758148,0.23402775824069977,0.21319764852523804,0.2281211018562317,0.20385970175266266,0.20430970191955566
the,0.37995871901512146,0.42745697498321533,0.28776681423187256,0.3053930699825287,0.30239659547805786,0.26908668875694275,0.3003826439380646,0.3143121302127838,0.22068053483963013
shells,0.20788109302520752,0.21712204813957214,0.18558457493782043,0.21174947917461395,0.19115225970745087,0.3179016411304474,0.1690063178539276,0.16197651624679565,0.12549249827861786
and,0.3875081241130829,0.31309178471565247,0.26406481862068176,0.29179611802101135,0.276123583316803,0.19825325906276703,0.34348347783088684,0.28268665075302124,0.20544172823429108
skeletons,0.25568217039108276,0.2375204861164093,0.1295991986989975,0.22740615904331207,0.19476507604122162,0.4385325312614441,0.14892838895320892,0.19660556316375732,0.13581369817256927
of,0.40939709544181824,0.33290785551071167,0.22687400877475739,0.2117752879858017,0.26150479912757874,0.22044017910957336,0.2645295262336731,0.2860049605369568,0.1826142966747284
marine,0.1968154013156891,0.15737493336200714,0.2401948720216751,0.21158885955810547,0.2044742852449417,0.3420785665512085,0.14279918372631073,0.15624786913394928,0.1407923698425293
organisms,0.1900499165058136,0.22214920818805695,0.22698567807674408,0.24611949920654297,0.2771075963973999,0.4555204510688782,0.21849898993968964,0.2183665782213211,0.22621455788612366
to,0.391953706741333,0.455847829580307,0.2896164059638977,0.25759002566337585,0.38876664638519287,0.26606786251068115,0.4966742694377899,0.3299184739589691,0.29463258385658264
determine,0.22952327132225037,0.39403316378593445,0.22551459074020386,0.20323045551776886,0.3046877682209015,0.3008593022823334,0.3533002734184265,0.30709201097488403,0.2943372130393982
what,0.47976887226104736,0.9999998807907104,0.2620617747306824,0.23320603370666504,0.4609605669975281,0.3709169626235962,0.516654908657074,0.35283446311950684,0.5051238536834717
the,0.37995871901512146,0.42745697498321533,0.28776681423187256,0.3053930699825287,0.30239659547805786,0.26908668875694275,0.3003826439380646,0.3143121302127838,0.22068053483963013
climate,0.2469775229692459,0.2854173183441162,0.5256097316741943,0.19257280230522156,0.19140350818634033,0.5572754144668579,0.2005913257598877,0.20073968172073364,0.19998492300510406
was,0.2577359974384308,0.22111038863658905,0.17774583399295807,0.2405846118927002,0.11523093283176422,0.1702280044555664,0.21886487305164337,0.15183912217617035,0.18412111699581146
like,0.4135996997356415,0.4320242702960968,0.1640947461128235,0.2956957221031189,0.4615015685558319,0.21509109437465668,0.4940289258956909,0.21532098948955536,0.3268813192844391
millions,0.3429356813430786,0.28270843625068665,0.21258342266082764,0.16342613101005554,0.24443060159683228,0.31574010848999023,0.26190873980522156,0.26707786321640015,0.21816711127758026
of,0.40939709544181824,0.33290785551071167,0.22687400877475739,0.2117752879858017,0.26150479912757874,0.22044017910957336,0.2645295262336731,0.2860049605369568,0.1826142966747284
years,0.3661487102508545,0.1981470286846161,0.13295550644397736,0.13574928045272827,0.180253803730011,0.2624692916870117,0.14151804149150848,0.1515982300043106,0.1914375126361847
ago,0.44628652930259705,0.30667418241500854,0.17773215472698212,0.1795363426208496,0.21347029507160187,0.4074136018753052,0.20021910965442657,0.1726236194372177,0.2202194780111313
(,0.27495184540748596,0.2411840260028839,0.11885728687047958,0.1903994381427765,0.24216170608997345,0.12915432453155518,0.23757240176200867,0.1907983422279358,0.40561532974243164
see,0.3527200520038605,0.44941186904907227,0.25306436419487,0.24961327016353607,0.4088582396507263,0.21162866055965424,0.48767441511154175,0.36978256702423096,0.42005208134651184
oxygen,0.1566355675458908,0.16781960427761078,0.22906073927879333,0.1711151897907257,0.22088919579982758,0.2701927423477173,0.16545364260673523,0.22826901078224182,0.16786395013332367
isotope,0.2199842631816864,0.19590917229652405,0.1856178492307663,0.15248706936836243,0.19995994865894318,0.3784671723842621,0.1158459484577179,0.1696835458278656,0.16495643556118011
ratio,0.18751733005046844,0.19170942902565002,0.15683488547801971,0.21038267016410828,0.18281781673431396,0.22063159942626953,0.17000432312488556,0.1835690289735794,0.13298895955085754
cycle,0.17250698804855347,0.17920038104057312,0.21017099916934967,0.19836752116680145,0.1556684970855713,0.24456624686717987,0.13620136678218842,0.1290580928325653,0.07156776636838913
