,what,can,the,growth,elasticity,of,poverty,depend,on,?
the,0.42745697498321533,0.312528520822525,1.0,0.2912366986274719,0.2290213257074356,0.733189046382904,0.20494918525218964,0.26284557580947876,0.5107308030128479,0.22068053483963013
effect,0.2546532452106476,0.2831771671772003,0.2865084111690521,0.32532799243927,0.36423084139823914,0.24129827320575714,0.21651074290275574,0.3626823127269745,0.2661469280719757,0.1783771812915802
of,0.33290785551071167,0.2603091299533844,0.733189046382904,0.2679378092288971,0.25916969776153564,1.0,0.2334604412317276,0.2895388901233673,0.3966929316520691,0.1826142966747284
economic,0.18082544207572937,0.15361113846302032,0.282455176115036,0.4732155203819275,0.3734391927719116,0.3030148148536682,0.4142974317073822,0.2610373795032501,0.20757777988910675,0.1206481084227562
growth,0.1739405393600464,0.2057914435863495,0.2912366986274719,1.0000001192092896,0.3909458518028259,0.2679378092288971,0.36778250336647034,0.27283433079719543,0.11376523971557617,0.07547862827777863
on,0.34226128458976746,0.2772369682788849,0.5107308030128479,0.11376523971557617,0.12815970182418823,0.3966929316520691,0.1518607884645462,0.30157047510147095,0.9999999403953552,0.2714994251728058
poverty,0.20925714075565338,0.13328371942043304,0.20494918525218964,0.36778250336647034,0.26071733236312866,0.2334604412317276,0.9999999403953552,0.17799051105976105,0.1518607884645462,0.16537553071975708
reduction,0.19884426891803741,0.30914753675460815,0.27052462100982666,0.3897135555744171,0.49507609009742737,0.2803387939929962,0.34829941391944885,0.355934202671051,0.16262708604335785,0.1612403839826584
–,0.13008765876293182,0.07774634659290314,0.2607575058937073,0.11170215159654617,0.15246403217315674,0.2799985408782959,0.06620905548334122,0.02075733244419098,0.20514154434204102,0.2714554965496063
the,0.42745697498321533,0.312528520822525,1.0,0.2912366986274719,0.2290213257074356,0.733189046382904,0.20494918525218964,0.26284557580947876,0.5107308030128479,0.22068053483963013
growth,0.1739405393600464,0.2057914435863495,0.2912366986274719,1.0000001192092896,0.3909458518028259,0.2679378092288971,0.36778250336647034,0.27283433079719543,0.11376523971557617,0.07547862827777863
elasticity,0.26903313398361206,0.3095312714576721,0.2290213257074356,0.3909458518028259,1.0,0.25916969776153564,0.26071733236312866,0.38391029834747314,0.12815970182418823,0.16846103966236115
of,0.33290785551071167,0.2603091299533844,0.733189046382904,0.2679378092288971,0.25916969776153564,1.0,0.2334604412317276,0.2895388901233673,0.3966929316520691,0.1826142966747284
poverty,0.20925714075565338,0.13328371942043304,0.20494918525218964,0.36778250336647034,0.26071733236312866,0.2334604412317276,0.9999999403953552,0.17799051105976105,0.1518607884645462,0.16537553071975708
–,0.13008765876293182,0.07774634659290314,0.2607575058937073,0.11170215159654617,0.15246403217315674,0.2799985408782959,0.06620905548334122,0.02075733244419098,0.20514154434204102,0.2714554965496063
can,0.34502777457237244,1.0,0.312528520822525,0.2057914435863495,0.3095312714576721,0.2603091299533844,0.13328371942043304,0.48961061239242554,0.2772369682788849,0.3226337134838104
depend,0.35695788264274597,0.48961061239242554,0.26284557580947876,0.27283433079719543,0.38391029834747314,0.2895388901233673,0.17799051105976105,1.0,0.30157047510147095,0.21412593126296997
on,0.34226128458976746,0.2772369682788849,0.5107308030128479,0.11376523971557617,0.12815970182418823,0.3966929316520691,0.1518607884645462,0.30157047510147095,0.9999999403953552,0.2714994251728058
the,0.42745697498321533,0.312528520822525,1.0,0.2912366986274719,0.2290213257074356,0.733189046382904,0.20494918525218964,0.26284557580947876,0.5107308030128479,0.22068053483963013
existing,0.31325602531433105,0.33325284719467163,0.36013904213905334,0.22858409583568573,0.2802225351333618,0.30417704582214355,0.1685570627450943,0.2685752511024475,0.245413675904274,0.31003472208976746
level,0.27376922965049744,0.28241869807243347,0.31442487239837646,0.22654172778129578,0.25949162244796753,0.23504668474197388,0.1544487178325653,0.2289985567331314,0.2125781625509262,0.20528386533260345
of,0.33290785551071167,0.2603091299533844,0.733189046382904,0.2679378092288971,0.25916969776153564,1.0,0.2334604412317276,0.2895388901233673,0.3966929316520691,0.1826142966747284
inequality,0.30072227120399475,0.2628359794616699,0.23508106172084808,0.3248327970504761,0.46269407868385315,0.27910974621772766,0.4811079800128937,0.3436940610408783,0.16136983036994934,0.23619021475315094
.,0.3567904531955719,0.35783761739730835,0.5934505462646484,0.2825547754764557,0.21233564615249634,0.5352458953857422,0.20983536541461945,0.2650664448738098,0.49257001280784607,0.4130953550338745
