,when,did,buyantu,resume,testing,potential,government,employees,?
starting,0.34866392612457275,0.22911779582500458,0.22928225994110107,0.2583514153957367,0.20076237618923187,0.18498589098453522,0.08694248646497726,0.1965896189212799,0.19133803248405457
in,0.4431333839893341,0.2593238651752472,0.23689711093902588,0.21877925097942352,0.22079947590827942,0.204794779419899,0.3066793978214264,0.2185000777244568,0.20430970191955566
1313,0.016037097200751305,-0.02728789672255516,0.062168188393116,-0.06777586787939072,0.020074229687452316,0.0818670317530632,0.04778911545872688,0.08968982845544815,-0.09352541714906693
the,0.5091903209686279,0.34736719727516174,0.2622497081756592,0.2228340208530426,0.25075584650039673,0.27955570816993713,0.31798112392425537,0.204413041472435,0.22068053483963013
traditional,0.13697193562984467,0.17380854487419128,0.248758926987648,0.15191033482551575,0.12364546954631805,0.07367926836013794,0.2621394097805023,0.15531638264656067,0.1327509582042694
imperial,0.19296634197235107,0.16254396736621857,0.22631902992725372,0.22535209357738495,0.10651630163192749,0.1129743754863739,0.24476872384548187,0.2030007541179657,0.10900196433067322
examinations,0.23723840713500977,0.24826544523239136,0.16974113881587982,0.26970767974853516,0.38734498620033264,0.24515320360660553,0.23784734308719635,0.31137946248054504,0.18493600189685822
were,0.29649975895881653,0.4162326455116272,0.20490972697734833,0.12060456722974777,0.17985007166862488,0.12572543323040009,0.27806493639945984,0.2454012781381607,0.17890112102031708
reintroduced,0.2176135927438736,0.1813962608575821,0.20714130997657776,0.222367063164711,0.16488270461559296,0.16788767278194427,0.14508870244026184,0.09614194184541702,0.17267918586730957
for,0.43402108550071716,0.318512886762619,0.23424921929836273,0.28811830282211304,0.28710201382637024,0.2912757694721222,0.23902073502540588,0.22925186157226562,0.264628142118454
prospective,0.23236492276191711,0.21804383397102356,0.15791024267673492,0.26901257038116455,0.2922371029853821,0.35504668951034546,0.21464531123638153,0.289429247379303,0.22671756148338318
officials,0.278388649225235,0.3401864171028137,0.2721172869205475,0.22553673386573792,0.2686557173728943,0.22892311215400696,0.5192007422447205,0.3870903253555298,0.1505519449710846
",",0.36674630641937256,0.3015086054801941,0.2901293635368347,0.17940868437290192,0.18808996677398682,0.23060423135757446,0.27344048023223877,0.17173010110855103,0.31091248989105225
testing,0.29647064208984375,0.1872776448726654,0.18944105505943298,0.2514632046222687,1.0000001192092896,0.2696610391139984,0.21142233908176422,0.22642390429973602,0.20438756048679352
their,0.3682888448238373,0.38078752160072327,0.26711875200271606,0.2705351710319519,0.23982051014900208,0.26554790139198303,0.2597605884075165,0.3366301655769348,0.1898253709077835
knowledge,0.2155160754919052,0.25804615020751953,0.19049233198165894,0.3319409489631653,0.3135347068309784,0.3462458550930023,0.20544299483299255,0.20114897191524506,0.2853184640407562
on,0.37706470489501953,0.2670976221561432,0.211817666888237,0.21958297491073608,0.2297915816307068,0.21637758612632751,0.19216017425060272,0.20527727901935577,0.2714994251728058
significant,0.1782427728176117,0.25824496150016785,0.17465688288211823,0.26076197624206543,0.22286972403526306,0.42576637864112854,0.1819276660680771,0.1755964607000351,0.18679562211036682
historical,0.151133731007576,0.1825733780860901,0.25932320952415466,0.06341731548309326,0.16080400347709656,0.17425081133842468,0.2646227478981018,0.0704917386174202,0.1665111482143402
works,0.2696959376335144,0.17949827015399933,0.14445902407169342,0.1019093319773674,0.1740664392709732,0.13564038276672363,0.11595899611711502,0.28490325808525085,0.19597402215003967
.,0.475719153881073,0.35288307070732117,0.28184205293655396,0.24758079648017883,0.23063190281391144,0.23111921548843384,0.2521961033344269,0.20042887330055237,0.4130953550338745
