,what,type,of,numbers,demonstrate,a,flaw,with,the,fermat,primality,test,?
a,0.3320399522781372,0.3813284635543823,0.5052502155303955,0.24434582889080048,0.2521003186702728,1.0,0.3123522996902466,0.3783375024795532,0.5829201340675354,0.2493271678686142,0.2352360039949417,0.2521366477012634,0.23916715383529663
flaw,0.25950491428375244,0.190901979804039,0.20361581444740295,0.15674413740634918,0.30609995126724243,0.3123522996902466,1.0,0.17221739888191223,0.2224152833223343,0.23488514125347137,0.37238809466362,0.24036270380020142,0.20859314501285553
with,0.2464839518070221,0.1964726597070694,0.41827285289764404,0.21640020608901978,0.2461540848016739,0.3783375024795532,0.17221739888191223,0.9999999403953552,0.4223487675189972,0.14123061299324036,0.1440580040216446,0.14787445962429047,0.2433311939239502
this,0.5489566326141357,0.36936521530151367,0.45148900151252747,0.30999889969825745,0.37371909618377686,0.5422310829162598,0.30655401945114136,0.36358317732810974,0.6274310946464539,0.22777029871940613,0.29884281754493713,0.26785674691200256,0.3155723512172699
test,0.2596650719642639,0.23416662216186523,0.164191335439682,0.15689226984977722,0.3465607166290283,0.2521366477012634,0.24036270380020142,0.14787445962429047,0.19235259294509888,0.23552359640598297,0.32035455107688904,1.0000001192092896,0.19832737743854523
is,0.28837618231773376,0.3053323030471802,0.4854315221309662,0.19465886056423187,0.1701287031173706,0.658733606338501,0.22069938480854034,0.3250955045223236,0.5823672413825989,0.21814440190792084,0.24844646453857422,0.1841357946395874,0.22961433231830597
that,0.6297725439071655,0.25817251205444336,0.41498205065727234,0.342125803232193,0.37372252345085144,0.47537946701049805,0.37303605675697327,0.4154358208179474,0.5473989248275757,0.2800214886665344,0.2939705550670624,0.27682164311408997,0.32716336846351624
there,0.35085538029670715,0.2376682013273239,0.44397735595703125,0.3104099631309509,0.30578967928886414,0.4214206337928772,0.21430711448192596,0.37390366196632385,0.47025805711746216,0.2741948366165161,0.2484184056520462,0.18555277585983276,0.29405656456947327
are,0.29724663496017456,0.24155041575431824,0.39081433415412903,0.37760815024375916,0.21826240420341492,0.265255331993103,0.16307517886161804,0.38996943831443787,0.40399202704429626,0.19510826468467712,0.20207759737968445,0.19636113941669464,0.24591213464736938
some,0.4491020441055298,0.2761056125164032,0.4300730526447296,0.32205066084861755,0.31466373801231384,0.34539633989334106,0.22289732098579407,0.3924338221549988,0.4566698372364044,0.2104264497756958,0.26861488819122314,0.2230105698108673,0.2562315762042999
composite,0.20413389801979065,0.2683812081813812,0.27240246534347534,0.2724358141422272,0.1107112243771553,0.24256576597690582,0.1075957715511322,0.2471306174993515,0.22363927960395813,0.3371836841106415,0.301013320684433,0.24837084114551544,0.10732094198465347
numbers,0.24586999416351318,0.1971423625946045,0.228018656373024,1.0,0.23926861584186554,0.24434582889080048,0.15674413740634918,0.21640020608901978,0.293011337518692,0.35297852754592896,0.33137062191963196,0.15689226984977722,0.19297972321510315
(,0.2411840260028839,0.1677488386631012,0.35032153129577637,0.16701039671897888,0.10973811149597168,0.3206180930137634,0.10530920326709747,0.29503780603408813,0.33289089798927307,0.16979427635669708,0.23235595226287842,0.1613779515028,0.40561532974243164
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.293011337518692,0.2374596893787384,0.5829201340675354,0.2224152833223343,0.4223487675189972,1.0,0.20773477852344513,0.25188151001930237,0.19235259294509888,0.22068053483963013
carmichael,0.13899104297161102,0.15294551849365234,0.2545115351676941,0.23730318248271942,0.14163045585155487,0.23979786038398743,0.11501143127679825,0.14042970538139343,0.21299514174461365,0.2564104199409485,0.2050497829914093,0.12403243035078049,0.12453880906105042
numbers,0.24586999416351318,0.1971423625946045,0.228018656373024,1.0,0.23926861584186554,0.24434582889080048,0.15674413740634918,0.21640020608901978,0.293011337518692,0.35297852754592896,0.33137062191963196,0.15689226984977722,0.19297972321510315
),0.26259949803352356,0.18612703680992126,0.3680361211299896,0.18779772520065308,0.1154056265950203,0.3640355169773102,0.1092107892036438,0.3069596290588379,0.3456730246543884,0.16817797720432281,0.22714713215827942,0.16846168041229248,0.42300865054130554
that,0.6297725439071655,0.25817251205444336,0.41498205065727234,0.342125803232193,0.37372252345085144,0.47537946701049805,0.37303605675697327,0.4154358208179474,0.5473989248275757,0.2800214886665344,0.2939705550670624,0.27682164311408997,0.32716336846351624
satisfy,0.3083791434764862,0.08965389430522919,0.18434223532676697,0.26510414481163025,0.27888554334640503,0.1882748305797577,0.2876019775867462,0.2567993402481079,0.1686170995235443,0.28640687465667725,0.3516838252544403,0.24222996830940247,0.29956161975860596
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.293011337518692,0.2374596893787384,0.5829201340675354,0.2224152833223343,0.4223487675189972,1.0,0.20773477852344513,0.25188151001930237,0.19235259294509888,0.22068053483963013
fermat,0.21418137848377228,0.12458211183547974,0.19480057060718536,0.35297852754592896,0.22506454586982727,0.2493271678686142,0.23488514125347137,0.14123061299324036,0.20773477852344513,1.0000001192092896,0.37861356139183044,0.23552359640598297,0.19266122579574585
identity,0.24968291819095612,0.1822662651538849,0.14822673797607422,0.3070349097251892,0.2077436000108719,0.2551039159297943,0.2809748351573944,0.1643214076757431,0.22824928164482117,0.18930931389331818,0.37197014689445496,0.1374770700931549,0.1520950198173523
even,0.40872135758399963,0.1578398495912552,0.34735506772994995,0.4181032180786133,0.26140785217285156,0.3278432786464691,0.32911446690559387,0.38442325592041016,0.37996912002563477,0.2344488501548767,0.2771027088165283,0.18119674921035767,0.30082517862319946
though,0.4089210331439972,0.15306183695793152,0.37307101488113403,0.30398210883140564,0.2306753695011139,0.33230000734329224,0.35433512926101685,0.40347301959991455,0.38776206970214844,0.15210393071174622,0.2536309063434601,0.17468103766441345,0.3188856542110443
they,0.4431931674480438,0.1953689455986023,0.3426007330417633,0.3460351526737213,0.24318179488182068,0.3528250455856323,0.16252778470516205,0.42091572284698486,0.49925389885902405,0.17596499621868134,0.20447547733783722,0.18307891488075256,0.2753053903579712
