,what,type,of,t,cells,help,with,both,innnate,and,adaptive,immunity,?
like,0.4320242702960968,0.2712353765964508,0.3244853615760803,0.32058244943618774,0.21203181147575378,0.36455562710762024,0.38741448521614075,0.39125287532806396,0.30577751994132996,0.46997135877609253,0.16461899876594543,0.13501735031604767,0.3268813192844391
other,0.341873437166214,0.2522227168083191,0.38583824038505554,0.23803606629371643,0.22227968275547028,0.3668293356895447,0.44086363911628723,0.48922300338745117,0.3160255253314972,0.5504306554794312,0.21909035742282867,0.23669688403606415,0.24682199954986572
'unconventional,0.26463180780410767,0.24280276894569397,0.3000931441783905,0.17734387516975403,0.20614096522331238,0.1668049395084381,0.26285645365715027,0.3020920157432556,0.29174014925956726,0.28563743829727173,0.3122066557407379,0.15563282370567322,0.20831087231636047
',0.3245812654495239,0.2414226084947586,0.39136970043182373,0.4005541205406189,0.1639244556427002,0.22314856946468353,0.2546919286251068,0.23862965404987335,0.19634956121444702,0.3053182065486908,0.12685562670230865,0.15361277759075165,0.330942302942276
t,0.37454068660736084,0.2279110997915268,0.14617829024791718,0.9999999403953552,0.25527921319007874,0.26672595739364624,0.1978532373905182,0.22718216478824615,0.24268075823783875,0.25205641984939575,0.1490013301372528,0.22658170759677887,0.4954066574573517
cell,0.19222842156887054,0.2297259271144867,0.18332023918628693,0.24071010947227478,0.7729857563972473,0.17474345862865448,0.21242906153202057,0.19116415083408356,0.35752877593040466,0.2013455629348755,0.306709885597229,0.3133590817451477,0.2058541625738144
subsets,0.2841568887233734,0.25457996129989624,0.19108670949935913,0.25304341316223145,0.31412291526794434,0.1693396270275116,0.1642485111951828,0.22300727665424347,0.3385237455368042,0.25450295209884644,0.3548835813999176,0.17949606478214264,0.16371768712997437
bearing,0.29186058044433594,0.2605803608894348,0.3428342342376709,0.2457646131515503,0.26126816868782043,0.24416816234588623,0.3344097435474396,0.2686389684677124,0.37678080797195435,0.2690916359424591,0.2613833546638489,0.16563630104064941,0.24770914018154144
invariant,0.24991409480571747,0.3602133095264435,0.26545172929763794,0.24806703627109528,0.29725944995880127,0.22499726712703705,0.2672206163406372,0.2972937226295471,0.32834383845329285,0.24171268939971924,0.23392099142074585,0.17444001138210297,0.2606925964355469
tcrs,0.2983725368976593,0.11093606054782867,0.23605237901210785,0.24257227778434753,0.2682919502258301,0.26797395944595337,0.21834002435207367,0.2838234007358551,0.3507859408855438,0.27264204621315,0.29207831621170044,0.21256062388420105,0.23743101954460144
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.31002363562583923,0.20582014322280884,0.2855570912361145,0.4120737314224243,0.38080528378486633,0.23732803761959076,0.6633074283599854,0.1528570055961609,0.21605436503887177,0.31091248989105225
such,0.23989605903625488,0.2636772096157074,0.3209529519081116,0.2120000422000885,0.19361209869384766,0.26905423402786255,0.3346101939678192,0.3706909716129303,0.2645329535007477,0.44540345668792725,0.2657201886177063,0.20058366656303406,0.17851735651493073
as,0.31749409437179565,0.19307732582092285,0.3886612355709076,0.2405824363231659,0.2328435331583023,0.2739662528038025,0.40387406945228577,0.42436254024505615,0.276925653219223,0.49487000703811646,0.22404366731643677,0.17137591540813446,0.27043893933296204
cd1d-restricted,0.23952096700668335,0.15523666143417358,0.26810747385025024,0.23900312185287476,0.228727787733078,0.23420922458171844,0.27444466948509216,0.29917553067207336,0.39427298307418823,0.26782387495040894,0.3104054033756256,0.2087187021970749,0.21800635755062103
natural,0.15666867792606354,0.068992480635643,0.2963479459285736,0.09289944171905518,0.19689854979515076,0.1614106148481369,0.09072273224592209,0.19453731179237366,0.2753600776195526,0.3004496097564697,0.20431600511074066,0.12400070577859879,0.16155436635017395
killer,0.1868809163570404,0.13201098144054413,0.18559542298316956,0.17635615170001984,0.2414173036813736,0.23740586638450623,0.16901445388793945,0.18305529654026031,0.2807263731956482,0.24906691908836365,0.22614100575447083,0.18528112769126892,0.13010363280773163
t,0.37454068660736084,0.2279110997915268,0.14617829024791718,0.9999999403953552,0.25527921319007874,0.26672595739364624,0.1978532373905182,0.22718216478824615,0.24268075823783875,0.25205641984939575,0.1490013301372528,0.22658170759677887,0.4954066574573517
cells,0.1758001297712326,0.2162136286497116,0.21305565536022186,0.25527921319007874,1.0,0.21989507973194122,0.2187740057706833,0.21880505979061127,0.45462435483932495,0.24033623933792114,0.3719173073768616,0.3603610694408417,0.1898086667060852
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.31002363562583923,0.20582014322280884,0.2855570912361145,0.4120737314224243,0.38080528378486633,0.23732803761959076,0.6633074283599854,0.1528570055961609,0.21605436503887177,0.31091248989105225
γδ,-0.08154492825269699,-0.11278314888477325,-0.10087195783853531,0.09449943900108337,-0.028628746047616005,-0.08939468860626221,0.004421582445502281,-0.039693597704172134,-0.05426912382245064,0.07592243701219559,-0.07106594741344452,0.028211455792188644,0.07116200774908066
t,0.37454068660736084,0.2279110997915268,0.14617829024791718,0.9999999403953552,0.25527921319007874,0.26672595739364624,0.1978532373905182,0.22718216478824615,0.24268075823783875,0.25205641984939575,0.1490013301372528,0.22658170759677887,0.4954066574573517
cells,0.1758001297712326,0.2162136286497116,0.21305565536022186,0.25527921319007874,1.0,0.21989507973194122,0.2187740057706833,0.21880505979061127,0.45462435483932495,0.24033623933792114,0.3719173073768616,0.3603610694408417,0.1898086667060852
straddle,0.15726248919963837,0.14764472842216492,0.25247660279273987,0.0772300511598587,0.17960351705551147,0.12985460460186005,0.25353357195854187,0.2312200665473938,0.18404638767242432,0.2768554389476776,0.11780010163784027,0.13625912368297577,0.04841682314872742
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.2083338052034378,0.19095487892627716,0.30064165592193604,0.4223487675189972,0.4931981563568115,0.27501019835472107,0.5171257257461548,0.25968632102012634,0.25992491841316223,0.22068053483963013
border,0.26696228981018066,0.13176748156547546,0.24084383249282837,0.168776273727417,0.15587182343006134,0.15624843537807465,0.220579594373703,0.2264760583639145,0.22172121703624725,0.29048892855644226,0.14636477828025818,0.11194948107004166,0.1706928312778473
between,0.2462156116962433,0.13229937851428986,0.3737983703613281,0.14562492072582245,0.14604967832565308,0.21127207577228546,0.3829993009567261,0.40283381938934326,0.20395736396312714,0.40645647048950195,0.17286092042922974,0.10500786453485489,0.12887074053287506
