,how,many,lines,run,out,of,downtown,los,angeles,?
six,0.20644865930080414,0.37673795223236084,0.1927713304758072,0.16689720749855042,0.26159560680389404,0.3317931592464447,0.19499249756336212,0.17602211236953735,0.1928030103445053,0.15298804640769958
of,0.2480744868516922,0.37253960967063904,0.1948472559452057,0.2272813767194748,0.34176841378211975,1.0,0.21455974876880646,0.17343297600746155,0.16643567383289337,0.1826142966747284
the,0.33890387415885925,0.4335206151008606,0.28391990065574646,0.27883726358413696,0.39404502511024475,0.733189046382904,0.2602716088294983,0.2502395510673523,0.24588194489479065,0.22068053483963013
seven,0.20032188296318054,0.28098854422569275,0.14330412447452545,0.1163758933544159,0.14368775486946106,0.273354172706604,0.1700628697872162,0.17224837839603424,0.19090114533901215,0.1732930988073349
lines,0.20665870606899261,0.20936992764472961,1.0,0.20876501500606537,0.2228342592716217,0.1948472559452057,0.2629043459892273,0.09954968839883804,0.09817230701446533,0.18324026465415955
of,0.2480744868516922,0.37253960967063904,0.1948472559452057,0.2272813767194748,0.34176841378211975,1.0,0.21455974876880646,0.17343297600746155,0.16643567383289337,0.1826142966747284
the,0.33890387415885925,0.4335206151008606,0.28391990065574646,0.27883726358413696,0.39404502511024475,0.733189046382904,0.2602716088294983,0.2502395510673523,0.24588194489479065,0.22068053483963013
commuter,0.14864452183246613,0.2010478377342224,0.3911378085613251,0.32773157954216003,0.14212891459465027,0.2123846858739853,0.46617740392684937,0.21283520758152008,0.2162894606590271,0.12120608985424042
rail,0.13560721278190613,0.10045430064201355,0.3984358310699463,0.25068843364715576,0.132656529545784,0.18577207624912262,0.2989347279071808,0.1079663336277008,0.11246203631162643,0.1349031925201416
system,0.282820463180542,0.2631138563156128,0.23169106245040894,0.23948153853416443,0.26074373722076416,0.25597915053367615,0.1815277487039566,0.07761326432228088,0.0790518969297409,0.15556083619594574
",",0.22659391164779663,0.40610817074775696,0.23323656618595123,0.2309936285018921,0.3161109685897827,0.4946078956127167,0.2289871871471405,0.242568701505661,0.23721925914287567,0.31091248989105225
