,what,workshop,helped,with,the,creation,of,the,doctor,who,theme,?
the,0.42745697498321533,0.20376601815223694,0.3108886480331421,0.4223487675189972,1.0,0.34625571966171265,0.733189046382904,1.0,0.2820442318916321,0.3733934462070465,0.2470158040523529,0.22068053483963013
original,0.24651947617530823,0.2059851884841919,0.10883169621229172,0.24073785543441772,0.4037000238895416,0.38632795214653015,0.30228546261787415,0.4037000238895416,0.13737785816192627,0.1785319596529007,0.29133370518684387,0.17256900668144226
theme,0.24160240590572357,0.20902317762374878,0.15379644930362701,0.22438909113407135,0.2470158040523529,0.23570623993873596,0.17537155747413635,0.2470158040523529,0.17665699124336243,0.1836521327495575,0.9999998807907104,0.21507632732391357
was,0.22111038863658905,0.25360432267189026,0.384408563375473,0.27411898970603943,0.48711544275283813,0.26162147521972656,0.4069072902202606,0.48711544275283813,0.19672659039497375,0.3318818509578705,0.21860456466674805,0.18412111699581146
composed,0.14231626689434052,0.14820021390914917,0.15260930359363556,0.27015572786331177,0.21816956996917725,0.18911251425743103,0.29509663581848145,0.21816956996917725,0.03270154818892479,0.13117516040802002,0.2685653567314148,0.0784355029463768
by,0.2455483376979828,0.24439650774002075,0.24260085821151733,0.39731505513191223,0.4408751428127289,0.23915661871433258,0.3646814823150635,0.4408751428127289,0.13681447505950928,0.39727845788002014,0.19824901223182678,0.17966607213020325
ron,0.10826392471790314,0.20639635622501373,0.17741331458091736,0.252404123544693,0.23636619746685028,0.09083579480648041,0.2019987255334854,0.23636619746685028,0.16254913806915283,0.19882051646709442,0.24037496745586395,0.13957297801971436
grainer,0.1800486296415329,0.19069832563400269,0.13624094426631927,0.1980375498533249,0.18470273911952972,0.11399907618761063,0.1979060024023056,0.18470273911952972,0.1972910761833191,0.17454753816127777,0.16421698033809662,0.23028554022312164
and,0.31309178471565247,0.20908670127391815,0.318156898021698,0.5477725267410278,0.5171257257461548,0.22428621351718903,0.5116966962814331,0.5171257257461548,0.21673844754695892,0.41279885172843933,0.2354547381401062,0.20544172823429108
realised,0.35336893796920776,0.18587680160999298,0.22579260170459747,0.2454005479812622,0.257403165102005,0.24074439704418182,0.21059690415859222,0.257403165102005,0.1903384029865265,0.28033447265625,0.14925913512706757,0.1897580921649933
by,0.2455483376979828,0.24439650774002075,0.24260085821151733,0.39731505513191223,0.4408751428127289,0.23915661871433258,0.3646814823150635,0.4408751428127289,0.13681447505950928,0.39727845788002014,0.19824901223182678,0.17966607213020325
delia,0.22199155390262604,0.26459595561027527,0.13776881992816925,0.08885829150676727,0.1591850221157074,0.0671277716755867,0.1708555966615677,0.1591850221157074,0.20219969749450684,0.2152830958366394,0.1681274175643921,0.1560731828212738
derbyshire,0.21258346736431122,0.2905276119709015,0.11786634474992752,0.1945008784532547,0.17684753239154816,0.04840528219938278,0.16396969556808472,0.17684753239154816,0.18457013368606567,0.211159348487854,0.14236398041248322,0.10152211040258408
of,0.33290785551071167,0.13642579317092896,0.26548290252685547,0.41827285289764404,0.733189046382904,0.35750406980514526,1.0,0.733189046382904,0.16895952820777893,0.2827862501144409,0.17537155747413635,0.1826142966747284
the,0.42745697498321533,0.20376601815223694,0.3108886480331421,0.4223487675189972,1.0,0.34625571966171265,0.733189046382904,1.0,0.2820442318916321,0.3733934462070465,0.2470158040523529,0.22068053483963013
bbc,0.20634698867797852,0.27991077303886414,0.11451076716184616,0.20973603427410126,0.2735401690006256,0.1410522162914276,0.1797877550125122,0.2735401690006256,0.32370132207870483,0.2086644321680069,0.2024126797914505,0.20556949079036713
radiophonic,0.3038996756076813,0.29320433735847473,0.18818488717079163,0.22770577669143677,0.2632516324520111,0.11925489455461502,0.2599748969078064,0.2632516324520111,0.20095741748809814,0.1785707175731659,0.22774289548397064,0.22010113298892975
workshop,0.19903716444969177,1.0,0.27232882380485535,0.13400587439537048,0.20376601815223694,0.13700993359088898,0.13642579317092896,0.20376601815223694,0.17948710918426514,0.2457268387079239,0.20902317762374878,0.17420513927936554
",",0.3087472915649414,0.1865280568599701,0.2661169171333313,0.4120737314224243,0.4933079481124878,0.24387513101100922,0.4946078956127167,0.4933079481124878,0.20407600700855255,0.3365725874900818,0.21865783631801605,0.31091248989105225
with,0.2464839518070221,0.13400587439537048,0.24667875468730927,0.9999999403953552,0.4223487675189972,0.2360008805990219,0.41827285289764404,0.4223487675189972,0.17277967929840088,0.3282766342163086,0.22438909113407135,0.2433311939239502
assistance,0.21387380361557007,0.23173482716083527,0.27471065521240234,0.2653280198574066,0.19771957397460938,0.17485617101192474,0.17943856120109558,0.19771957397460938,0.2330218255519867,0.3158726990222931,0.09631707519292831,0.14602699875831604
from,0.2737620174884796,0.1921035498380661,0.19967898726463318,0.26272761821746826,0.40150508284568787,0.2031598687171936,0.4249346852302551,0.40150508284568787,0.15658842027187347,0.27839982509613037,0.18822719156742096,0.19969791173934937
dick,0.2158607393503189,0.14785319566726685,0.1450330913066864,0.13620461523532867,0.1593727320432663,0.05165392532944679,0.163341224193573,0.1593727320432663,0.17906202375888824,0.21179524064064026,0.2273506224155426,0.1753130704164505
mills,0.11937421560287476,0.24370212852954865,0.1772737354040146,0.14439818263053894,0.19292980432510376,0.15243907272815704,0.20120367407798767,0.19292980432510376,0.1350833773612976,0.20563136041164398,0.1791200041770935,0.13688337802886963
.,0.3567904531955719,0.19987159967422485,0.25779226422309875,0.4446153938770294,0.5934505462646484,0.27493008971214294,0.5352458953857422,0.5934505462646484,0.22361043095588684,0.3541337847709656,0.2135048359632492,0.4130953550338745
