,which,court,argued,that,the,treaty,of,rome,did,not,prevent,energy,nationalism,?
by,0.40543368458747864,0.21938012540340424,0.24532800912857056,0.37496164441108704,0.4408751428127289,0.11528714001178741,0.3646814823150635,0.19105854630470276,0.18574509024620056,0.291808545589447,0.3244638741016388,0.1721600890159607,0.21825729310512543,0.17966607213020325
contrast,0.3396453261375427,0.16861633956432343,0.261503666639328,0.31651821732521057,0.25799670815467834,0.154164656996727,0.3046875298023224,0.18659192323684692,0.15323619544506073,0.2847227156162262,0.20255427062511444,0.22501817345619202,0.29220426082611084,0.15469981729984283
",",0.3658004403114319,0.24410836398601532,0.2107459008693695,0.4137537479400635,0.4933079481124878,0.21270246803760529,0.4946078956127167,0.2507072985172272,0.3015086054801941,0.3769696354866028,0.19234955310821533,0.21156731247901917,0.20392820239067078,0.31091248989105225
the,0.6521818041801453,0.2812081575393677,0.1919303685426712,0.5473989248275757,1.0,0.2690109610557556,0.733189046382904,0.2399049997329712,0.34736719727516174,0.4310511648654938,0.2841009497642517,0.26756542921066284,0.24141642451286316,0.22068053483963013
court,0.19263212382793427,1.0,0.32544562220573425,0.2474849969148636,0.2812081575393677,0.22745929658412933,0.28835242986679077,0.19748814404010773,0.23020441830158234,0.21835780143737793,0.13133683800697327,0.11481554061174393,0.17359328269958496,0.17100423574447632
of,0.5011631846427917,0.28835242986679077,0.19172857701778412,0.41498205065727234,0.733189046382904,0.2602092921733856,1.0,0.21705909073352814,0.2513895630836487,0.3307090103626251,0.22669163346290588,0.26257598400115967,0.25239041447639465,0.1826142966747284
justice,0.16124017536640167,0.5483176112174988,0.21892185509204865,0.23929592967033386,0.23470892012119293,0.20915263891220093,0.2658293545246124,0.16730323433876038,0.10621706396341324,0.12427773326635361,0.1300525963306427,0.22661298513412476,0.2630555331707001,0.19269752502441406
held,0.2626747488975525,0.2663261592388153,0.19422030448913574,0.224154531955719,0.32185450196266174,0.1552196890115738,0.28960686922073364,0.22717858850955963,0.18607917428016663,0.1698913723230362,0.10694561153650284,0.049016986042261124,0.13281619548797607,0.14103956520557404
that,0.6894589066505432,0.2474849969148636,0.3780103027820587,1.0,0.5473989248275757,0.19276702404022217,0.41498205065727234,0.19937314093112946,0.47518548369407654,0.6600887179374695,0.3359993100166321,0.2617390751838684,0.23851434886455536,0.32716336846351624
ultimately,0.39092856645584106,0.24053765833377838,0.19928227365016937,0.3628302216529846,0.38258427381515503,0.20629829168319702,0.2608107626438141,0.0956876203417778,0.30089887976646423,0.33153095841407776,0.3180723786354065,0.3068018853664398,0.2749312222003937,0.18806859850883484
the,0.6521818041801453,0.2812081575393677,0.1919303685426712,0.5473989248275757,1.0,0.2690109610557556,0.733189046382904,0.2399049997329712,0.34736719727516174,0.4310511648654938,0.2841009497642517,0.26756542921066284,0.24141642451286316,0.22068053483963013
treaty,0.19969318807125092,0.22745929658412933,0.10727547109127045,0.19276702404022217,0.2690109610557556,1.0,0.2602092921733856,0.24507440626621246,0.19075942039489746,0.24425633251667023,0.1417146474123001,0.1335025429725647,0.23069000244140625,0.1174844279885292
of,0.5011631846427917,0.28835242986679077,0.19172857701778412,0.41498205065727234,0.733189046382904,0.2602092921733856,1.0,0.21705909073352814,0.2513895630836487,0.3307090103626251,0.22669163346290588,0.26257598400115967,0.25239041447639465,0.1826142966747284
rome,0.18382954597473145,0.19748814404010773,0.09993162006139755,0.19937314093112946,0.2399049997329712,0.24507440626621246,0.21705909073352814,1.0,0.21517880260944366,0.21086826920509338,0.14952504634857178,0.064484141767025,0.21418356895446777,0.16867119073867798
in,0.4840516746044159,0.2793687880039215,0.16827838122844696,0.435920387506485,0.6662389636039734,0.22333456575870514,0.5696388483047485,0.25722408294677734,0.2593238651752472,0.3403114080429077,0.14883868396282196,0.17693158984184265,0.20544803142547607,0.20430970191955566
no,0.32479003071784973,0.1994841992855072,0.2037103772163391,0.41830796003341675,0.3461136817932129,0.22141088545322418,0.24809792637825012,0.13938090205192566,0.23735837638378143,0.4487079083919525,0.2509502172470093,0.211028590798378,0.05563413351774216,0.32165053486824036
way,0.4262211322784424,0.18403738737106323,0.2516714036464691,0.5086538195610046,0.36217406392097473,0.21339896321296692,0.266871839761734,0.17336522042751312,0.34534135460853577,0.4712067246437073,0.33706891536712646,0.2854669690132141,0.24147944152355194,0.31575819849967957
prevented,0.2837466597557068,0.17120932042598724,0.2976381778717041,0.35548314452171326,0.3256615996360779,0.19347260892391205,0.296178936958313,0.1703692525625229,0.29034915566444397,0.3680470287799835,0.8100578188896179,0.17756357789039612,0.2251887172460556,0.21836411952972412
energy,0.29086095094680786,0.11481554061174393,0.16842737793922424,0.2617390751838684,0.26756542921066284,0.1335025429725647,0.26257598400115967,0.064484141767025,0.14123573899269104,0.22607171535491943,0.20975105464458466,1.0000001192092896,0.17028576135635376,0.14860127866268158
