,why,did,gm,",",ford,and,chrysler,introduced,fuel-efficient,and,small,cars,to,the,us,market,?
an,0.22638356685638428,0.22598257660865784,0.06831381469964981,0.3581022024154663,0.1455119103193283,0.2838519215583801,0.15559008717536926,0.13903290033340454,0.2809070944786072,0.2838519215583801,0.22656132280826569,0.12230639159679413,0.3138085603713989,0.4207492768764496,0.1722210943698883,0.15077361464500427,0.19793890416622162
increase,0.16871358454227448,0.15550044178962708,0.14830957353115082,0.20005576312541962,0.1129755899310112,0.2751924991607666,0.17847535014152527,0.21036522090435028,0.4507947564125061,0.2751924991607666,0.30826112627983093,0.2631928026676178,0.3378143310546875,0.32049667835235596,0.20999179780483246,0.25509482622146606,0.11119163036346436
in,0.23227278888225555,0.2593238651752472,0.1116616502404213,0.5201468467712402,0.190155491232872,0.4954058527946472,0.16150273382663727,0.2614979147911072,0.22495098412036896,0.4954058527946472,0.3722202181816101,0.2354678511619568,0.45010748505592346,0.6662389636039734,0.19746538996696472,0.27003997564315796,0.20430970191955566
imported,0.2449437379837036,0.21312536299228668,0.22634504735469818,0.30712804198265076,0.11568465828895569,0.2833300530910492,0.22476129233837128,0.31858405470848083,0.2684737741947174,0.2833300530910492,0.26153239607810974,0.2374919205904007,0.26343628764152527,0.2233143448829651,0.20959743857383728,0.2556741535663605,0.2793850898742676
cars,0.16441428661346436,0.24831874668598175,0.24042850732803345,0.23312760889530182,0.43371817469596863,0.2871580421924591,0.43217504024505615,0.189689502120018,0.3906615674495697,0.2871580421924591,0.19403524696826935,0.9999998807907104,0.22292250394821167,0.22665506601333618,0.1545177847146988,0.26540258526802063,0.1518762707710266
into,0.2580989897251129,0.14888085424900055,0.10266100615262985,0.2826121151447296,0.13028506934642792,0.36597734689712524,0.15970788896083832,0.26064932346343994,0.20543664693832397,0.36597734689712524,0.28315088152885437,0.15737463533878326,0.38810545206069946,0.39493247866630554,0.11143974959850311,0.13179516792297363,0.15662476420402527
north,0.1449831873178482,0.16732536256313324,0.13913515210151672,0.31834840774536133,0.20531411468982697,0.2776443064212799,0.19603772461414337,0.15643028914928436,0.16805773973464966,0.2776443064212799,0.26063457131385803,0.204859659075737,0.2743184268474579,0.36298373341560364,0.2076253890991211,0.24841775000095367,0.11829731613397598
america,0.1939191222190857,0.2212076634168625,0.09114260226488113,0.253568559885025,0.2538597881793976,0.2647855281829834,0.21844235062599182,0.2979750633239746,0.17858491837978363,0.2647855281829834,0.21824492514133453,0.20758101344108582,0.2636699676513672,0.37090015411376953,0.2523760497570038,0.17426654696464539,0.19333907961845398
forced,0.2170962393283844,0.36753809452056885,0.06737300008535385,0.2527396082878113,0.15396428108215332,0.28385210037231445,0.1274423897266388,0.15062488615512848,0.14844194054603577,0.28385210037231445,0.21180418133735657,0.15942706167697906,0.3537954092025757,0.2571122944355011,0.08408127725124359,0.13642947375774384,0.17547516524791718
general,0.13639043271541595,0.19499315321445465,0.2370103895664215,0.3022127151489258,0.20676752924919128,0.25860127806663513,0.19850440323352814,0.2451598048210144,0.2395387589931488,0.25860127806663513,0.1463157683610916,0.09616724401712418,0.24755197763442993,0.28634732961654663,0.16030950844287872,0.1400919258594513,0.1972234547138214
