,who,was,the,jin,dynasty,defector,who,betrayed,the,location,of,the,jin,army,?
instead,0.2789587676525116,0.23083001375198364,0.3940567970275879,0.15010319650173187,0.09930296242237091,0.17381878197193146,0.2789587676525116,0.19934402406215668,0.3940567970275879,0.15808522701263428,0.31208282709121704,0.3940567970275879,0.15010319650173187,0.17960652709007263,0.2942638397216797
",",0.3365725874900818,0.45456063747406006,0.4933079481124878,0.21946492791175842,0.1976536363363266,0.2813166677951813,0.3365725874900818,0.23919084668159485,0.4933079481124878,0.25077858567237854,0.4946078956127167,0.4933079481124878,0.21946492791175842,0.230897456407547,0.31091248989105225
the,0.3733934462070465,0.48711544275283813,1.0,0.23336409032344818,0.26267939805984497,0.24560672044754028,0.3733934462070465,0.2555851638317108,1.0,0.351087361574173,0.733189046382904,1.0,0.23336409032344818,0.31011611223220825,0.22068053483963013
jin,0.22250813245773315,0.14832298457622528,0.23336409032344818,1.0,0.4847870469093323,0.41556817293167114,0.22250813245773315,0.28841432929039,0.23336409032344818,0.10080694407224655,0.18017646670341492,0.23336409032344818,1.0,0.1694796234369278,0.12195159494876862
commander,0.24657247960567474,0.23336075246334076,0.24218903481960297,0.17543278634548187,0.16921263933181763,0.16908904910087585,0.24657247960567474,0.3066195547580719,0.24218903481960297,0.11094136536121368,0.2152482569217682,0.24218903481960297,0.17543278634548187,0.44715648889541626,0.2315494865179062
sent,0.33813023567199707,0.3192673325538635,0.3010627329349518,0.1681070327758789,0.13891921937465668,0.21916888654232025,0.33813023567199707,0.31780770421028137,0.3010627329349518,0.14354687929153442,0.28923630714416504,0.3010627329349518,0.1681070327758789,0.3183806538581848,0.10903520882129669
a,0.36608949303627014,0.4508470594882965,0.5829201340675354,0.15849100053310394,0.14993494749069214,0.22835451364517212,0.36608949303627014,0.16936276853084564,0.5829201340675354,0.22079749405384064,0.5052502155303955,0.5829201340675354,0.15849100053310394,0.20244213938713074,0.23916715383529663
messenger,0.30123236775398254,0.224880188703537,0.2849069833755493,0.19079627096652985,0.13240788877010345,0.2327616661787033,0.30123236775398254,0.24519439041614532,0.2849069833755493,0.07913108915090561,0.19503262639045715,0.2849069833755493,0.19079627096652985,0.16687116026878357,0.14740361273288727
",",0.3365725874900818,0.45456063747406006,0.4933079481124878,0.21946492791175842,0.1976536363363266,0.2813166677951813,0.3365725874900818,0.23919084668159485,0.4933079481124878,0.25077858567237854,0.4946078956127167,0.4933079481124878,0.21946492791175842,0.230897456407547,0.31091248989105225
ming-tan,0.21813634037971497,0.24137502908706665,0.2845365107059479,0.42701658606529236,0.4354369640350342,0.2173452228307724,0.21813634037971497,0.2780475914478302,0.2845365107059479,0.17998185753822327,0.2706243693828583,0.2845365107059479,0.42701658606529236,0.2782878577709198,0.19019295275211334
",",0.3365725874900818,0.45456063747406006,0.4933079481124878,0.21946492791175842,0.1976536363363266,0.2813166677951813,0.3365725874900818,0.23919084668159485,0.4933079481124878,0.25077858567237854,0.4946078956127167,0.4933079481124878,0.21946492791175842,0.230897456407547,0.31091248989105225
to,0.42656609416007996,0.3636345863342285,0.535392165184021,0.16679616272449493,0.1214921623468399,0.20224465429782867,0.42656609416007996,0.2464798092842102,0.535392165184021,0.2590580880641937,0.41548454761505127,0.535392165184021,0.16679616272449493,0.22938482463359833,0.29463258385658264
the,0.3733934462070465,0.48711544275283813,1.0,0.23336409032344818,0.26267939805984497,0.24560672044754028,0.3733934462070465,0.2555851638317108,1.0,0.351087361574173,0.733189046382904,1.0,0.23336409032344818,0.31011611223220825,0.22068053483963013
mongol,0.22505711019039154,0.17204789817333221,0.2924198508262634,0.4456239342689514,0.5123041272163391,0.27537932991981506,0.22505711019039154,0.22570990025997162,0.2924198508262634,0.10674504190683365,0.22712039947509766,0.2924198508262634,0.4456239342689514,0.27053940296173096,0.12849251925945282
side,0.18683703243732452,0.16857531666755676,0.37146830558776855,0.17033131420612335,0.0939645990729332,0.21421264111995697,0.18683703243732452,0.21315979957580566,0.37146830558776855,0.20349448919296265,0.2452700436115265,0.37146830558776855,0.17033131420612335,0.18499290943145752,0.07831130921840668
",",0.3365725874900818,0.45456063747406006,0.4933079481124878,0.21946492791175842,0.1976536363363266,0.2813166677951813,0.3365725874900818,0.23919084668159485,0.4933079481124878,0.25077858567237854,0.4946078956127167,0.4933079481124878,0.21946492791175842,0.230897456407547,0.31091248989105225
who,0.9999998807907104,0.3318818509578705,0.3733934462070465,0.22250813245773315,0.19946415722370148,0.2739683985710144,0.9999998807907104,0.39655208587646484,0.3733934462070465,0.10714887082576752,0.2827862501144409,0.3733934462070465,0.22250813245773315,0.2866576313972473,0.26220351457595825
defected,0.3239649832248688,0.3062111437320709,0.3002898693084717,0.2815520763397217,0.16642816364765167,0.7598177194595337,0.3239649832248688,0.32709723711013794,0.3002898693084717,0.14343024790287018,0.294855535030365,0.3002898693084717,0.2815520763397217,0.24670344591140747,0.09351088106632233
and,0.41279885172843933,0.3740963041782379,0.5171257257461548,0.22211141884326935,0.21357402205467224,0.2676386833190918,0.41279885172843933,0.26565417647361755,0.5171257257461548,0.21502819657325745,0.5116966962814331,0.5171257257461548,0.22211141884326935,0.25581875443458557,0.20544172823429108
told,0.42740562558174133,0.33179396390914917,0.25361230969429016,0.14615358412265778,0.11130205541849136,0.22266174852848053,0.42740562558174133,0.44394922256469727,0.25361230969429016,0.1281081885099411,0.23664528131484985,0.25361230969429016,0.14615358412265778,0.18602626025676727,0.28178566694259644
the,0.3733934462070465,0.48711544275283813,1.0,0.23336409032344818,0.26267939805984497,0.24560672044754028,0.3733934462070465,0.2555851638317108,1.0,0.351087361574173,0.733189046382904,1.0,0.23336409032344818,0.31011611223220825,0.22068053483963013
mongols,0.2709572911262512,0.19519121944904327,0.310281366109848,0.43868622183799744,0.49200209975242615,0.27100446820259094,0.2709572911262512,0.28985100984573364,0.310281366109848,0.10310296714305878,0.23517343401908875,0.310281366109848,0.43868622183799744,0.31691253185272217,0.11517509818077087
that,0.45444270968437195,0.33670201897621155,0.5473989248275757,0.1920185536146164,0.19153755903244019,0.22786229848861694,0.45444270968437195,0.2838336229324341,0.5473989248275757,0.1944330334663391,0.41498205065727234,0.5473989248275757,0.1920185536146164,0.19859851896762848,0.32716336846351624
the,0.3733934462070465,0.48711544275283813,1.0,0.23336409032344818,0.26267939805984497,0.24560672044754028,0.3733934462070465,0.2555851638317108,1.0,0.351087361574173,0.733189046382904,1.0,0.23336409032344818,0.31011611223220825,0.22068053483963013
jin,0.22250813245773315,0.14832298457622528,0.23336409032344818,1.0,0.4847870469093323,0.41556817293167114,0.22250813245773315,0.28841432929039,0.23336409032344818,0.10080694407224655,0.18017646670341492,0.23336409032344818,1.0,0.1694796234369278,0.12195159494876862
army,0.2866576313972473,0.30177709460258484,0.31011611223220825,0.1694796234369278,0.2885822653770447,0.2500458359718323,0.2866576313972473,0.33384791016578674,0.31011611223220825,0.12093798816204071,0.2669098675251007,0.31011611223220825,0.1694796234369278,1.0000001192092896,0.180583193898201
was,0.3318818509578705,1.0000001192092896,0.48711544275283813,0.14832298457622528,0.24324211478233337,0.31924766302108765,0.3318818509578705,0.2884279787540436,0.48711544275283813,0.1839360147714615,0.4069072902202606,0.48711544275283813,0.14832298457622528,0.30177709460258484,0.18412111699581146
waiting,0.28016310930252075,0.20207208395004272,0.23914384841918945,0.13705392181873322,0.11753558367490768,0.1460275948047638,0.28016310930252075,0.2380923628807068,0.23914384841918945,0.13141043484210968,0.236406147480011,0.23914384841918945,0.13705392181873322,0.15592269599437714,0.31823965907096863
on,0.2340552806854248,0.3909217119216919,0.5107308030128479,0.1488168090581894,0.10236000269651413,0.1648492068052292,0.2340552806854248,0.17442874610424042,0.5107308030128479,0.23113425076007843,0.3966929316520691,0.5107308030128479,0.1488168090581894,0.17614345252513885,0.2714994251728058
the,0.3733934462070465,0.48711544275283813,1.0,0.23336409032344818,0.26267939805984497,0.24560672044754028,0.3733934462070465,0.2555851638317108,1.0,0.351087361574173,0.733189046382904,1.0,0.23336409032344818,0.31011611223220825,0.22068053483963013
other,0.3612329661846161,0.14651623368263245,0.44152235984802246,0.16516417264938354,0.14103373885154724,0.17413543164730072,0.3612329661846161,0.18204012513160706,0.44152235984802246,0.21046344935894012,0.38583824038505554,0.44152235984802246,0.16516417264938354,0.13065484166145325,0.24682199954986572
side,0.18683703243732452,0.16857531666755676,0.37146830558776855,0.17033131420612335,0.0939645990729332,0.21421264111995697,0.18683703243732452,0.21315979957580566,0.37146830558776855,0.20349448919296265,0.2452700436115265,0.37146830558776855,0.17033131420612335,0.18499290943145752,0.07831130921840668
of,0.2827862501144409,0.4069072902202606,0.733189046382904,0.18017646670341492,0.285645067691803,0.21508006751537323,0.2827862501144409,0.20830339193344116,0.733189046382904,0.28702232241630554,1.0,0.733189046382904,0.18017646670341492,0.2669098675251007,0.1826142966747284
the,0.3733934462070465,0.48711544275283813,1.0,0.23336409032344818,0.26267939805984497,0.24560672044754028,0.3733934462070465,0.2555851638317108,1.0,0.351087361574173,0.733189046382904,1.0,0.23336409032344818,0.31011611223220825,0.22068053483963013
pass,0.12504667043685913,0.1040167361497879,0.25961899757385254,0.13577701151371002,0.12639647722244263,0.11487054079771042,0.12504667043685913,0.11598096042871475,0.25961899757385254,0.11094894260168076,0.18302802741527557,0.25961899757385254,0.13577701151371002,0.0996457040309906,0.09478675574064255
.,0.3541337847709656,0.40146201848983765,0.5934505462646484,0.17743851244449615,0.20616187155246735,0.20670603215694427,0.3541337847709656,0.2106136977672577,0.5934505462646484,0.27818506956100464,0.5352458953857422,0.5934505462646484,0.17743851244449615,0.28860729932785034,0.4130953550338745
