,what,is,an,example,of,a,mechanical,barrier,on,leaves,?
several,0.22446060180664062,0.20361857116222382,0.21064363420009613,0.30008766055107117,0.3271615505218506,0.29992109537124634,0.2005329430103302,0.19831696152687073,0.33774417638778687,0.1161598265171051,0.15595775842666626
barriers,0.22092224657535553,0.20278379321098328,0.1900167167186737,0.24095900356769562,0.20672127604484558,0.23114445805549622,0.2777377665042877,0.8158993721008301,0.22151149809360504,0.13008052110671997,0.12831342220306396
protect,0.25314101576805115,0.17850741744041443,0.18392978608608246,0.24297678470611572,0.19880573451519012,0.21272259950637817,0.169034942984581,0.25879034399986267,0.23731310665607452,0.1425376981496811,0.20180222392082214
organisms,0.22214920818805695,0.1773757040500641,0.17221201956272125,0.29236093163490295,0.23870134353637695,0.1930171549320221,0.2903701961040497,0.2936520576477051,0.16382019221782684,0.17856016755104065,0.22621455788612366
from,0.2737620174884796,0.27355384826660156,0.20876385271549225,0.3175121247768402,0.4249346852302551,0.322764128446579,0.16142834722995758,0.2032448798418045,0.36926645040512085,0.20394736528396606,0.19969791173934937
infection,0.17579561471939087,0.23968450725078583,0.16551917791366577,0.25792405009269714,0.2276538908481598,0.247476264834404,0.21750766038894653,0.3172316551208496,0.2044891119003296,0.21574264764785767,0.18650056421756744
",",0.3087472915649414,0.4691906273365021,0.3581022024154663,0.3094974756240845,0.4946078956127167,0.427140474319458,0.21404018998146057,0.23170435428619385,0.49057599902153015,0.24740222096443176,0.31091248989105225
including,0.18328791856765747,0.25093933939933777,0.13861823081970215,0.3567594587802887,0.44195112586021423,0.21045410633087158,0.150380477309227,0.2263166457414627,0.324923574924469,0.12231460213661194,0.1633303165435791
mechanical,0.22318285703659058,0.2110103964805603,0.2723167836666107,0.21492183208465576,0.3339124023914337,0.3179347515106201,1.0000001192092896,0.2716796398162842,0.1700088083744049,0.1800031214952469,0.10079140216112137
",",0.3087472915649414,0.4691906273365021,0.3581022024154663,0.3094974756240845,0.4946078956127167,0.427140474319458,0.21404018998146057,0.23170435428619385,0.49057599902153015,0.24740222096443176,0.31091248989105225
chemical,0.26249468326568604,0.2387559562921524,0.17447158694267273,0.2803197205066681,0.22874756157398224,0.24089328944683075,0.3985264301300049,0.20803947746753693,0.17748381197452545,0.20004935562610626,0.2040288895368576
",",0.3087472915649414,0.4691906273365021,0.3581022024154663,0.3094974756240845,0.4946078956127167,0.427140474319458,0.21404018998146057,0.23170435428619385,0.49057599902153015,0.24740222096443176,0.31091248989105225
