,what,was,newcastlegateshead,voted,in,2006,?
newcastlegateshead,0.2217201441526413,0.339923620223999,1.0,0.2920037806034088,0.29547497630119324,-0.09209895879030228,0.1825120747089386
was,0.22111038863658905,1.0000001192092896,0.339923620223999,0.3353792428970337,0.45514053106307983,-0.08876620978116989,0.18412111699581146
voted,0.26488763093948364,0.3353792428970337,0.2920037806034088,1.0,0.22158056497573853,-0.07107085734605789,0.22732289135456085
in,0.30808621644973755,0.45514053106307983,0.29547497630119324,0.22158056497573853,1.0,-0.04600946605205536,0.20430970191955566
2006,-0.0008085015579126775,-0.08876620978116989,-0.09209895879030228,-0.07107085734605789,-0.04600946605205536,1.0,-0.1194092258810997
as,0.31749409437179565,0.3677520453929901,0.2853814661502838,0.20212256908416748,0.3887844979763031,0.06796624511480331,0.27043893933296204
the,0.42745697498321533,0.48711544275283813,0.3377985656261444,0.3015371859073639,0.6662389636039734,0.11294147372245789,0.22068053483963013
arts,0.15975245833396912,0.25444865226745605,0.2505400776863098,0.12958994507789612,0.2445804625749588,-0.007385108154267073,0.09471383690834045
capital,0.17967931926250458,0.21907466650009155,0.22558273375034332,0.12424903362989426,0.3233928978443146,-0.08172375708818436,0.0907452180981636
of,0.33290785551071167,0.4069072902202606,0.28650474548339844,0.25903964042663574,0.5696388483047485,0.10009169578552246,0.1826142966747284
the,0.42745697498321533,0.48711544275283813,0.3377985656261444,0.3015371859073639,0.6662389636039734,0.11294147372245789,0.22068053483963013
uk,0.17163191735744476,0.206756129860878,0.3796415328979492,0.22605863213539124,0.2261405885219574,-0.05053727701306343,0.20222434401512146
in,0.30808621644973755,0.45514053106307983,0.29547497630119324,0.22158056497573853,1.0,-0.04600946605205536,0.20430970191955566
a,0.3320399522781372,0.4508470594882965,0.29516562819480896,0.24479347467422485,0.539380669593811,0.09566660970449448,0.23916715383529663
survey,0.2753312289714813,0.16654054820537567,0.21490707993507385,0.17221485078334808,0.2121916115283966,0.0014973622746765614,0.17650416493415833
conducted,0.13546347618103027,0.28831079602241516,0.20108221471309662,0.24828127026557922,0.31342044472694397,-0.10163187235593796,0.1105341762304306
by,0.2455483376979828,0.4752357602119446,0.2662305235862732,0.19997479021549225,0.370934396982193,0.0743151530623436,0.17966607213020325
the,0.42745697498321533,0.48711544275283813,0.3377985656261444,0.3015371859073639,0.6662389636039734,0.11294147372245789,0.22068053483963013
artsworld,0.20385941863059998,0.37462693452835083,0.42175066471099854,0.16851690411567688,0.3276021480560303,-0.002746359445154667,0.2147858589887619
tv,0.20700684189796448,0.1889979988336563,0.16209205985069275,0.20965246856212616,0.17989183962345123,-0.07118949294090271,0.20290863513946533
channel,0.20295917987823486,0.15624403953552246,0.24621275067329407,0.1578347086906433,0.210372194647789,-0.008566063828766346,0.20176179707050323
.,0.3567904531955719,0.40146201848983765,0.38850241899490356,0.2740060091018677,0.5591574311256409,-0.13838863372802734,0.4130953550338745
