,when,was,the,abc,pictures,division,eventually,dissolved,?
it,0.4775012135505676,0.4577186405658722,0.6251175999641418,0.17324577271938324,0.2905903160572052,0.2437172681093216,0.35676905512809753,0.2737042009830475,0.25732165575027466
was,0.37326499819755554,1.0000001192092896,0.48711544275283813,0.21565799415111542,0.19563059508800507,0.2174251824617386,0.35699570178985596,0.21833062171936035,0.18412111699581146
renamed,0.19344349205493927,0.36580079793930054,0.2855224609375,0.17665110528469086,0.2293178290128708,0.21000288426876068,0.2476402074098587,0.29313066601753235,0.13648955523967743
abc,0.13294127583503723,0.21565799415111542,0.2068762183189392,1.0000001192092896,0.23470810055732727,0.24142871797084808,0.1462729126214981,0.12217731028795242,0.19065172970294952
motion,0.2157837152481079,0.20849859714508057,0.30530840158462524,0.18821394443511963,0.44347551465034485,0.08147875964641571,0.1663808375597,0.15133126080036163,0.20143945515155792
pictures,0.19389167428016663,0.19563059508800507,0.2478199452161789,0.23470810055732727,0.9999998807907104,0.07497753202915192,0.16158585250377655,0.12552717328071594,0.20528490841388702
in,0.4431333839893341,0.45514053106307983,0.6662389636039734,0.1697147786617279,0.2267172932624817,0.2658538520336151,0.3575967252254486,0.2658991515636444,0.20430970191955566
1979,0.20640838146209717,0.1920030564069748,0.3323744237422943,0.140679270029068,0.04084552824497223,0.13255392014980316,0.23512455821037292,0.14236781001091003,0.09159877151250839
;,0.022927695885300636,0.0754367932677269,0.09152708947658539,-0.0012340332614257932,0.010280818678438663,0.07619553059339523,0.02210732363164425,0.05119374394416809,0.10349778085947037
the,0.5091903209686279,0.48711544275283813,1.0,0.2068762183189392,0.2478199452161789,0.26203617453575134,0.42022404074668884,0.2815038561820984,0.22068053483963013
unit,0.18762949109077454,0.16887609660625458,0.24230392277240753,0.13072368502616882,0.11557066440582275,0.2965758740901947,0.12235893309116364,0.12485300749540329,0.09069886058568954
was,0.37326499819755554,1.0000001192092896,0.48711544275283813,0.21565799415111542,0.19563059508800507,0.2174251824617386,0.35699570178985596,0.21833062171936035,0.18412111699581146
dissolved,0.3259745240211487,0.21833062171936035,0.2815038561820984,0.12217731028795242,0.12552717328071594,0.16414326429367065,0.3569954037666321,0.9999999403953552,0.10801826417446136
in,0.4431333839893341,0.45514053106307983,0.6662389636039734,0.1697147786617279,0.2267172932624817,0.2658538520336151,0.3575967252254486,0.2658991515636444,0.20430970191955566
1985,-0.00747395446524024,0.010012023150920868,0.02310241386294365,0.07137808203697205,0.04764162003993988,0.09365974366664886,0.048519156873226166,0.005543734412640333,-0.03005216084420681
.,0.475719153881073,0.40146201848983765,0.5934505462646484,0.2567209303379059,0.22817111015319824,0.27855971455574036,0.3220598101615906,0.2456464022397995,0.4130953550338745
