,who,designed,the,iron,gates,that,decorate,the,new,entrance,building,?
this,0.3345087468624115,0.24903929233551025,0.6274310946464539,0.23206570744514465,0.18404774367809296,0.6909449696540833,0.22251902520656586,0.6274310946464539,0.3234144449234009,0.20677846670150757,0.29406365752220154,0.3155723512172699
building,0.19264253973960876,0.43736663460731506,0.3159640431404114,0.22960558533668518,0.22198335826396942,0.2585349678993225,0.33164405822753906,0.3159640431404114,0.2543124556541443,0.33587223291397095,0.9999998807907104,0.13549931347370148
is,0.24293622374534607,0.18406619131565094,0.5823672413825989,0.22105827927589417,0.17137309908866882,0.3995479643344879,0.13750670850276947,0.5823672413825989,0.2208656519651413,0.23472779989242554,0.20087163150310516,0.22961433231830597
of,0.2827862501144409,0.2000347077846527,0.733189046382904,0.263920396566391,0.15723752975463867,0.41498205065727234,0.20821157097816467,0.733189046382904,0.343457967042923,0.2534947693347931,0.26200541853904724,0.1826142966747284
concrete,0.10400089621543884,0.36349257826805115,0.19700539112091064,0.35588741302490234,0.327188640832901,0.2929213345050812,0.28156498074531555,0.19700539112091064,0.18102504312992096,0.2574935555458069,0.4207484722137451,0.18976950645446777
and,0.41279885172843933,0.2359010875225067,0.5171257257461548,0.2576066851615906,0.2950623035430908,0.4731321930885315,0.25153791904449463,0.5171257257461548,0.31402453780174255,0.24038183689117432,0.2593274712562561,0.20544172823429108
very,0.34641316533088684,0.24252541363239288,0.34171217679977417,0.25499552488327026,0.12149374932050705,0.47700634598731995,0.20262686908245087,0.34171217679977417,0.15615132451057434,0.16380342841148376,0.21803906559944153,0.20864155888557434
functional,0.14357292652130127,0.23729939758777618,0.24815106391906738,0.08954021334648132,0.15029944479465485,0.30261409282684326,0.12804533541202545,0.24815106391906738,0.2503253221511841,0.14175671339035034,0.23083297908306122,0.13501502573490143
",",0.3365725874900818,0.201692596077919,0.4933079481124878,0.23416942358016968,0.2782841622829437,0.4137537479400635,0.23126046359539032,0.4933079481124878,0.36073189973831177,0.14223605394363403,0.2374238669872284,0.31091248989105225
the,0.3733934462070465,0.2559613883495331,1.0,0.27578672766685486,0.2443714737892151,0.5473989248275757,0.22611936926841736,1.0,0.3845241069793701,0.31372344493865967,0.3159640431404114,0.22068053483963013
only,0.4202229380607605,0.20703572034835815,0.5497692227363586,0.21648631989955902,0.21584953367710114,0.6004067063331604,0.17109715938568115,0.5497692227363586,0.3027914762496948,0.20122571289539337,0.1890708953142166,0.2767370045185089
embellishment,0.15248817205429077,0.21583092212677002,0.2772134244441986,0.2553460896015167,0.21857039630413055,0.30823251605033875,0.33147692680358887,0.2772134244441986,0.18958891928195953,0.25346168875694275,0.27707672119140625,0.18362782895565033
being,0.44037187099456787,0.16892004013061523,0.419739305973053,0.19152694940567017,0.1259118765592575,0.46201252937316895,0.16639141738414764,0.419739305973053,0.2248239666223526,0.21622999012470245,0.29336702823638916,0.26743772625923157
the,0.3733934462070465,0.2559613883495331,1.0,0.27578672766685486,0.2443714737892151,0.5473989248275757,0.22611936926841736,1.0,0.3845241069793701,0.31372344493865967,0.3159640431404114,0.22068053483963013
