,name,a,luxury,division,of,toyota,.
a,0.26421117782592773,1.0,0.2540847361087799,0.19939710199832916,0.5052502155303955,0.1984649896621704,0.50484299659729
decade,0.15586155652999878,0.17141307890415192,0.16675499081611633,0.16757021844387054,0.15614621341228485,0.1862584501504898,0.1714698225259781
after,0.2467648833990097,0.3831600844860077,0.11490873247385025,0.1850036084651947,0.3867455720901489,0.1790030300617218,0.35870397090911865
the,0.3171212375164032,0.5829201340675354,0.20747578144073486,0.26203617453575134,0.733189046382904,0.175506591796875,0.5934505462646484
1973,0.008451026864349842,-0.13350971043109894,-0.06978167593479156,-0.08756223320960999,-0.15240907669067383,-0.07963906228542328,-0.19761697947978973
oil,0.08018441498279572,0.18393073976039886,0.2712852954864502,0.11662276089191437,0.22900764644145966,0.21934197843074799,0.22117017209529877
crisis,0.07950584590435028,0.1976640820503235,0.20154669880867004,0.14446373283863068,0.2267792969942093,0.13601303100585938,0.15965543687343597
",",0.28145334124565125,0.427140474319458,0.19004124402999878,0.24344468116760254,0.4946078956127167,0.21259759366512299,0.6812511086463928
honda,0.1116112694144249,0.22504787147045135,0.3026052415370941,0.17321176826953888,0.134624183177948,0.6189213991165161,0.2060852199792862
",",0.28145334124565125,0.427140474319458,0.19004124402999878,0.24344468116760254,0.4946078956127167,0.21259759366512299,0.6812511086463928
toyota,0.18980596959590912,0.1984649896621704,0.3516353964805603,0.23601846396923065,0.1666925847530365,1.0,0.2003622055053711
and,0.21235932409763336,0.3739250600337982,0.2596641480922699,0.23460866510868073,0.5116966962814331,0.14685073494911194,0.588965117931366
nissan,0.11435189843177795,0.21595333516597748,0.32533445954322815,0.29771894216537476,0.17497491836547852,0.5362215042114258,0.2663133442401886
",",0.28145334124565125,0.427140474319458,0.19004124402999878,0.24344468116760254,0.4946078956127167,0.21259759366512299,0.6812511086463928
affected,0.11371654272079468,0.22631970047950745,0.10407740622758865,0.11475315690040588,0.3409542441368103,0.05952132120728493,0.30342021584510803
by,0.25480157136917114,0.32094135880470276,0.14062076807022095,0.18997035920619965,0.3646814823150635,0.1600928157567978,0.3936232924461365
the,0.3171212375164032,0.5829201340675354,0.20747578144073486,0.26203617453575134,0.733189046382904,0.175506591796875,0.5934505462646484
1981,0.0927995964884758,0.000713431159965694,0.05870061740279198,0.10712878406047821,0.01745067909359932,0.11664381623268127,0.08660200238227844
voluntary,0.08036863058805466,0.21770241856575012,0.1856706738471985,0.145612895488739,0.2599280774593353,0.06692645698785782,0.16229751706123352
export,0.09980698674917221,0.15552373230457306,0.26682448387145996,0.14534229040145874,0.19053134322166443,0.29513677954673767,0.2174602597951889
restraints,0.06354301422834396,0.19638685882091522,0.22759650647640228,0.07555538415908813,0.229396253824234,0.14129739999771118,0.18610525131225586
",",0.28145334124565125,0.427140474319458,0.19004124402999878,0.24344468116760254,0.4946078956127167,0.21259759366512299,0.6812511086463928
opened,0.17870084941387177,0.20146222412586212,0.1717580258846283,0.12217528373003006,0.16720551252365112,0.15907122194766998,0.26111578941345215
us,0.101854108273983,0.1862444281578064,0.18369042873382568,0.1823623925447464,0.23568789660930634,0.23584264516830444,0.3162994682788849
assembly,0.11183072626590729,0.21305732429027557,0.1284169703722,0.22793380916118622,0.2946469783782959,0.23478570580482483,0.21666362881660461
plants,0.1632842868566513,0.21329157054424286,0.20087242126464844,0.19099080562591553,0.29386165738105774,0.22274993360042572,0.2542511522769928
and,0.21235932409763336,0.3739250600337982,0.2596641480922699,0.23460866510868073,0.5116966962814331,0.14685073494911194,0.588965117931366
established,0.1540020853281021,0.23500119149684906,0.09549267590045929,0.2066311538219452,0.2735237777233124,0.1951604038476944,0.23771190643310547
their,0.18092210590839386,0.29698723554611206,0.19847403466701508,0.16885758936405182,0.4329940676689148,0.09599021077156067,0.34427863359451294
luxury,0.12429530918598175,0.2540847361087799,0.9999999403953552,0.16799889504909515,0.16530226171016693,0.3516353964805603,0.18736079335212708
divisions,0.15136577188968658,0.2018592804670334,0.12644055485725403,0.8454943895339966,0.3138268291950226,0.1740521341562271,0.3021276295185089
(,0.2706909477710724,0.3206180930137634,0.10571370273828506,0.2016449272632599,0.35032153129577637,0.12960021197795868,0.5072786808013916
acura,0.19022318720817566,0.1917092651128769,0.25128719210624695,0.2266310155391693,0.2635969817638397,0.3252622187137604,0.20320969820022583
",",0.28145334124565125,0.427140474319458,0.19004124402999878,0.24344468116760254,0.4946078956127167,0.21259759366512299,0.6812511086463928
lexus,0.16499561071395874,0.19841046631336212,0.22025823593139648,0.18669770658016205,0.15038076043128967,0.38900041580200195,0.17717410624027252
and,0.21235932409763336,0.3739250600337982,0.2596641480922699,0.23460866510868073,0.5116966962814331,0.14685073494911194,0.588965117931366
infiniti,0.18472133576869965,0.21535341441631317,0.2565574645996094,0.19035005569458008,0.2155233919620514,0.24937130510807037,0.18148641288280487
",",0.28145334124565125,0.427140474319458,0.19004124402999878,0.24344468116760254,0.4946078956127167,0.21259759366512299,0.6812511086463928
respectively,0.1972655951976776,0.18261326849460602,0.14815782010555267,0.18237575888633728,0.25484955310821533,0.16456574201583862,0.32321107387542725
),0.2638341188430786,0.3640355169773102,0.12872958183288574,0.20391593873500824,0.3680361211299896,0.1379135698080063,0.5363735556602478
to,0.27806994318962097,0.45503583550453186,0.21244941651821136,0.20332986116409302,0.41548454761505127,0.1899162381887436,0.4645031690597534
distinguish,0.18968847393989563,0.25449153780937195,0.10107831656932831,0.08705703169107437,0.2740761637687683,0.08974159508943558,0.21135340631008148
themselves,0.15265773236751556,0.19371497631072998,0.1525774449110031,0.09609676897525787,0.2638634443283081,0.05829089507460594,0.20394743978977203
from,0.2635002136230469,0.322764128446579,0.11598367244005203,0.15398767590522766,0.4249346852302551,0.20516078174114227,0.41536515951156616
their,0.18092210590839386,0.29698723554611206,0.19847403466701508,0.16885758936405182,0.4329940676689148,0.09599021077156067,0.34427863359451294
