,what,was,used,to,accelerate,the,tungsten,pellets,?
his,0.26976513862609863,0.4405253231525421,0.20492680370807648,0.3715193271636963,0.15054762363433838,0.4394008219242096,0.13286080956459045,0.15769526362419128,0.18075084686279297
records,0.17999422550201416,0.23035451769828796,0.1476409137248993,0.1657545268535614,0.1131649985909462,0.23809710144996643,0.07611442357301712,0.10537207871675491,0.12384546548128128
indicate,0.24538113176822662,0.1569703370332718,0.29959404468536377,0.28129613399505615,0.3055764138698578,0.2430160641670227,0.21820712089538574,0.11711740493774414,0.23544088006019592
that,0.6297725439071655,0.33670201897621155,0.37621384859085083,0.5436353087425232,0.29653260111808777,0.5473989248275757,0.24507533013820648,0.2558326721191406,0.32716336846351624
the,0.42745697498321533,0.48711544275283813,0.3718377649784088,0.535392165184021,0.23939219117164612,1.0,0.2307133823633194,0.24087105691432953,0.22068053483963013
device,0.2484142780303955,0.18397735059261322,0.4021059274673462,0.2965817153453827,0.37480002641677856,0.2555081248283386,0.3356117308139801,0.33651822805404663,0.09819377958774567
is,0.28837618231773376,0.5810302495956421,0.3288823366165161,0.42745086550712585,0.18092221021652222,0.5823672413825989,0.26635631918907166,0.26972612738609314,0.22961433231830597
based,0.274813175201416,0.2870393395423889,0.3212050795555115,0.19629007577896118,0.1263589709997177,0.29860720038414,0.16616293787956238,0.10540314018726349,0.134929820895195
on,0.34226128458976746,0.3909217119216919,0.24785758554935455,0.41031414270401,0.1770653873682022,0.5107308030128479,0.1773790717124939,0.19249722361564636,0.2714994251728058
a,0.3320399522781372,0.4508470594882965,0.3864384889602661,0.45503583550453186,0.1857694834470749,0.5829201340675354,0.26268917322158813,0.3294554650783539,0.23916715383529663
narrow,0.21173065900802612,0.129268616437912,0.26266372203826904,0.2536180913448334,0.21172966063022614,0.3104094862937927,0.3138154447078705,0.19366782903671265,0.1023377925157547
stream,0.15652818977832794,0.11494481563568115,0.22907164692878723,0.2466391623020172,0.2798219323158264,0.2507912814617157,0.26060840487480164,0.15468758344650269,0.11238504201173782
of,0.33290785551071167,0.4069072902202606,0.3075267970561981,0.41548454761505127,0.22214916348457336,0.733189046382904,0.1991235911846161,0.20625127851963043,0.1826142966747284
small,0.2504110634326935,0.16572418808937073,0.28543534874916077,0.3054737150669098,0.19867821037769318,0.39655908942222595,0.2753836512565613,0.2998603582382202,0.13914890587329865
tungsten,0.17547520995140076,0.13010424375534058,0.33967167139053345,0.18499627709388733,0.4177345931529999,0.2307133823633194,0.9999998807907104,0.3817903995513916,0.11468294262886047
pellets,0.110909104347229,0.13041941821575165,0.349336713552475,0.2555795907974243,0.24561096727848053,0.24087105691432953,0.3817903995513916,0.9999999403953552,0.16517013311386108
that,0.6297725439071655,0.33670201897621155,0.37621384859085083,0.5436353087425232,0.29653260111808777,0.5473989248275757,0.24507533013820648,0.2558326721191406,0.32716336846351624
are,0.29724663496017456,0.3076191842556,0.3322218656539917,0.3504326641559601,0.21999424695968628,0.40399202704429626,0.27952584624290466,0.2877957820892334,0.24591213464736938
accelerated,0.2256019562482834,0.2177998125553131,0.25535091757774353,0.22047658264636993,0.9341075420379639,0.24464751780033112,0.4072590172290802,0.20563681423664093,0.12856028974056244
via,0.16736915707588196,0.1762484461069107,0.1909816414117813,0.27847176790237427,0.214545339345932,0.23979412019252777,0.1144489198923111,0.05850375071167946,0.19443516433238983
high,0.20466077327728271,0.19978567957878113,0.2048027515411377,0.28947713971138,0.2829606235027313,0.28034812211990356,0.23248310387134552,0.12254773080348969,0.11137914657592773
voltage,0.21734528243541718,0.17078977823257446,0.24009020626544952,0.25412678718566895,0.46631115674972534,0.22843067348003387,0.42368564009666443,0.22570133209228516,0.16769391298294067
(,0.2411840260028839,0.2980341613292694,0.19005385041236877,0.30882009863853455,0.1559651494026184,0.33289089798927307,0.18243408203125,0.169943705201149,0.40561532974243164
by,0.2455483376979828,0.4752357602119446,0.27705541253089905,0.33534231781959534,0.17563079297542572,0.4408751428127289,0.23637616634368896,0.19939905405044556,0.17966607213020325
means,0.2553325295448303,0.20094269514083862,0.3492375612258911,0.2301892638206482,0.1964331567287445,0.32225894927978516,0.2918696105480194,0.14830408990383148,0.21233566105365753
akin,0.29544252157211304,0.15294590592384338,0.1315755397081375,0.21155697107315063,0.1289830058813095,0.19404323399066925,0.17605088651180267,0.1377279907464981,0.25172919034957886
to,0.455847829580307,0.3636345863342285,0.40058770775794983,1.0,0.2899765968322754,0.535392165184021,0.18499627709388733,0.2555795907974243,0.29463258385658264
his,0.26976513862609863,0.4405253231525421,0.20492680370807648,0.3715193271636963,0.15054762363433838,0.4394008219242096,0.13286080956459045,0.15769526362419128,0.18075084686279297
magnifying,0.2841658294200897,0.1478363424539566,0.2906621992588043,0.20920361578464508,0.2942286431789398,0.27377721667289734,0.2789926528930664,0.24324829876422882,0.2310979813337326
transformer,0.16914811730384827,0.18196414411067963,0.2320469319820404,0.18850870430469513,0.30727607011795044,0.23115745186805725,0.261140376329422,0.21356353163719177,0.10542736202478409
),0.26259949803352356,0.3267642855644226,0.1905621439218521,0.31236231327056885,0.16573940217494965,0.3456730246543884,0.18766359984874725,0.16620944440364838,0.42300865054130554
.,0.3567904531955719,0.40146201848983765,0.33111312985420227,0.4645031690597534,0.21366451680660248,0.5934505462646484,0.2922568619251251,0.29177603125572205,0.4130953550338745
