,how,many,avulsions,have,occurred,in,the,past,6000,yeas,?
over,0.31446483731269836,0.47131630778312683,0.3118807375431061,0.41283175349235535,0.2765261232852936,0.3605569899082184,0.39856547117233276,0.4169456362724304,-0.15196774899959564,0.1972559541463852,0.25742942094802856
the,0.33890387415885925,0.4335206151008606,0.2788151502609253,0.40389683842658997,0.3372073173522949,0.6662389636039734,1.0,0.2747827172279358,-0.015774738043546677,0.2287655621767044,0.22068053483963013
past,0.38227924704551697,0.4130312204360962,0.30301252007484436,0.4853634536266327,0.3176780939102173,0.24275542795658112,0.2747827172279358,0.9999999403953552,-0.10822062939405441,0.15110516548156738,0.2598046660423279
6000,-0.08042212575674057,-0.060008492320775986,-0.09205761551856995,-0.11591171473264694,-0.21356233954429626,-0.030085144564509392,-0.015774738043546677,-0.10822062939405441,1.0000001192092896,-0.017110588029026985,-0.057236284017562866
years,0.21949264407157898,0.2731519937515259,0.2617727220058441,0.31441381573677063,0.2884273827075958,0.33554986119270325,0.2912273406982422,0.32923611998558044,-0.036776624619960785,0.28013938665390015,0.1914375126361847
",",0.22659391164779663,0.40610817074775696,0.31228402256965637,0.3541618287563324,0.28958946466445923,0.5201468467712402,0.4933079481124878,0.25483980774879456,0.007873233407735825,0.27731114625930786,0.31091248989105225
approximately,0.17167454957962036,0.2855706214904785,0.2109711617231369,0.2647372782230377,0.29432645440101624,0.3145860731601715,0.33137547969818115,0.23771271109580994,-0.18795853853225708,0.13324542343616486,0.10237617790699005
80,0.07793577015399933,-0.0329921618103981,0.24078971147537231,0.1846046894788742,0.08556826412677765,-0.03062376379966736,0.003630283521488309,0.05504421889781952,-0.18789371848106384,0.11527975648641586,0.04445207491517067
avulsions,0.28561294078826904,0.35115599632263184,0.9999998807907104,0.3917236328125,0.2907634675502777,0.2629280388355255,0.2788151502609253,0.30301252007484436,-0.09205761551856995,0.3847593665122986,0.26694977283477783
have,0.4370637536048889,0.5841760635375977,0.3917236328125,0.9999999403953552,0.2891860902309418,0.36843645572662354,0.40389683842658997,0.4853634536266327,-0.11591171473264694,0.1987183392047882,0.32991164922714233
occurred,0.11476008594036102,0.24568422138690948,0.2907634675502777,0.2891860902309418,1.0000001192092896,0.3479720652103424,0.3372073173522949,0.3176780939102173,-0.21356233954429626,0.1088266521692276,0.15880417823791504
.,0.3287222981452942,0.3974229395389557,0.3063793182373047,0.41614407300949097,0.2029680609703064,0.5591574311256409,0.5934505462646484,0.2363625168800354,-0.009233606979250908,0.2650921046733856,0.4130953550338745
