,why,did,westinghouse,not,secure,a,patent,for,a,similar,motor,?
westinghouse,0.1544857919216156,0.1608617752790451,0.9999999403953552,0.16192668676376343,0.22157326340675354,0.25513118505477905,0.3248586356639862,0.25690075755119324,0.25513118505477905,0.2018531709909439,0.3054238557815552,0.17307911813259125
looked,0.3577634394168854,0.42145395278930664,0.11653554439544678,0.3541550040245056,0.1507466733455658,0.2962821125984192,0.12855447828769684,0.2522982060909271,0.2962821125984192,0.3474116325378418,0.04958139732480049,0.2506680488586426
into,0.2580989897251129,0.14888085424900055,0.15075145661830902,0.2764923572540283,0.10628391057252884,0.3461161255836487,0.12838025391101837,0.231735959649086,0.3461161255836487,0.22620125114917755,0.17184153199195862,0.15662476420402527
getting,0.3940083682537079,0.2899051010608673,0.12488067150115967,0.3544382154941559,0.2816316485404968,0.2823704481124878,0.14821644127368927,0.34310558438301086,0.2823704481124878,0.1695055067539215,0.1476072072982788,0.28468504548072815
a,0.2667238116264343,0.2552328109741211,0.25513118505477905,0.3791346549987793,0.2279835194349289,1.0,0.23810072243213654,0.44038116931915283,1.0,0.34790337085723877,0.23198452591896057,0.23916715383529663
patent,0.18278877437114716,0.17086273431777954,0.3248586356639862,0.23110675811767578,0.21193476021289825,0.23810072243213654,0.9999999403953552,0.23913012444972992,0.23810072243213654,0.20423604547977448,0.24921424686908722,0.13298413157463074
on,0.2698206305503845,0.2670976221561432,0.23386307060718536,0.3516409695148468,0.196397066116333,0.3848365545272827,0.1608467400074005,0.36199691891670227,0.3848365545272827,0.23418132960796356,0.19297735393047333,0.2714994251728058
a,0.2667238116264343,0.2552328109741211,0.25513118505477905,0.3791346549987793,0.2279835194349289,1.0,0.23810072243213654,0.44038116931915283,1.0,0.34790337085723877,0.23198452591896057,0.23916715383529663
similar,0.2182219922542572,0.29411372542381287,0.2018531709909439,0.3075036108493805,0.15165427327156067,0.34790337085723877,0.20423604547977448,0.2594558596611023,0.34790337085723877,0.9999999403953552,0.17980410158634186,0.23309361934661865
commutator-less,0.2572510540485382,0.15268979966640472,0.21751172840595245,0.33105286955833435,0.24416989088058472,0.3115437626838684,0.17392723262310028,0.22626841068267822,0.3115437626838684,0.25788798928260803,0.27043798565864563,0.1853102594614029
",",0.2827242314815521,0.3015086054801941,0.277236670255661,0.3769696354866028,0.14117449522018433,0.427140474319458,0.20812061429023743,0.4464869201183319,0.427140474319458,0.29403579235076904,0.16592276096343994,0.31091248989105225
rotating,0.2426234632730484,0.12492615729570389,0.21519841253757477,0.20567762851715088,0.10930120944976807,0.33244970440864563,0.28688451647758484,0.21533049643039703,0.33244970440864563,0.30950966477394104,0.35701054334640503,0.08289054036140442
magnetic,0.23712268471717834,0.14488396048545837,0.2930092215538025,0.20763549208641052,0.1715380847454071,0.19198331236839294,0.2247755378484726,0.21505120396614075,0.19198331236839294,0.2259046733379364,0.25686129927635193,0.10858146101236343
