,which,nasa,faction,came,around,first,to,support,the,lor,?
in,0.4840516746044159,0.15705716609954834,0.2360931783914566,0.29996100068092346,0.41294145584106445,0.4127444326877594,0.45010748505592346,0.17618270218372345,0.6662389636039734,0.20042209327220917,0.20430970191955566
late,0.2546604573726654,0.15502366423606873,0.16134798526763916,0.3991497755050659,0.28445860743522644,0.37285134196281433,0.25809016823768616,0.18875254690647125,0.31481194496154785,0.06535179913043976,0.11339222639799118
1961,0.061489176005125046,0.0773177444934845,0.06808561086654663,0.1119714081287384,0.1423799693584442,0.0450047142803669,0.07620730251073837,0.01935182698071003,0.0738944262266159,0.02945992909371853,0.009729373268783092
and,0.506277859210968,0.12810774147510529,0.20411327481269836,0.3049735128879547,0.34341543912887573,0.3167642652988434,0.48971283435821533,0.25609129667282104,0.5171257257461548,0.14365898072719574,0.20544172823429108
early,0.29240089654922485,0.17464278638362885,0.1598406881093979,0.43774276971817017,0.307559072971344,0.4007106125354767,0.24557004868984222,0.20125344395637512,0.34442198276519775,0.05427682399749756,0.15272949635982513
1962,-0.00023798574693500996,0.0048394580371677876,0.03681749105453491,0.028368771076202393,-0.0373690202832222,-0.12709982693195343,-0.048656053841114044,0.035506196320056915,-0.023296929895877838,-0.027204252779483795,-0.008269774727523327
",",0.3658004403114319,0.18665438890457153,0.1817258894443512,0.3049119710922241,0.3298884332180023,0.34503069519996643,0.44245919585227966,0.2733234167098999,0.4933079481124878,0.23221434652805328,0.31091248989105225
members,0.295350044965744,0.07791035622358322,0.38421475887298584,0.18150632083415985,0.17423361539840698,0.1530320644378662,0.26617446541786194,0.21593770384788513,0.3321719169616699,0.08850546181201935,0.10212311148643494
of,0.5011631846427917,0.17935146391391754,0.2723849415779114,0.3201526999473572,0.3296394646167755,0.3536086082458496,0.41548454761505127,0.2307697981595993,0.733189046382904,0.10741402953863144,0.1826142966747284
the,0.6521818041801453,0.19786997139453888,0.3095810115337372,0.39390382170677185,0.40085816383361816,0.49448907375335693,0.535392165184021,0.22984638810157776,1.0,0.19965508580207825,0.22068053483963013
manned,0.21115973591804504,0.43264830112457275,0.14499850571155548,0.1752842366695404,0.25476551055908203,0.3325497806072235,0.21649380028247833,0.1603788286447525,0.2392944097518921,0.10140912234783173,0.17514055967330933
spacecraft,0.19304737448692322,0.6415037512779236,0.08170896768569946,0.1463763266801834,0.28818583488464355,0.26950958371162415,0.25703316926956177,0.1441671997308731,0.21476294100284576,0.14641714096069336,0.17708687484264374
center,0.22164148092269897,0.2250218689441681,0.1436760425567627,0.13080379366874695,0.2747567594051361,0.1797400861978531,0.17764393985271454,0.17549677193164825,0.29064592719078064,0.16863223910331726,0.12538520991802216
began,0.15610557794570923,0.16119016706943512,0.1486322283744812,0.47084155678749084,0.2828631103038788,0.3549816310405731,0.2731419503688812,0.16580265760421753,0.3059147596359253,0.02795925922691822,0.1370266228914261
