,cities,that,anchor,the,regions,are,often,the,hub,for,what,kind,of,activity,?
southern,0.23386754095554352,0.22864879667758942,0.09156861901283264,0.3282862603664398,0.3461337983608246,0.18306338787078857,0.21154865622520447,0.3282862603664398,0.23765365779399872,0.14496514201164246,0.18679563701152802,0.12290651351213455,0.31933003664016724,0.1184757649898529,0.11225555837154388
california,0.10079557448625565,0.18610765039920807,0.18322962522506714,0.2750805914402008,0.14872722327709198,0.17678135633468628,0.18361137807369232,0.2750805914402008,0.13097116351127625,0.23038740456104279,0.1811584085226059,0.14210517704486847,0.24929828941822052,0.12116052210330963,0.1409905105829239
is,0.21770904958248138,0.3995479643344879,0.1970375031232834,0.5823672413825989,0.28507089614868164,0.5330929756164551,0.3856629431247711,0.5823672413825989,0.2527933716773987,0.43268078565597534,0.28837618231773376,0.3292753994464874,0.4854315221309662,0.26035502552986145,0.22961433231830597
divided,0.19329403340816498,0.23581433296203613,0.11247636377811432,0.34601110219955444,0.38273245096206665,0.2984093725681305,0.23013363778591156,0.34601110219955444,0.22764600813388824,0.1359763741493225,0.2138991504907608,0.11056923866271973,0.37450557947158813,0.19028742611408234,0.10190024226903915
culturally,0.26244479417800903,0.30032145977020264,0.11233092099428177,0.2812896966934204,0.39942479133605957,0.31316691637039185,0.32266688346862793,0.2812896966934204,0.21152043342590332,0.2411506474018097,0.25300973653793335,0.1396971195936203,0.24142678081989288,0.28834065794944763,0.13023632764816284
",",0.31927579641342163,0.4137537479400635,0.22460860013961792,0.4933079481124878,0.26776278018951416,0.4062570035457611,0.24139221012592316,0.4933079481124878,0.21143218874931335,0.4464869201183319,0.3087472915649414,0.20629581809043884,0.4946078956127167,0.21559643745422363,0.31091248989105225
politically,0.23964525759220123,0.26364362239837646,0.19073571264743805,0.2379349023103714,0.2456333190202713,0.2581723630428314,0.298060804605484,0.2379349023103714,0.16254203021526337,0.22294345498085022,0.1967483013868332,0.11580625176429749,0.21152378618717194,0.22891192138195038,0.14733245968818665
",",0.31927579641342163,0.4137537479400635,0.22460860013961792,0.4933079481124878,0.26776278018951416,0.4062570035457611,0.24139221012592316,0.4933079481124878,0.21143218874931335,0.4464869201183319,0.3087472915649414,0.20629581809043884,0.4946078956127167,0.21559643745422363,0.31091248989105225
and,0.292957067489624,0.4731321930885315,0.1994468867778778,0.5171257257461548,0.30318012833595276,0.48576638102531433,0.42465832829475403,0.5171257257461548,0.20456193387508392,0.5064792633056641,0.31309178471565247,0.22462370991706848,0.5116966962814331,0.21878264844417572,0.20544172823429108
economically,0.2777937352657318,0.3204072415828705,0.14831529557704926,0.30036741495132446,0.3442029058933258,0.35833004117012024,0.38952764868736267,0.30036741495132446,0.26580679416656494,0.2160194218158722,0.23679961264133453,0.1802385151386261,0.2826400101184845,0.3525609076023102,0.09716098010540009
into,0.17888465523719788,0.3239944875240326,0.0971178486943245,0.39493247866630554,0.32128283381462097,0.2930682599544525,0.24061019718647003,0.39493247866630554,0.19986167550086975,0.231735959649086,0.2180619090795517,0.20515212416648865,0.32255905866622925,0.21281671524047852,0.15662476420402527
distinctive,0.03975777328014374,0.298337459564209,0.15871919691562653,0.2618619501590729,0.3043803870677948,0.3301008343696594,0.39271047711372375,0.2618619501590729,0.17272011935710907,0.24962949752807617,0.25436970591545105,0.37425997853279114,0.28103455901145935,0.2109680324792862,0.07970129698514938
regions,0.4261610805988312,0.22637471556663513,0.04264618456363678,0.36158451437950134,1.0,0.3568890690803528,0.24772430956363678,0.36158451437950134,0.22384832799434662,0.1788649559020996,0.22129066288471222,0.2296396940946579,0.3694140613079071,0.2595595419406891,0.11608363687992096
",",0.31927579641342163,0.4137537479400635,0.22460860013961792,0.4933079481124878,0.26776278018951416,0.4062570035457611,0.24139221012592316,0.4933079481124878,0.21143218874931335,0.4464869201183319,0.3087472915649414,0.20629581809043884,0.4946078956127167,0.21559643745422363,0.31091248989105225
each,0.17861276865005493,0.46111494302749634,0.14208969473838806,0.470844566822052,0.27659276127815247,0.39730963110923767,0.42272287607192993,0.470844566822052,0.17368586361408234,0.3044290542602539,0.3353266417980194,0.23845946788787842,0.38460010290145874,0.2576627731323242,0.21173812448978424
containing,0.14246170222759247,0.27603548765182495,0.14546579122543335,0.268460214138031,0.19036799669265747,0.4119071066379547,0.29712608456611633,0.268460214138031,0.16641870141029358,0.30464085936546326,0.10250329971313477,0.21049514412879944,0.3227089047431946,0.1477244645357132,0.1655367761850357
its,0.2535979151725769,0.416561484336853,0.20364241302013397,0.559237003326416,0.30293142795562744,0.30942749977111816,0.286950945854187,0.559237003326416,0.31638669967651367,0.2992613911628723,0.30393704771995544,0.17957401275634766,0.48690423369407654,0.29255807399749756,0.15103481709957123
