,who,did,john,elway,play,for,in,super,bowl,xxxiii,?
the,0.3733934462070465,0.34736719727516174,0.2230520099401474,0.2985321283340454,0.24793598055839539,0.4739971458911896,0.6662389636039734,0.21959073841571808,0.21576224267482758,0.3131234347820282,0.22068053483963013
past,0.3421076834201813,0.23777562379837036,0.1335068941116333,0.2355150729417801,0.12316795438528061,0.3203027844429016,0.24275542795658112,0.15902681648731232,0.17576618492603302,0.16145405173301697,0.2598046660423279
record,0.24139603972434998,0.20556741952896118,0.22190625965595245,0.2513806223869324,0.20520026981830597,0.24185582995414734,0.23162534832954407,0.2505435347557068,0.24389338493347168,0.2655649185180664,0.14407116174697876
was,0.3318818509578705,0.41399896144866943,0.2875721752643585,0.24907957017421722,0.23784595727920532,0.3863949179649353,0.45514053106307983,0.21420986950397491,0.21915455162525177,0.2836242914199829,0.18412111699581146
held,0.21375896036624908,0.18607917428016663,0.14682316780090332,0.16974188387393951,0.15105700492858887,0.2495253086090088,0.3127288818359375,0.1602509617805481,0.1913566142320633,0.25991690158843994,0.14103956520557404
by,0.39727845788002014,0.18574509024620056,0.2502059042453766,0.19525057077407837,0.20151817798614502,0.3248702883720398,0.370934396982193,0.15233319997787476,0.12992306053638458,0.20287960767745972,0.17966607213020325
john,0.30388808250427246,0.18785913288593292,1.0000001192092896,0.3617522716522217,0.18351593613624573,0.22649751603603363,0.22177861630916595,0.1567493975162506,0.19344750046730042,0.2142796516418457,0.13162356615066528
elway,0.30533918738365173,0.19734835624694824,0.3617522716522217,1.0000001192092896,0.32164624333381653,0.27748486399650574,0.2640700042247772,0.2389257848262787,0.3023669123649597,0.32840511202812195,0.2248448133468628
",",0.3365725874900818,0.3015086054801941,0.23961079120635986,0.3350414037704468,0.2231253683567047,0.4464869201183319,0.5201468467712402,0.22322475910186768,0.1810409277677536,0.28180480003356934,0.31091248989105225
who,0.9999998807907104,0.34038686752319336,0.30388808250427246,0.30533918738365173,0.2742305099964142,0.37110671401023865,0.2792111933231354,0.1819351613521576,0.09189514070749283,0.1448201686143875,0.26220351457595825
led,0.2450801581144333,0.3213953971862793,0.19885379076004028,0.19570133090019226,0.10894020646810532,0.2628403306007385,0.2990247309207916,0.12589675188064575,0.16275393962860107,0.19710756838321686,0.09273858368396759
the,0.3733934462070465,0.34736719727516174,0.2230520099401474,0.2985321283340454,0.24793598055839539,0.4739971458911896,0.6662389636039734,0.21959073841571808,0.21576224267482758,0.3131234347820282,0.22068053483963013
broncos,0.1763724684715271,0.1738176792860031,0.2301175743341446,0.47580254077911377,0.3148726522922516,0.2739109396934509,0.20316283404827118,0.36141330003738403,0.4351775348186493,0.46111395955085754,0.18377114832401276
to,0.42656609416007996,0.4452643394470215,0.2070634365081787,0.2782730460166931,0.272149920463562,0.4451248347759247,0.45010748505592346,0.17783479392528534,0.16993016004562378,0.22661873698234558,0.29463258385658264
victory,0.18512490391731262,0.18024887144565582,0.2299397885799408,0.2031494528055191,0.19793079793453217,0.2551555335521698,0.21562302112579346,0.2620534598827362,0.25666385889053345,0.2753390073776245,0.15412560105323792
in,0.2792111933231354,0.2593238651752472,0.22177861630916595,0.2640700042247772,0.24321173131465912,0.4322226941585541,1.0,0.18576006591320038,0.17236235737800598,0.23179616034030914,0.20430970191955566
super,0.1819351613521576,0.16038043797016144,0.1567493975162506,0.2389257848262787,0.17709366977214813,0.22938419878482819,0.18576006591320038,1.0000001192092896,0.4848237931728363,0.521435022354126,0.166326642036438
bowl,0.09189514070749283,0.18569406867027283,0.19344750046730042,0.3023669123649597,0.19427603483200073,0.24430087208747864,0.17236235737800598,0.4848237931728363,1.0,0.5332549810409546,0.21118052303791046
xxxiii,0.1448201686143875,0.1696920543909073,0.2142796516418457,0.32840511202812195,0.21393346786499023,0.24195198714733124,0.23179616034030914,0.521435022354126,0.5332549810409546,1.0,0.19756333529949188
