,who,said,chloroplasts,are,similar,to,cyanobacteria,?
this,0.3345087468624115,0.36600369215011597,0.32268521189689636,0.35762670636177063,0.40636423230171204,0.5759071707725525,0.3454827666282654,0.3155723512172699
origin,0.12741360068321228,0.08275201171636581,0.23827481269836426,0.19181038439273834,0.24635173380374908,0.17114397883415222,0.23144148290157318,0.12716172635555267
of,0.2827862501144409,0.29014745354652405,0.23179760575294495,0.39081433415412903,0.2911645472049713,0.41548454761505127,0.2361430525779724,0.1826142966747284
chloroplasts,0.1794654279947281,0.13433495163917542,0.9999999403953552,0.3103833794593811,0.2460697889328003,0.23370109498500824,0.7097216844558716,0.13049766421318054
was,0.3318818509578705,0.43711766600608826,0.1579415500164032,0.3076191842556,0.20839861035346985,0.3636345863342285,0.19797080755233765,0.18412111699581146
first,0.39065709710121155,0.25976017117500305,0.23442697525024414,0.20306691527366638,0.2847648859024048,0.3792489171028137,0.20673415064811707,0.18701928853988647
suggested,0.2721969485282898,0.5224545001983643,0.266713947057724,0.1787148118019104,0.38646218180656433,0.32327648997306824,0.3087708353996277,0.2549840807914734
by,0.39727845788002014,0.29746580123901367,0.1951972097158432,0.37842893600463867,0.28307145833969116,0.33534231781959534,0.18822550773620605,0.17966607213020325
the,0.3733934462070465,0.3024602234363556,0.23062430322170258,0.40399202704429626,0.2963123023509979,0.535392165184021,0.23102529346942902,0.22068053483963013
russian,0.24501226842403412,0.15170341730117798,0.20390905439853668,0.140992671251297,0.1481667011976242,0.14755593240261078,0.15028737485408783,0.12951652705669403
biologist,0.28814423084259033,0.16255152225494385,0.2958817183971405,0.12809473276138306,0.14835087954998016,0.139764666557312,0.34244903922080994,0.176077201962471
konstantin,0.24549494683742523,0.14861801266670227,0.23530510067939758,0.03060680255293846,0.04662467911839485,0.1604173183441162,0.14413706958293915,0.10035119205713272
mereschkowski,0.21888887882232666,0.2706640958786011,0.23021596670150757,0.11348267644643784,0.19610051810741425,0.20381924510002136,0.20770642161369324,0.24179978668689728
in,0.2792111933231354,0.23461468517780304,0.21141497790813446,0.3841303884983063,0.28091391921043396,0.45010748505592346,0.22955600917339325,0.20430970191955566
1905,0.19621612131595612,0.06016348674893379,0.0036748957354575396,0.07252444326877594,0.10232215374708176,0.12683162093162537,0.07899196445941925,0.1770307421684265
after,0.32549580931663513,0.2977093756198883,0.1769162118434906,0.19438853859901428,0.17379364371299744,0.37890323996543884,0.1796550452709198,0.16608688235282898
andreas,0.24885298311710358,0.23251552879810333,0.12351152300834656,0.09960995614528656,0.09324037283658981,0.14149633049964905,0.041849490255117416,0.06663193553686142
schimper,0.2993585169315338,0.24257434904575348,0.23184160888195038,0.20560339093208313,0.16351467370986938,0.25717440247535706,0.2078346461057663,0.24383647739887238
observed,0.1345454603433609,0.22647003829479218,0.32316407561302185,0.2320006936788559,0.25699764490127563,0.1710500717163086,0.29919302463531494,0.12128034234046936
in,0.2792111933231354,0.23461468517780304,0.21141497790813446,0.3841303884983063,0.28091391921043396,0.45010748505592346,0.22955600917339325,0.20430970191955566
1883,0.029748564586043358,-0.06158983334898949,0.05783183500170708,0.007825457490980625,0.04070105776190758,-0.0577009953558445,0.043704740703105927,0.05876028537750244
that,0.45444270968437195,0.5459781289100647,0.3177454173564911,0.45265161991119385,0.4232555329799652,0.5436353087425232,0.3360731899738312,0.32716336846351624
chloroplasts,0.1794654279947281,0.13433495163917542,0.9999999403953552,0.3103833794593811,0.2460697889328003,0.23370109498500824,0.7097216844558716,0.13049766421318054
closely,0.20456218719482422,0.20504601299762726,0.283425509929657,0.35757535696029663,0.4616392254829407,0.34768539667129517,0.29985693097114563,0.08341413736343384
resemble,0.19181978702545166,0.2153148055076599,0.28332072496414185,0.3527396321296692,0.44230860471725464,0.24356834590435028,0.3600146174430847,0.09784040600061417
cyanobacteria,0.16865496337413788,0.13256072998046875,0.7097216844558716,0.3043197691440582,0.2721235752105713,0.23948733508586884,1.0,0.2106003761291504
.,0.3541337847709656,0.33782967925071716,0.23868323862552643,0.3452940285205841,0.306670606136322,0.4645031690597534,0.2696060240268707,0.4130953550338745
