,in,the,layered,model,of,the,earth,there,are,seismic,discontinuities,in,which,layer,?
these,0.3791837692260742,0.49086877703666687,0.2990134060382843,0.12957298755645752,0.42684608697891235,0.49086877703666687,0.23144929111003876,0.5289234519004822,0.7107698917388916,0.28860270977020264,0.3701748549938202,0.3791837692260742,0.5959210991859436,0.26002076268196106,0.2571668326854706
advances,0.22989708185195923,0.29882919788360596,0.2932252883911133,0.14196206629276276,0.27895745635032654,0.29882919788360596,0.2740710377693176,0.19296348094940186,0.23802608251571655,0.2553504705429077,0.3109374940395355,0.22989708185195923,0.2912850081920624,0.22929850220680237,0.12414493411779404
led,0.2990247309207916,0.3267505168914795,0.20901000499725342,0.05455842614173889,0.32918456196784973,0.3267505168914795,0.16771341860294342,0.1896267831325531,0.16632264852523804,0.19312195479869843,0.19578777253627777,0.2990247309207916,0.21040768921375275,0.16849809885025024,0.09273858368396759
to,0.45010748505592346,0.535392165184021,0.1709391176700592,0.187554731965065,0.41548454761505127,0.535392165184021,0.2486501932144165,0.40669289231300354,0.3504326641559601,0.23094509541988373,0.3094537854194641,0.45010748505592346,0.5345056653022766,0.2141847461462021,0.29463258385658264
the,0.6662389636039734,1.0,0.2035854160785675,0.14028635621070862,0.733189046382904,1.0,0.2801888585090637,0.47025805711746216,0.40399202704429626,0.22985544800758362,0.29563742876052856,0.6662389636039734,0.6521818041801453,0.22831332683563232,0.22068053483963013
development,0.2550492286682129,0.3362044394016266,0.24800114333629608,0.1938512772321701,0.28700894117355347,0.3362044394016266,0.16939832270145416,0.19852492213249207,0.22856876254081726,0.2836662530899048,0.3105856478214264,0.2550492286682129,0.3198052942752838,0.192396879196167,0.1211358830332756
of,0.5696388483047485,0.733189046382904,0.23404428362846375,0.18271391093730927,1.0,0.733189046382904,0.2329314798116684,0.44397735595703125,0.39081433415412903,0.23986764252185822,0.24699506163597107,0.5696388483047485,0.5011631846427917,0.19074802100658417,0.1826142966747284
a,0.539380669593811,0.5829201340675354,0.24390482902526855,0.29218459129333496,0.5052502155303955,0.5829201340675354,0.21121151745319366,0.4214206337928772,0.265255331993103,0.18508632481098175,0.26031941175460815,0.539380669593811,0.56894451379776,0.2366863191127777,0.23916715383529663
layered,0.1725275218486786,0.2035854160785675,1.0,0.2510553300380707,0.23404428362846375,0.2035854160785675,0.31122034788131714,0.1984740048646927,0.2469404935836792,0.28295302391052246,0.24392659962177277,0.1725275218486786,0.325815886259079,0.7994839549064636,0.10999923944473267
model,0.2267826348543167,0.14028635621070862,0.2510553300380707,1.0000001192092896,0.18271391093730927,0.14028635621070862,0.07608746737241745,0.08019284904003143,0.07012248039245605,0.17495548725128174,0.3642362654209137,0.2267826348543167,0.22893153131008148,0.22933834791183472,0.14843042194843292
of,0.5696388483047485,0.733189046382904,0.23404428362846375,0.18271391093730927,1.0,0.733189046382904,0.2329314798116684,0.44397735595703125,0.39081433415412903,0.23986764252185822,0.24699506163597107,0.5696388483047485,0.5011631846427917,0.19074802100658417,0.1826142966747284
the,0.6662389636039734,1.0,0.2035854160785675,0.14028635621070862,0.733189046382904,1.0,0.2801888585090637,0.47025805711746216,0.40399202704429626,0.22985544800758362,0.29563742876052856,0.6662389636039734,0.6521818041801453,0.22831332683563232,0.22068053483963013
