,what,two,railroads,have,railyards,in,the,city,of,fresno,?
the,0.42745697498321533,0.43858039379119873,0.2643872797489166,0.40389683842658997,0.29112350940704346,0.6662389636039734,1.0,0.35769423842430115,0.733189046382904,0.22571885585784912,0.22068053483963013
bakersfield-stockton,0.17517657577991486,0.2163017988204956,0.3561045825481415,0.11565881967544556,0.3993673622608185,0.3360975682735443,0.26192155480384827,0.41908812522888184,0.24669919908046722,0.5393404364585876,0.16589277982711792
mainlines,0.18545275926589966,0.3247678875923157,0.41785502433776855,0.2636551856994629,0.5244797468185425,0.28009188175201416,0.33744460344314575,0.2723580002784729,0.2715834379196167,0.20186316967010498,0.2190159559249878
of,0.33290785551071167,0.37726253271102905,0.21481075882911682,0.3802283704280853,0.22443155944347382,0.5696388483047485,0.733189046382904,0.32503411173820496,1.0,0.1875009983778,0.1826142966747284
the,0.42745697498321533,0.43858039379119873,0.2643872797489166,0.40389683842658997,0.29112350940704346,0.6662389636039734,1.0,0.35769423842430115,0.733189046382904,0.22571885585784912,0.22068053483963013
burlington,0.15481963753700256,0.21089500188827515,0.28719112277030945,0.2260212004184723,0.3048039972782135,0.2952599823474884,0.23052188754081726,0.3491668403148651,0.257771372795105,0.43823158740997314,0.18967792391777039
northern,0.19332477450370789,0.17979876697063446,0.22157759964466095,0.1682901680469513,0.23653382062911987,0.3545122444629669,0.3422943353652954,0.3556877672672272,0.32586339116096497,0.18696045875549316,0.13149388134479523
santa,0.23841293156147003,0.1365930587053299,0.2120063453912735,0.15219612419605255,0.16134628653526306,0.20108501613140106,0.23511074483394623,0.3028823137283325,0.2417823076248169,0.42344537377357483,0.17321589589118958
fe,0.1869426965713501,0.12208029627799988,0.2539755702018738,0.13630473613739014,0.18163689970970154,0.16520394384860992,0.17900191247463226,0.2880019545555115,0.19759707152843475,0.3314886689186096,0.16597414016723633
railway,0.16704553365707397,0.1787480115890503,0.5998322367668152,0.1520480364561081,0.639975368976593,0.2326211929321289,0.2692219316959381,0.29855862259864807,0.21322962641716003,0.16840851306915283,0.07994066178798676
and,0.31309178471565247,0.4671151638031006,0.25654420256614685,0.4711785912513733,0.32175227999687195,0.4954058527946472,0.5171257257461548,0.2827445864677429,0.5116966962814331,0.21513071656227112,0.20544172823429108
union,0.1396910548210144,0.22333486378192902,0.2879575788974762,0.16471676528453827,0.2755110263824463,0.22726479172706604,0.24421639740467072,0.23116759955883026,0.2642118036746979,0.20779570937156677,0.07797172665596008
pacific,0.12389002740383148,0.2241741418838501,0.2350226491689682,0.20848755538463593,0.2303478866815567,0.19652380049228668,0.28543707728385925,0.15942703187465668,0.21646003425121307,0.34335553646087646,0.13060949742794037
railroad,0.16141441464424133,0.14095182716846466,0.9270634651184082,0.09500019997358322,0.6214751601219177,0.20349381864070892,0.2709158957004547,0.3335641622543335,0.1954421103000641,0.23137147724628448,0.0920378789305687
railroads,0.19764910638332367,0.17993134260177612,1.0000001192092896,0.16703183948993683,0.6430204510688782,0.22118902206420898,0.2643872797489166,0.3546334505081177,0.21481075882911682,0.2446058988571167,0.13873159885406494
cross,0.1799720823764801,0.21518373489379883,0.1610470861196518,0.16895988583564758,0.2782209813594818,0.18247009813785553,0.25741100311279297,0.18598602712154388,0.2018742561340332,0.12710972130298615,0.12288589030504227
in,0.30808621644973755,0.36463531851768494,0.22118902206420898,0.36843645572662354,0.2612442374229431,1.0,0.6662389636039734,0.3911624252796173,0.5696388483047485,0.26126348972320557,0.20430970191955566
fresno,0.159109428524971,0.17640221118927002,0.2446058988571167,0.18168938159942627,0.2835996448993683,0.26126348972320557,0.22571885585784912,0.2780216634273529,0.1875009983778,1.0000001192092896,0.13224096596240997
",",0.3087472915649414,0.35859420895576477,0.26387819647789,0.3541618287563324,0.3166423439979553,0.5201468467712402,0.4933079481124878,0.35839709639549255,0.4946078956127167,0.2561432421207428,0.31091248989105225
and,0.31309178471565247,0.4671151638031006,0.25654420256614685,0.4711785912513733,0.32175227999687195,0.4954058527946472,0.5171257257461548,0.2827445864677429,0.5116966962814331,0.21513071656227112,0.20544172823429108
both,0.3361809551715851,0.6091675162315369,0.17463532090187073,0.43702858686447144,0.2344430685043335,0.3960166871547699,0.4931981563568115,0.18512237071990967,0.3565710783004761,0.18315617740154266,0.19455738365650177
railroads,0.19764910638332367,0.17993134260177612,1.0000001192092896,0.16703183948993683,0.6430204510688782,0.22118902206420898,0.2643872797489166,0.3546334505081177,0.21481075882911682,0.2446058988571167,0.13873159885406494
maintain,0.2619679272174835,0.18945252895355225,0.21316082775592804,0.4009651839733124,0.2155984789133072,0.18554846942424774,0.2896709144115448,0.0837312638759613,0.2703363299369812,0.12659351527690887,0.20568779110908508
railyards,0.21531374752521515,0.28769758343696594,0.6430204510688782,0.2311221808195114,1.0,0.2612442374229431,0.29112350940704346,0.296517938375473,0.22443155944347382,0.2835996448993683,0.19488465785980225
