,when,was,scotland,invaded,by,william,?
william,0.22232958674430847,0.28444796800613403,0.23688450455665588,0.22950641810894012,0.2472190260887146,1.0,0.14462219178676605
invaded,0.2871313691139221,0.34299901127815247,0.18268688023090363,1.0,0.3070787787437439,0.22950641810894012,0.20599597692489624
scotland,0.15329182147979736,0.17744721472263336,1.0,0.18268688023090363,0.13855545222759247,0.23688450455665588,0.09160218387842178
in,0.4431333839893341,0.45514053106307983,0.24716059863567352,0.3130905330181122,0.370934396982193,0.21605195105075836,0.20430970191955566
1072,-0.16382385790348053,-0.09586367011070251,0.043078359216451645,-0.0014928726013749838,-0.027394503355026245,-0.03575296700000763,0.07627874612808228
",",0.36674630641937256,0.45456063747406006,0.21124857664108276,0.2882350981235504,0.3680937886238098,0.23339112102985382,0.31091248989105225
riding,0.19122746586799622,0.2283954620361328,0.24610307812690735,0.10452176630496979,0.18488474190235138,0.20590391755104065,0.07419754564762115
as,0.4437963366508484,0.3677520453929901,0.19265124201774597,0.19702966511249542,0.3815547823905945,0.21397505700588226,0.27043893933296204
far,0.227741077542305,0.24026422202587128,0.14672666788101196,0.23526987433433533,0.20033018290996552,0.16210585832595825,0.2170870453119278
as,0.4437963366508484,0.3677520453929901,0.19265124201774597,0.19702966511249542,0.3815547823905945,0.21397505700588226,0.27043893933296204
abernethy,0.25754213333129883,0.32081010937690735,0.44176334142684937,0.24781908094882965,0.24902643263339996,0.4014522135257721,0.17104791104793549
where,0.5747735500335693,0.20731619000434875,0.2062309980392456,0.19259023666381836,0.2641284465789795,0.11286398023366928,0.24793872237205505
he,0.39115971326828003,0.5410010814666748,0.14187411963939667,0.2591879665851593,0.2485479861497879,0.24210993945598602,0.2089974731206894
met,0.290595144033432,0.3100595772266388,0.1433265209197998,0.24546658992767334,0.202009916305542,0.17811191082000732,0.13848096132278442
up,0.3850642144680023,0.24070115387439728,0.14345809817314148,0.21690058708190918,0.2738759219646454,0.1404920518398285,0.1819818764925003
with,0.5075214505195618,0.27411898970603943,0.21539276838302612,0.25175055861473083,0.39731505513191223,0.121340811252594,0.2433311939239502
his,0.37120407819747925,0.4405253231525421,0.17810554802417755,0.26576733589172363,0.3107621967792511,0.2728368639945984,0.18075084686279297
fleet,0.17775700986385345,0.2334495484828949,0.18104079365730286,0.3410559892654419,0.19332298636436462,0.22863996028900146,0.1324779987335205
of,0.3757161796092987,0.4069072902202606,0.2208399921655655,0.313720703125,0.3646814823150635,0.20272590219974518,0.1826142966747284
ships,0.2804982364177704,0.21883714199066162,0.12593084573745728,0.33050015568733215,0.24591349065303802,0.18719492852687836,0.18477600812911987
.,0.475719153881073,0.40146201848983765,0.23843355476856232,0.31008392572402954,0.3936232924461365,0.2768123149871826,0.4130953550338745
