,what,body,part,did,thomas,davis,break,during,the,nfc,championship,game,?
carolina,0.1956660896539688,0.10482198745012283,0.1764463484287262,0.18489903211593628,0.1952405422925949,0.22498787939548492,0.1425245851278305,0.17862752079963684,0.24749229848384857,0.3309314548969269,0.1809738576412201,0.1679076999425888,0.11847445368766785
suffered,0.13741295039653778,0.17304222285747528,0.1810712069272995,0.28497523069381714,0.17204545438289642,0.14957281947135925,0.2304130494594574,0.36370640993118286,0.2558774948120117,0.14072050154209137,0.21612636744976044,0.14093159139156342,0.08963493257761002
a,0.3320399522781372,0.26263290643692017,0.3994528353214264,0.2552328109741211,0.19268037378787994,0.19002141058444977,0.26504021883010864,0.30341604351997375,0.5829201340675354,0.20643295347690582,0.18214380741119385,0.23211604356765747,0.23916715383529663
major,0.21026742458343506,0.09922226518392563,0.22967763245105743,0.20997437834739685,0.10622677206993103,0.14990930259227753,0.12357321381568909,0.2254045009613037,0.31775903701782227,0.2140611857175827,0.15515366196632385,0.12348651885986328,0.19788557291030884
setback,0.3320176899433136,0.20697973668575287,0.25832515954971313,0.2703627347946167,0.12432343512773514,0.136392280459404,0.30526983737945557,0.29688888788223267,0.3215973973274231,0.28003278374671936,0.279744952917099,0.2102450430393219,0.20897552371025085
when,0.4700249433517456,0.27947020530700684,0.35435768961906433,0.3228907287120819,0.19259870052337646,0.23257681727409363,0.36291980743408203,0.46721696853637695,0.5091903209686279,0.20492814481258392,0.20474274456501007,0.22596776485443115,0.22841128706932068
thomas,0.1806955188512802,0.08501297980546951,0.10892781615257263,0.20728807151317596,1.0000001192092896,0.35804271697998047,0.11613286286592484,0.170392706990242,0.23505409061908722,0.16319149732589722,0.1911715567111969,0.15256451070308685,0.16133050620555878
davis,0.18317241966724396,0.09680149704217911,0.12676866352558136,0.17277368903160095,0.35804271697998047,0.9999999403953552,0.1706894040107727,0.17898905277252197,0.25552070140838623,0.21527732908725739,0.19010725617408752,0.14556019008159637,0.17094263434410095
",",0.3087472915649414,0.22437527775764465,0.3376222252845764,0.3015086054801941,0.25079426169395447,0.31438660621643066,0.25781646370887756,0.3225448727607727,0.4933079481124878,0.28086528182029724,0.256124883890152,0.2653886377811432,0.31091248989105225
an,0.2821882665157318,0.22158053517341614,0.3128427565097809,0.22598257660865784,0.15775039792060852,0.24183200299739838,0.23401515185832977,0.21076080203056335,0.4207492768764496,0.11881481856107712,0.12924516201019287,0.16604416072368622,0.19793890416622162
11-year,0.19224752485752106,0.11937067657709122,0.15945123136043549,0.1603643298149109,0.19694937765598297,0.21379505097866058,0.20240764319896698,0.29905587434768677,0.25359681248664856,0.4219059348106384,0.22593924403190613,0.28337082266807556,0.32096078991889954
veteran,0.12123548984527588,0.11869798600673676,0.18038900196552277,0.10862443596124649,0.20413291454315186,0.30011120438575745,0.10912667214870453,0.305077463388443,0.2511998414993286,0.21065255999565125,0.1771077960729599,0.1512906402349472,0.15891358256340027
who,0.40942975878715515,0.2087378203868866,0.19576206803321838,0.34038686752319336,0.26103657484054565,0.2547153830528259,0.16458061337471008,0.30551859736442566,0.3733934462070465,0.17579996585845947,0.15638136863708496,0.2523840069770813,0.26220351457595825
had,0.23849567770957947,0.1871735006570816,0.27259039878845215,0.540525496006012,0.21442335844039917,0.263392835855484,0.24252019822597504,0.39748913049697876,0.3875846862792969,0.16702289879322052,0.13773253560066223,0.18758456408977509,0.20728366076946259
already,0.4530037045478821,0.17430230975151062,0.22758664190769196,0.3281528055667877,0.2052728533744812,0.20857298374176025,0.22209912538528442,0.23721566796302795,0.34582915902137756,0.20388568937778473,0.15047475695610046,0.2488563060760498,0.3477933406829834
overcome,0.20512010157108307,0.17654098570346832,0.09956705570220947,0.22264860570430756,0.11337356269359589,0.21739228069782257,0.3112107217311859,0.2061566710472107,0.19138307869434357,0.18053589761257172,0.1655457466840744,0.1663098931312561,0.17361730337142944
three,0.24888746440410614,0.20014677941799164,0.27905863523483276,0.2043166607618332,0.11748330295085907,0.14830386638641357,0.22747772932052612,0.28113842010498047,0.43452659249305725,0.3151578903198242,0.21245597302913666,0.24410177767276764,0.20928427577018738
acl,0.10634554177522659,0.13797727227210999,0.16097034513950348,0.12015141546726227,0.1752455085515976,0.21683122217655182,0.3231821060180664,0.1946363002061844,0.23845629394054413,0.33169156312942505,0.2721298336982727,0.0950402319431305,0.14736860990524292
tears,0.2509855031967163,0.2171032577753067,0.21712429821491241,0.200081467628479,0.1445273607969284,0.3043578565120697,0.2719619870185852,0.19124387204647064,0.24051350355148315,0.13466887176036835,0.17549929022789001,0.1635821908712387,0.15044362843036652
in,0.30808621644973755,0.2549867033958435,0.4499994218349457,0.2593238651752472,0.21133768558502197,0.20000724494457245,0.17133235931396484,0.4627237319946289,0.6662389636039734,0.20630285143852234,0.20047812163829803,0.23986028134822845,0.20430970191955566
his,0.26976513862609863,0.2533397674560547,0.22525446116924286,0.3546801507472992,0.20028819143772125,0.2677081823348999,0.20606279373168945,0.36789870262145996,0.4394008219242096,0.13699233531951904,0.17189359664916992,0.21079449355602264,0.18075084686279297
career,0.0917418897151947,0.17913489043712616,0.14798210561275482,0.2809877395629883,0.14576682448387146,0.2350463569164276,0.1729012131690979,0.3538593053817749,0.19230268895626068,0.18755735456943512,0.2705346345901489,0.24611979722976685,0.1300809234380722
",",0.3087472915649414,0.22437527775764465,0.3376222252845764,0.3015086054801941,0.25079426169395447,0.31438660621643066,0.25781646370887756,0.3225448727607727,0.4933079481124878,0.28086528182029724,0.256124883890152,0.2653886377811432,0.31091248989105225
went,0.20164033770561218,0.11670644581317902,0.2124926894903183,0.4810470640659332,0.17632891237735748,0.21859696507453918,0.2411520630121231,0.30851107835769653,0.3345835506916046,0.22845564782619476,0.1875411719083786,0.14026789367198944,0.12109432369470596
down,0.26226112246513367,0.20543350279331207,0.1965905725955963,0.2029697746038437,0.05717531591653824,0.1249653697013855,0.33711332082748413,0.20389243960380554,0.3325848877429962,0.10038929432630539,0.088420070707798,0.1333431452512741,0.13836295902729034
with,0.2464839518070221,0.25971415638923645,0.294111043214798,0.25472134351730347,0.1763175129890442,0.2030765265226364,0.2797669470310211,0.28545209765434265,0.4223487675189972,0.2602476179599762,0.21191054582595825,0.19394829869270325,0.2433311939239502
a,0.3320399522781372,0.26263290643692017,0.3994528353214264,0.2552328109741211,0.19268037378787994,0.19002141058444977,0.26504021883010864,0.30341604351997375,0.5829201340675354,0.20643295347690582,0.18214380741119385,0.23211604356765747,0.23916715383529663
broken,0.28858938813209534,0.17225639522075653,0.20462369918823242,0.1885390281677246,0.11344966292381287,0.1776810586452484,0.5560406446456909,0.154008150100708,0.27700477838516235,0.1301826685667038,0.07839711755514145,0.1808656007051468,0.1915387511253357
arm,0.1625373512506485,0.4673237204551697,0.18836566805839539,0.10419393330812454,0.09396518021821976,0.11847760528326035,0.20001079142093658,0.13704924285411835,0.2214433252811432,0.134703129529953,0.1483871191740036,0.13154813647270203,0.12539196014404297
