,what,is,a,common,occurrence,during,summer,days,?
it,0.45803478360176086,0.6328473687171936,0.5452592968940735,0.253363698720932,0.2679707109928131,0.26678937673568726,0.20621618628501892,0.2969350814819336,0.25732165575027466
is,0.28837618231773376,1.0,0.658733606338501,0.2952355444431305,0.2722100615501404,0.2240111529827118,0.17436888813972473,0.1960425078868866,0.22961433231830597
common,0.19989867508411407,0.2952355444431305,0.29638534784317017,0.9999998807907104,0.38894468545913696,0.13987751305103302,0.1287771761417389,0.1428956389427185,0.20434872806072235
for,0.3017193675041199,0.43268078565597534,0.44038116931915283,0.25494384765625,0.25875988602638245,0.3448435664176941,0.2597406506538391,0.2734130620956421,0.264628142118454
thunderstorms,0.27650415897369385,0.22546911239624023,0.2798818051815033,0.21820469200611115,0.3111962378025055,0.2984398305416107,0.2742169499397278,0.26089879870414734,0.2219725400209427
to,0.455847829580307,0.42745086550712585,0.45503583550453186,0.21109338104724884,0.22612078487873077,0.2828781306743622,0.23132751882076263,0.2942236363887787,0.29463258385658264
erupt,0.17940738797187805,0.18158116936683655,0.18087494373321533,0.10038388520479202,0.3273210823535919,0.23583810031414032,0.1263137012720108,0.08387377858161926,0.1571691334247589
during,0.24137552082538605,0.2240111529827118,0.30341604351997375,0.13987751305103302,0.2715102732181549,1.0,0.3307880461215973,0.3143676519393921,0.1325719803571701
a,0.3320399522781372,0.658733606338501,1.0,0.29638534784317017,0.2751205861568451,0.30341604351997375,0.21519871056079865,0.24421119689941406,0.23916715383529663
typical,0.2897430658340454,0.28977829217910767,0.4022108316421509,0.4104247987270355,0.36035746335983276,0.24994854629039764,0.19069893658161163,0.19624842703342438,0.15633712708950043
summer,0.16213102638721466,0.17436888813972473,0.21519871056079865,0.1287771761417389,0.1668548882007599,0.3307880461215973,0.9999998807907104,0.2974144220352173,0.11625723540782928
afternoon,0.15643343329429626,0.17113228142261505,0.24086889624595642,0.125116765499115,0.14337964355945587,0.3387153446674347,0.29676562547683716,0.37411728501319885,0.15454228222370148
.,0.3567904531955719,0.4569662809371948,0.50484299659729,0.21817955374717712,0.18602602183818817,0.3485563397407532,0.29990968108177185,0.2610209584236145,0.4130953550338745
