,what,does,a,writer,for,the,international,crisis,group,think,the,concept,of,political,islam,is,a,creation,of,?
similarly,0.2804308831691742,0.36849287152290344,0.35854077339172363,0.08811944723129272,0.37383148074150085,0.33859682083129883,0.1864626705646515,0.10559190809726715,0.3009863495826721,0.3274676203727722,0.33859682083129883,0.2963840961456299,0.29464200139045715,0.22419019043445587,0.21975363790988922,0.34101489186286926,0.35854077339172363,0.23647457361221313,0.29464200139045715,0.23036029934883118
",",0.3087472915649414,0.28617382049560547,0.427140474319458,0.2910175621509552,0.4464869201183319,0.4933079481124878,0.23395943641662598,0.18660308420658112,0.2809832692146301,0.3095206320285797,0.4933079481124878,0.20029692351818085,0.4946078956127167,0.27072274684906006,0.23459285497665405,0.4691906273365021,0.427140474319458,0.24387513101100922,0.4946078956127167,0.31091248989105225
a,0.3320399522781372,0.38201746344566345,1.0,0.2671267092227936,0.44038116931915283,0.5829201340675354,0.24617823958396912,0.1976640820503235,0.2594761848449707,0.35850703716278076,0.5829201340675354,0.29586365818977356,0.5052502155303955,0.21418654918670654,0.15636202692985535,0.658733606338501,1.0,0.26870065927505493,0.5052502155303955,0.23916715383529663
writer,0.16903695464134216,0.1414429098367691,0.2671267092227936,1.0,0.18162067234516144,0.1583879292011261,0.1333950161933899,0.1788267195224762,0.07950194180011749,0.20551654696464539,0.1583879292011261,0.18070612847805023,0.14383116364479065,0.312252402305603,0.14185835421085358,0.20482608675956726,0.2671267092227936,0.1958450824022293,0.14383116364479065,0.1860569268465042
for,0.3017193675041199,0.35159170627593994,0.44038116931915283,0.18162067234516144,0.9999999403953552,0.4739971458911896,0.3073737323284149,0.18574024736881256,0.24519909918308258,0.35838815569877625,0.4739971458911896,0.24192313849925995,0.4185989499092102,0.24620850384235382,0.1461709886789322,0.43268078565597534,0.44038116931915283,0.26819050312042236,0.4185989499092102,0.264628142118454
the,0.42745697498321533,0.35928019881248474,0.5829201340675354,0.1583879292011261,0.4739971458911896,1.0,0.23719607293605804,0.263981431722641,0.30795547366142273,0.3102172613143921,1.0,0.2355310022830963,0.733189046382904,0.20477235317230225,0.2207694798707962,0.5823672413825989,0.5829201340675354,0.34625571966171265,0.733189046382904,0.22068053483963013
international,0.10870302468538284,0.13668061792850494,0.24617823958396912,0.1333950161933899,0.3073737323284149,0.23719607293605804,1.0,0.19807948172092438,0.2255152314901352,0.1799928992986679,0.23719607293605804,0.1665365844964981,0.23367412388324738,0.24525003135204315,0.17613983154296875,0.19279639422893524,0.24617823958396912,0.17393621802330017,0.23367412388324738,0.15335838496685028
crisis,0.23514460027217865,0.10018128901720047,0.1976640820503235,0.1788267195224762,0.18574024736881256,0.263981431722641,0.19807948172092438,1.0,0.1557973027229309,0.1789931207895279,0.263981431722641,0.17385029792785645,0.2267792969942093,0.29061511158943176,0.17602422833442688,0.14325910806655884,0.1976640820503235,0.22974619269371033,0.2267792969942093,0.17902959883213043
group,0.2114069163799286,0.12092027813196182,0.2594761848449707,0.07950194180011749,0.24519909918308258,0.30795547366142273,0.2255152314901352,0.1557973027229309,0.9999999403953552,0.2144079953432083,0.30795547366142273,0.23586708307266235,0.25542253255844116,0.15914098918437958,0.17468653619289398,0.22153858840465546,0.2594761848449707,0.14344900846481323,0.25542253255844116,0.13827809691429138
maintains,0.17929726839065552,0.2936943769454956,0.23382247984409332,0.09524357318878174,0.27840328216552734,0.2744854986667633,0.24043136835098267,0.19080181419849396,0.1636459082365036,0.23876115679740906,0.2744854986667633,0.19805479049682617,0.2886165380477905,0.21578972041606903,0.16449376940727234,0.2847173810005188,0.23382247984409332,0.2481302171945572,0.2886165380477905,0.13273680210113525
that,0.6297725439071655,0.4764937460422516,0.47537946701049805,0.19249698519706726,0.4137635827064514,0.5473989248275757,0.16969050467014313,0.23239389061927795,0.3089635670185089,0.5798900723457336,0.5473989248275757,0.3531160056591034,0.41498205065727234,0.2016311138868332,0.22824111580848694,0.3995479643344879,0.47537946701049805,0.3483982980251312,0.41498205065727234,0.32716336846351624
