,what,do,ftsz1,and,ftsz2,combine,into,?
the,0.42745697498321533,0.30239659547805786,0.22993101179599762,0.5171257257461548,0.19871656596660614,0.2880306839942932,0.39493247866630554,0.22068053483963013
division,0.19144181907176971,0.12946900725364685,0.08280068635940552,0.23460866510868073,0.07188015431165695,0.16351068019866943,0.17204734683036804,0.08900629729032516
process,0.3466717302799225,0.25918635725975037,0.09832482039928436,0.20204883813858032,0.17375202476978302,0.28663769364356995,0.2309553474187851,0.2460896074771881
starts,0.24892903864383698,0.1819385588169098,0.14288200438022614,0.1896630823612213,0.15141744911670685,0.16146105527877808,0.2338104397058487,0.17788195610046387
when,0.4700249433517456,0.28572237491607666,0.10090357065200806,0.4716290831565857,0.10358065366744995,0.18998336791992188,0.389646977186203,0.22841128706932068
the,0.42745697498321533,0.30239659547805786,0.22993101179599762,0.5171257257461548,0.19871656596660614,0.2880306839942932,0.39493247866630554,0.22068053483963013
proteins,0.21361225843429565,0.23339512944221497,0.06852998584508896,0.2611044645309448,0.19354678690433502,0.337203711271286,0.2707652747631073,0.18469302356243134
ftsz1,0.19209237396717072,0.12157715111970901,0.9999999403953552,0.25429537892341614,0.9218252897262573,0.007040158845484257,0.031060529872775078,0.13513077795505524
and,0.31309178471565247,0.276123583316803,0.25429537892341614,1.0,0.23681282997131348,0.36650222539901733,0.36597734689712524,0.20544172823429108
ftsz2,0.20545805990695953,0.170295849442482,0.9218252897262573,0.23681282997131348,1.0,0.09089438617229462,0.04984266683459282,0.16796298325061798
assemble,0.2427459955215454,0.1726009100675583,0.15371006727218628,0.2471478134393692,0.16027677059173584,0.31189677119255066,0.2433163821697235,0.14568409323692322
into,0.2180619090795517,0.20546826720237732,0.031060529872775078,0.36597734689712524,0.04984266683459282,0.3931507170200348,1.0,0.15662476420402527
filaments,0.197005495429039,0.2884133458137512,0.16327409446239471,0.2780604958534241,0.3006735146045685,0.25524261593818665,0.2732127010822296,0.09979134798049927
",",0.3087472915649414,0.3283645510673523,0.24506346881389618,0.6633074283599854,0.22914834320545197,0.29247188568115234,0.2826121151447296,0.31091248989105225
and,0.31309178471565247,0.276123583316803,0.25429537892341614,1.0,0.23681282997131348,0.36650222539901733,0.36597734689712524,0.20544172823429108
with,0.2464839518070221,0.23744353652000427,0.11165082454681396,0.5477725267410278,0.16179625689983368,0.35364508628845215,0.2912435233592987,0.2433311939239502
the,0.42745697498321533,0.30239659547805786,0.22993101179599762,0.5171257257461548,0.19871656596660614,0.2880306839942932,0.39493247866630554,0.22068053483963013
help,0.3728281855583191,0.40743157267570496,0.10700847953557968,0.34926167130470276,0.1259719580411911,0.23938652873039246,0.26018935441970825,0.28403452038764954
of,0.33290785551071167,0.26150479912757874,0.26015418767929077,0.5116966962814331,0.23165488243103027,0.3253297805786133,0.32255905866622925,0.1826142966747284
a,0.3320399522781372,0.26237669587135315,0.19120122492313385,0.3739250600337982,0.21690446138381958,0.2690390646457672,0.3461161255836487,0.23916715383529663
protein,0.20633074641227722,0.1999005228281021,0.08965925127267838,0.2513568103313446,0.22881163656711578,0.31135812401771545,0.21364028751850128,0.169142946600914
arc6,0.18309295177459717,0.17447255551815033,0.14788590371608734,0.2623685300350189,0.16390137374401093,0.13985660672187805,0.13096202909946442,0.1501099169254303
",",0.3087472915649414,0.3283645510673523,0.24506346881389618,0.6633074283599854,0.22914834320545197,0.29247188568115234,0.2826121151447296,0.31091248989105225
form,0.15868011116981506,0.23068922758102417,0.07883697748184204,0.30469027161598206,0.12279591709375381,0.3999081254005432,0.32858723402023315,0.1463010311126709
a,0.3320399522781372,0.26237669587135315,0.19120122492313385,0.3739250600337982,0.21690446138381958,0.2690390646457672,0.3461161255836487,0.23916715383529663
structure,0.27351704239845276,0.1761092096567154,0.2008349895477295,0.24419280886650085,0.2520115077495575,0.27121296525001526,0.21025875210762024,0.1770772784948349
called,0.3235960602760315,0.3090135157108307,0.16246473789215088,0.3251761794090271,0.21338306367397308,0.28859761357307434,0.3495192527770996,0.18963319063186646
a,0.3320399522781372,0.26237669587135315,0.19120122492313385,0.3739250600337982,0.21690446138381958,0.2690390646457672,0.3461161255836487,0.23916715383529663
z-ring,0.34665191173553467,0.2606133222579956,0.1428259164094925,0.35860899090766907,0.2074439525604248,0.29222744703292847,0.26795729994773865,0.2039296180009842
within,0.2498195916414261,0.21291908621788025,0.16041341423988342,0.35049548745155334,0.17083080112934113,0.22037960588932037,0.33419179916381836,0.1870293766260147
the,0.42745697498321533,0.30239659547805786,0.22993101179599762,0.5171257257461548,0.19871656596660614,0.2880306839942932,0.39493247866630554,0.22068053483963013
chloroplast,0.23505516350269318,0.2310386300086975,0.12656497955322266,0.19758054614067078,0.26704204082489014,0.26107123494148254,0.17435282468795776,0.12532055377960205
's,0.02692362666130066,-0.01994597539305687,0.061887528747320175,0.06895173341035843,0.057549331337213516,0.025186503306031227,0.00961404386907816,-0.023395681753754616
stroma,0.17679446935653687,0.13022096455097198,0.22065062820911407,0.21465273201465607,0.2477666139602661,0.12091697752475739,0.03945064917206764,0.15478113293647766
.,0.3567904531955719,0.3613996207714081,0.2680380642414093,0.588965117931366,0.25780147314071655,0.2269059419631958,0.26250120997428894,0.4130953550338745
