,when,did,the,democratic,republic,of,afghanistan,collapse,?
in,0.4431333839893341,0.2593238651752472,0.6662389636039734,0.206755131483078,0.2782426178455353,0.5696388483047485,0.2505266070365906,0.2279185801744461,0.20430970191955566
1992,0.050327301025390625,0.1798131763935089,0.12138951569795609,0.1887928992509842,0.16749750077724457,0.083686463534832,0.24896153807640076,0.12243396788835526,0.11522171646356583
",",0.36674630641937256,0.3015086054801941,0.4933079481124878,0.23484410345554352,0.24418231844902039,0.4946078956127167,0.21547061204910278,0.192181795835495,0.31091248989105225
the,0.5091903209686279,0.34736719727516174,1.0,0.21570740640163422,0.2862427830696106,0.733189046382904,0.28314414620399475,0.31475353240966797,0.22068053483963013
democratic,0.19527050852775574,0.14864127337932587,0.21570740640163422,0.9999999403953552,0.49840325117111206,0.2273487150669098,0.2822316288948059,0.2515552341938019,0.1668088138103485
republic,0.1433873176574707,0.14819517731666565,0.2862427830696106,0.49840325117111206,0.9999999403953552,0.2802940905094147,0.38252437114715576,0.2765047252178192,0.16880398988723755
of,0.3757161796092987,0.2513895630836487,0.733189046382904,0.2273487150669098,0.2802940905094147,1.0,0.2363988608121872,0.26751232147216797,0.1826142966747284
afghanistan,0.18784691393375397,0.17636427283287048,0.28314414620399475,0.2822316288948059,0.38252437114715576,0.2363988608121872,1.0000001192092896,0.20998957753181458,0.1478135734796524
ruled,0.2296513020992279,0.28686225414276123,0.2668108344078064,0.2706490159034729,0.2738956809043884,0.29798635840415955,0.1978803277015686,0.20651930570602417,0.19970785081386566
by,0.4376842677593231,0.18574509024620056,0.4408751428127289,0.1770065426826477,0.18294382095336914,0.3646814823150635,0.14123447239398956,0.10583139210939407,0.17966607213020325
communist,0.2263980209827423,0.22076168656349182,0.24560265243053436,0.5214874744415283,0.4322625994682312,0.24402955174446106,0.29527202248573303,0.288012832403183,0.13955675065517426
forces,0.2460811883211136,0.13164828717708588,0.3134811818599701,0.2603299021720886,0.2839297354221344,0.3090144991874695,0.24550290405750275,0.23500654101371765,0.16984491050243378
collapsed,0.23687973618507385,0.25112998485565186,0.27221426367759705,0.19917534291744232,0.2536974549293518,0.21470306813716888,0.21153870224952698,0.8582494258880615,0.12967832386493683
",",0.36674630641937256,0.3015086054801941,0.4933079481124878,0.23484410345554352,0.24418231844902039,0.4946078956127167,0.21547061204910278,0.192181795835495,0.31091248989105225
and,0.4716290831565857,0.34479495882987976,0.5171257257461548,0.20003819465637207,0.25642362236976624,0.5116966962814331,0.2312776744365692,0.17414039373397827,0.20544172823429108
democratic,0.19527050852775574,0.14864127337932587,0.21570740640163422,0.9999999403953552,0.49840325117111206,0.2273487150669098,0.2822316288948059,0.2515552341938019,0.1668088138103485
islamist,0.17608045041561127,0.18690630793571472,0.2459319531917572,0.3174824118614197,0.23134702444076538,0.19512814283370972,0.47012534737586975,0.19304391741752625,0.14697067439556122
elements,0.20308180153369904,0.14570437371730804,0.22297804057598114,0.15957558155059814,0.16821077466011047,0.23613712191581726,0.1771901696920395,0.20050019025802612,0.15222592651844025
of,0.3757161796092987,0.2513895630836487,0.733189046382904,0.2273487150669098,0.2802940905094147,1.0,0.2363988608121872,0.26751232147216797,0.1826142966747284
mujahdeen,0.20167942345142365,0.21894106268882751,0.2713688910007477,0.27686265110969543,0.3153757154941559,0.3036257028579712,0.528184711933136,0.21367493271827698,0.26674360036849976
founded,0.16657374799251556,0.15014135837554932,0.2840350568294525,0.24267877638339996,0.2594813406467438,0.24571022391319275,0.1297937035560608,0.149280846118927,0.09119737893342972
the,0.5091903209686279,0.34736719727516174,1.0,0.21570740640163422,0.2862427830696106,0.733189046382904,0.28314414620399475,0.31475353240966797,0.22068053483963013
islamic,0.14470529556274414,0.17371372878551483,0.27231070399284363,0.2690792679786682,0.2628084719181061,0.25656506419181824,0.43505409359931946,0.17460405826568604,0.1692383587360382
state,0.2549494504928589,0.152080237865448,0.3097178041934967,0.3432174324989319,0.336509108543396,0.34253445267677307,0.19660522043704987,0.22109146416187286,0.1160883978009224
of,0.3757161796092987,0.2513895630836487,0.733189046382904,0.2273487150669098,0.2802940905094147,1.0,0.2363988608121872,0.26751232147216797,0.1826142966747284
afghanistan,0.18784691393375397,0.17636427283287048,0.28314414620399475,0.2822316288948059,0.38252437114715576,0.2363988608121872,1.0000001192092896,0.20998957753181458,0.1478135734796524
.,0.475719153881073,0.35288307070732117,0.5934505462646484,0.22955322265625,0.23547469079494476,0.5352458953857422,0.2578941881656647,0.20924827456474304,0.4130953550338745
