,what,are,engines,using,four,expansion,stages,known,as,?
such,0.23989605903625488,0.4654397666454315,0.1677926778793335,0.3525872826576233,0.20715521275997162,0.2061477154493332,0.22536690533161163,0.30818676948547363,0.6207084655761719,0.17851735651493073
engines,0.1634974628686905,0.21946673095226288,1.0000001192092896,0.24968454241752625,0.26950839161872864,0.2381553053855896,0.27338987588882446,0.11931460350751877,0.17400804162025452,0.18940703570842743
use,0.3453877568244934,0.4174068570137024,0.27862992882728577,0.7256444692611694,0.2034875452518463,0.24896211922168732,0.18449784815311432,0.22469715774059296,0.3453201949596405,0.32795652747154236
either,0.3851809501647949,0.4060882031917572,0.18894439935684204,0.35356178879737854,0.21809473633766174,0.21168653666973114,0.1931481957435608,0.20141655206680298,0.37873947620391846,0.31498292088508606
three,0.24888746440410614,0.38895705342292786,0.18105190992355347,0.17423652112483978,0.8295955061912537,0.14777670800685883,0.2902289628982544,0.20026786625385284,0.23234014213085175,0.20928427577018738
or,0.33867141604423523,0.5374364256858826,0.16979892551898956,0.4131818115711212,0.20491547882556915,0.16794072091579437,0.19435784220695496,0.2710355222225189,0.4400654137134552,0.32389625906944275
four,0.18057085573673248,0.3568944036960602,0.26950839161872864,0.17922446131706238,1.0,0.1601896435022354,0.27883031964302063,0.2044375091791153,0.21867670118808746,0.14532537758350372
expansion,0.2671823799610138,0.1472935825586319,0.2381553053855896,0.2042381763458252,0.1601896435022354,1.0,0.2172745317220688,0.1330479085445404,0.21941451728343964,0.18286365270614624
stages,0.18274828791618347,0.26579415798187256,0.27338987588882446,0.16189345717430115,0.27883031964302063,0.2172745317220688,1.0000001192092896,0.20259521901607513,0.14936216175556183,0.12672165036201477
and,0.31309178471565247,0.48576638102531433,0.21148960292339325,0.33157408237457275,0.34700489044189453,0.1901247650384903,0.207217738032341,0.3468935489654541,0.49487000703811646,0.20544172823429108
are,0.29724663496017456,1.0,0.21946673095226288,0.3385874032974243,0.3568944036960602,0.1472935825586319,0.26579415798187256,0.26720109581947327,0.3826591968536377,0.24591213464736938
known,0.20381177961826324,0.26720109581947327,0.11931460350751877,0.1587827354669571,0.2044375091791153,0.1330479085445404,0.20259521901607513,1.0,0.4815765619277954,0.18314571678638458
as,0.31749409437179565,0.3826591968536377,0.17400804162025452,0.31195345520973206,0.21867670118808746,0.21941451728343964,0.14936216175556183,0.4815765619277954,1.0,0.27043893933296204
triple,0.1699010133743286,0.14917704463005066,0.06898585706949234,0.17631568014621735,0.19668996334075928,0.14901380240917206,0.15978610515594482,0.08096436411142349,0.16639026999473572,0.10550399124622345
and,0.31309178471565247,0.48576638102531433,0.21148960292339325,0.33157408237457275,0.34700489044189453,0.1901247650384903,0.207217738032341,0.3468935489654541,0.49487000703811646,0.20544172823429108
quadruple,0.1852315217256546,0.19777806103229523,0.2605660557746887,0.1625451296567917,0.3365466296672821,0.213178813457489,0.25225675106048584,0.10927627980709076,0.2204975038766861,0.09576638042926788
expansion,0.2671823799610138,0.1472935825586319,0.2381553053855896,0.2042381763458252,0.1601896435022354,1.0,0.2172745317220688,0.1330479085445404,0.21941451728343964,0.18286365270614624
engines,0.1634974628686905,0.21946673095226288,1.0000001192092896,0.24968454241752625,0.26950839161872864,0.2381553053855896,0.27338987588882446,0.11931460350751877,0.17400804162025452,0.18940703570842743
respectively,0.13204659521579742,0.30626973509788513,0.23158182203769684,0.18090948462486267,0.40970543026924133,0.13862113654613495,0.15540823340415955,0.1807541847229004,0.32792162895202637,0.1307799071073532
.,0.3567904531955719,0.3452940285205841,0.24894580245018005,0.3629456162452698,0.3278861939907074,0.18406090140342712,0.2273997664451599,0.283290296792984,0.515582263469696,0.4130953550338745
