,what,did,the,bankamericard,allow,customers,do,to,that,they,could,n't,do,with,previous,financial,instruments,?
after,0.21973377466201782,0.30330467224121094,0.4565047025680542,0.27593567967414856,0.23171910643577576,0.1410800665616989,0.20534609258174896,0.37890323996543884,0.373811811208725,0.33591970801353455,0.28948622941970825,-0.015319928526878357,0.20534609258174896,0.33843478560447693,0.32797157764434814,0.2093794196844101,0.15471315383911133,0.16608688235282898
a,0.3320399522781372,0.2552328109741211,0.5829201340675354,0.23532801866531372,0.27607089281082153,0.2641109228134155,0.26237669587135315,0.45503583550453186,0.47537946701049805,0.3528250455856323,0.3736826181411743,0.013574101030826569,0.26237669587135315,0.3783375024795532,0.23051196336746216,0.2513774335384369,0.23024742305278778,0.23916715383529663
troubled,0.2760825455188751,0.2555915117263794,0.24792376160621643,0.23306453227996826,0.23112402856349945,0.23132020235061646,0.1744316667318344,0.21001991629600525,0.31925463676452637,0.29979583621025085,0.31108567118644714,-0.0017819572240114212,0.1744316667318344,0.34296396374702454,0.28381791710853577,0.34416070580482483,0.15646465122699738,0.17563851177692413
gestation,0.2212434709072113,0.15981660783290863,0.3400476574897766,0.18219052255153656,0.26154664158821106,0.21097072958946228,0.21991945803165436,0.2794664800167084,0.31228819489479065,0.32025420665740967,0.221173495054245,0.06735147535800934,0.21991945803165436,0.23121377825737,0.20039501786231995,0.1749146431684494,0.21220651268959045,0.175550177693367
during,0.24137552082538605,0.30679523944854736,0.4838213622570038,0.32123544812202454,0.20018534362316132,0.13634565472602844,0.1831897497177124,0.2828781306743622,0.31487685441970825,0.31528279185295105,0.2584671974182129,-0.0201399028301239,0.1831897497177124,0.28545209765434265,0.3071860373020172,0.21049532294273376,0.2162950336933136,0.1325719803571701
which,0.5261979103088379,0.2750149369239807,0.6521818041801453,0.2002280354499817,0.3691171407699585,0.24059362709522247,0.31153854727745056,0.5345056653022766,0.6894589066505432,0.5165667533874512,0.3928161859512329,-0.17106275260448456,0.31153854727745056,0.46403205394744873,0.33736780285835266,0.28503990173339844,0.32048147916793823,0.25814583897590637
its,0.30393704771995544,0.19922670722007751,0.559237003326416,0.17934063076972961,0.255331426858902,0.2546215355396271,0.18495778739452362,0.3691340684890747,0.416561484336853,0.36212384700775146,0.22975394129753113,-0.10862240195274353,0.18495778739452362,0.3087116777896881,0.21144020557403564,0.2625470757484436,0.13810062408447266,0.15103481709957123
creator,0.19329462945461273,0.14352339506149292,0.20919115841388702,0.23689401149749756,0.18292169272899628,0.14439107477664948,0.16306006908416748,0.22396360337734222,0.29275891184806824,0.11461815237998962,0.20858240127563477,0.02778122015297413,0.16306006908416748,0.17204932868480682,0.14668376743793488,0.14851097762584686,0.14512188732624054,0.2028008997440338
resigned,0.2188267707824707,0.32495298981666565,0.2411459982395172,0.2830994427204132,0.20280759036540985,0.17068710923194885,0.1943722367286682,0.25936076045036316,0.22515009343624115,0.18541394174098969,0.23300674557685852,0.10287041962146759,0.1943722367286682,0.16351859271526337,0.2528591454029083,0.29434311389923096,0.11983151733875275,0.1498192995786667
",",0.3087472915649414,0.3015086054801941,0.4933079481124878,0.33356741070747375,0.24557842314243317,0.15941546857357025,0.3283645510673523,0.44245919585227966,0.4137537479400635,0.390799880027771,0.27399855852127075,0.11016341298818588,0.3283645510673523,0.4120737314224243,0.26843470335006714,0.25465908646583557,0.2795305550098419,0.31091248989105225
bankamericard,0.23255054652690887,0.21366719901561737,0.3408088982105255,1.0000001192092896,0.14599323272705078,0.29547783732414246,0.14881853759288788,0.2358243614435196,0.2668836712837219,0.2532556653022766,0.1924295574426651,0.12748636305332184,0.14881853759288788,0.22040633857250214,0.20789438486099243,0.3872261941432953,0.1466713845729828,0.18920069932937622
went,0.20164033770561218,0.4810470640659332,0.3345835506916046,0.28224655985832214,0.24879363179206848,0.15902581810951233,0.20730239152908325,0.33234721422195435,0.1990986317396164,0.3310505151748657,0.3807671368122101,-0.04908423125743866,0.20730239152908325,0.22259940207004547,0.19328191876411438,0.20144851505756378,0.18383879959583282,0.12109432369470596
