,the,frequent,availability,of,what,substance,allowed,land-based,steam,engines,to,exhaust,a,great,deal,of,steam,?
land-based,0.3537791967391968,0.16398896276950836,0.2902756333351135,0.37538668513298035,0.2882167100906372,0.2791364789009094,0.23185107111930847,1.0,0.2065337747335434,0.31738412380218506,0.2856474816799164,0.2199220210313797,0.34396618604660034,0.1703244298696518,0.18297751247882843,0.37538668513298035,0.2065337747335434,0.2360498607158661
steam,0.23105813562870026,0.23604559898376465,0.2751232087612152,0.20239725708961487,0.15672586858272552,0.24603818356990814,0.23484934866428375,0.2065337747335434,1.0000001192092896,0.4903687536716461,0.22894427180290222,0.4040066599845886,0.2141898274421692,0.19214312732219696,0.1534227877855301,0.20239725708961487,1.0000001192092896,0.113324373960495
engines,0.2245008647441864,0.15802748501300812,0.2546294033527374,0.17593856155872345,0.1634974628686905,0.26179608702659607,0.24744105339050293,0.31738412380218506,0.4903687536716461,1.0000001192092896,0.24536406993865967,0.4951680302619934,0.20574161410331726,0.12504151463508606,0.19839976727962494,0.17593856155872345,0.4903687536716461,0.18940703570842743
could,0.35393214225769043,0.2392834722995758,0.2177136242389679,0.29043012857437134,0.4188697934150696,0.2553808391094208,0.5727928876876831,0.21887074410915375,0.23015202581882477,0.2574275732040405,0.5461788773536682,0.2846313714981079,0.3736826181411743,0.18744300305843353,0.27809083461761475,0.29043012857437134,0.23015202581882477,0.3411986827850342
exhaust,0.2500286400318146,0.22213853895664215,0.27704694867134094,0.21567419171333313,0.1970054805278778,0.3594246208667755,0.26506367325782776,0.2199220210313797,0.4040066599845886,0.4951680302619934,0.2812638282775879,0.9999999403953552,0.3041450083255768,0.15754738450050354,0.2520681917667389,0.21567419171333313,0.4040066599845886,0.1444300264120102
much,0.35023224353790283,0.2908909022808075,0.36083728075027466,0.2671096920967102,0.45316147804260254,0.3267499506473541,0.2546635568141937,0.21524320542812347,0.24167369306087494,0.2845681309700012,0.40610215067863464,0.3111003339290619,0.2958075702190399,0.3239916265010834,0.31275326013565063,0.2671096920967102,0.24167369306087494,0.23442231118679047
of,0.733189046382904,0.17798742651939392,0.2213287055492401,1.0,0.33290785551071167,0.23127788305282593,0.2699741721153259,0.37538668513298035,0.20239725708961487,0.17593856155872345,0.41548454761505127,0.21567419171333313,0.5052502155303955,0.3168134391307831,0.22831951081752777,1.0,0.20239725708961487,0.1826142966747284
their,0.516537070274353,0.2478998601436615,0.24351242184638977,0.4329940676689148,0.35142919421195984,0.2600424587726593,0.3752504289150238,0.23596589267253876,0.17527107894420624,0.22963929176330566,0.44619059562683105,0.27989616990089417,0.29698723554611206,0.1647208034992218,0.2334633767604828,0.4329940676689148,0.17527107894420624,0.1898253709077835
steam,0.23105813562870026,0.23604559898376465,0.2751232087612152,0.20239725708961487,0.15672586858272552,0.24603818356990814,0.23484934866428375,0.2065337747335434,1.0000001192092896,0.4903687536716461,0.22894427180290222,0.4040066599845886,0.2141898274421692,0.19214312732219696,0.1534227877855301,0.20239725708961487,1.0000001192092896,0.113324373960495
",",0.4933079481124878,0.1712440401315689,0.182151660323143,0.4946078956127167,0.3087472915649414,0.21864232420921326,0.2785535454750061,0.34513789415359497,0.2264556586742401,0.20245449244976044,0.44245919585227966,0.19490349292755127,0.427140474319458,0.29579275846481323,0.2716866135597229,0.4946078956127167,0.2264556586742401,0.31091248989105225
as,0.48381632566452026,0.31182143092155457,0.20797176659107208,0.3886612355709076,0.31749409437179565,0.2623814642429352,0.23990891873836517,0.2709318697452545,0.20776431262493134,0.17400804162025452,0.42092081904411316,0.20186255872249603,0.39550232887268066,0.18627990782260895,0.2102150321006775,0.3886612355709076,0.20776431262493134,0.27043893933296204
feed,0.2381063848733902,0.19900621473789215,0.2998899817466736,0.13772912323474884,0.24202558398246765,0.2665766477584839,0.29448431730270386,0.24413634836673737,0.2657783627510071,0.2248198539018631,0.2905908226966858,0.2389211505651474,0.22033396363258362,0.1253434270620346,0.12503044307231903,0.13772912323474884,0.2657783627510071,0.19348634779453278
water,0.297396719455719,0.1868455559015274,0.2652170658111572,0.2741255462169647,0.17456887662410736,0.39286908507347107,0.2156393975019455,0.314190149307251,0.43059393763542175,0.247458353638649,0.27858173847198486,0.32511743903160095,0.2979097068309784,0.17805342376232147,0.1096215695142746,0.2741255462169647,0.43059393763542175,0.14731885492801666
was,0.48711544275283813,0.11984183639287949,0.10778826475143433,0.4069072902202606,0.22111038863658905,0.20017051696777344,0.27499085664749146,0.36027148365974426,0.16913670301437378,0.18948708474636078,0.3636345863342285,0.13851715624332428,0.4508470594882965,0.19652196764945984,0.19347058236598969,0.4069072902202606,0.16913670301437378,0.18412111699581146
