,what,did,al-gama'a,al-islamiyya,use,to,get,its,way,?
another,0.4190070629119873,0.29175329208374023,0.25043851137161255,0.23299042880535126,0.2898416519165039,0.48769932985305786,0.3407246768474579,0.3607913851737976,0.4086535573005676,0.295511931180954
of,0.33290785551071167,0.2513895630836487,0.31244853138923645,0.2622421681880951,0.2750902473926544,0.41548454761505127,0.26628199219703674,0.48690423369407654,0.266871839761734,0.1826142966747284
the,0.42745697498321533,0.34736719727516174,0.2979414463043213,0.2713913917541504,0.34342584013938904,0.535392165184021,0.29667025804519653,0.559237003326416,0.36217406392097473,0.22068053483963013
egyptian,0.15441232919692993,0.17705166339874268,0.38001108169555664,0.43456876277923584,0.17824238538742065,0.16856767237186432,0.1551084667444229,0.1305152177810669,0.13520608842372894,0.14169205725193024
groups,0.23137421905994415,0.1589982509613037,0.21455396711826324,0.2218807190656662,0.2616036832332611,0.24181967973709106,0.19621947407722473,0.16035817563533783,0.266919881105423,0.14349548518657684
which,0.5261979103088379,0.2750149369239807,0.27640900015830994,0.24397152662277222,0.39254313707351685,0.5345056653022766,0.3393840193748474,0.5154205560684204,0.4262211322784424,0.25814583897590637
employed,0.15165269374847412,0.24664080142974854,0.14892292022705078,0.16570661962032318,0.3006962239742279,0.22010761499404907,0.18165576457977295,0.16077645123004913,0.22787463665008545,0.1261894851922989
violence,0.24788525700569153,0.22152221202850342,0.24212314188480377,0.3589041829109192,0.2308146208524704,0.20034150779247284,0.178860142827034,0.22270320355892181,0.21922974288463593,0.20634515583515167
in,0.30808621644973755,0.2593238651752472,0.2337711900472641,0.2243892103433609,0.2715643048286438,0.45010748505592346,0.24899829924106598,0.3793783485889435,0.30444321036338806,0.20430970191955566
their,0.35142919421195984,0.38078752160072327,0.18075329065322876,0.2008889764547348,0.3415622115135193,0.44619059562683105,0.3513234853744507,0.5367968082427979,0.34286630153656006,0.1898253709077835
struggle,0.23432134091854095,0.21746955811977386,0.23815792798995972,0.2707252502441406,0.20466506481170654,0.2529485523700714,0.23644188046455383,0.19654519855976105,0.25651928782463074,0.1330908089876175
for,0.3017193675041199,0.318512886762619,0.24613690376281738,0.196233332157135,0.47655582427978516,0.4451248347759247,0.342695415019989,0.2992613911628723,0.384344220161438,0.264628142118454
islamic,0.2204568088054657,0.17371372878551483,0.33463242650032043,0.7918453216552734,0.14096450805664062,0.1969100832939148,0.12798213958740234,0.2048245519399643,0.1551191806793213,0.1692383587360382
order,0.16634008288383484,0.22891858220100403,0.1386711448431015,0.16325262188911438,0.21620488166809082,0.35544881224632263,0.20418818295001984,0.18860116600990295,0.23092643916606903,0.13725648820400238
was,0.22111038863658905,0.41399896144866943,0.24826769530773163,0.2833620309829712,0.17744606733322144,0.3636345863342285,0.2066597044467926,0.3518870174884796,0.2418399453163147,0.18412111699581146
al-gama'a,0.2528052031993866,0.20490151643753052,1.0,0.5231770277023315,0.20356090366840363,0.21836361289024353,0.1163271889090538,0.20575065910816193,0.23056289553642273,0.22102928161621094
al-islamiyya,0.2596178650856018,0.2162598967552185,0.5231770277023315,0.9999999403953552,0.13454848527908325,0.22248080372810364,0.1645868420600891,0.19754770398139954,0.20659980177879333,0.2059359848499298
(,0.2411840260028839,0.18979617953300476,0.24995318055152893,0.18679113686084747,0.2174896001815796,0.30882009863853455,0.2644343078136444,0.1924784928560257,0.19188208878040314,0.40561532974243164
islamic,0.2204568088054657,0.17371372878551483,0.33463242650032043,0.7918453216552734,0.14096450805664062,0.1969100832939148,0.12798213958740234,0.2048245519399643,0.1551191806793213,0.1692383587360382
group,0.2114069163799286,0.13719572126865387,0.23964831233024597,0.26639947295188904,0.19938069581985474,0.2672896385192871,0.20921459794044495,0.2008703351020813,0.23319360613822937,0.13827809691429138
),0.26259949803352356,0.18584993481636047,0.27719220519065857,0.23340116441249847,0.23662498593330383,0.31236231327056885,0.26274725794792175,0.20629894733428955,0.21187807619571686,0.42300865054130554
.,0.3567904531955719,0.35288307070732117,0.3318638801574707,0.2824878990650177,0.3711656630039215,0.4645031690597534,0.39392393827438354,0.3566088080406189,0.33520638942718506,0.4130953550338745
