,what,did,abc,contribute,to,the,20th,anniversary,special,?
the,0.42745697498321533,0.34736719727516174,0.2068762183189392,0.21503010392189026,0.535392165184021,1.0,0.3097512125968933,0.29318708181381226,0.3027077615261078,0.22068053483963013
abc,0.1317344456911087,0.13353709876537323,1.0000001192092896,0.09133224934339523,0.1762417107820511,0.2068762183189392,0.1894952654838562,0.22889697551727295,0.16786715388298035,0.19065172970294952
also,0.42747777700424194,0.39334940910339355,0.2030053734779358,0.24196958541870117,0.5348826050758362,0.6021018624305725,0.24755780398845673,0.17701663076877594,0.34527871012687683,0.21848613023757935
provided,0.2206064909696579,0.2778315246105194,0.1231839656829834,0.30965498089790344,0.28066325187683105,0.304488867521286,0.16810928285121918,0.13633392751216888,0.2218928337097168,0.16893617808818817
partial,0.24140220880508423,0.15579922497272491,0.002894739620387554,0.20533649623394012,0.19141130149364471,0.2313118278980255,0.11399513483047485,0.08070774376392365,0.18852446973323822,0.16151700913906097
funding,0.2725590467453003,0.24792753159999847,0.16881875693798065,0.41635119915008545,0.3602164685726166,0.3006567358970642,0.1474311500787735,0.25311189889907837,0.17367060482501984,0.1842934638261795
for,0.3017193675041199,0.318512886762619,0.22510288655757904,0.3019057810306549,0.4451248347759247,0.4739971458911896,0.19465364515781403,0.24768374860286713,0.311454176902771,0.264628142118454
the,0.42745697498321533,0.34736719727516174,0.2068762183189392,0.21503010392189026,0.535392165184021,1.0,0.3097512125968933,0.29318708181381226,0.3027077615261078,0.22068053483963013
20th,0.1850772649049759,0.12900345027446747,0.1894952654838562,0.14539706707000732,0.20756898820400238,0.3097512125968933,1.0,0.31932532787323,0.14550115168094635,0.14985637366771698
anniversary,0.15616674721240997,0.21896307170391083,0.22889697551727295,0.1713404804468155,0.16979461908340454,0.29318708181381226,0.31932532787323,1.0,0.3297252953052521,0.1981802135705948
special,0.24134232103824615,0.20785176753997803,0.16786715388298035,0.2271944284439087,0.28623831272125244,0.3027077615261078,0.14550115168094635,0.3297252953052521,1.0000001192092896,0.29623302817344666
the,0.42745697498321533,0.34736719727516174,0.2068762183189392,0.21503010392189026,0.535392165184021,1.0,0.3097512125968933,0.29318708181381226,0.3027077615261078,0.22068053483963013
five,0.18688078224658966,0.1999429613351822,0.14211930334568024,0.11735042929649353,0.29041585326194763,0.41977158188819885,0.1854521483182907,0.2505345642566681,0.17902345955371857,0.18342848122119904
doctors,0.28694474697113037,0.28996434807777405,0.055585648864507675,0.15235820412635803,0.2947743237018585,0.24499839544296265,0.1520397663116455,0.13385212421417236,0.2336871474981308,0.19305896759033203
in,0.30808621644973755,0.2593238651752472,0.1697147786617279,0.2068682163953781,0.45010748505592346,0.6662389636039734,0.20743919909000397,0.25491592288017273,0.2897285223007202,0.20430970191955566
1983,0.025786560028791428,0.04747678339481354,0.12831369042396545,0.07260838896036148,-0.05231504887342453,-0.019107989966869354,0.024738717824220657,-0.024536024779081345,-0.0032942963298410177,0.09926492720842361
.,0.3567904531955719,0.35288307070732117,0.2567209303379059,0.26095086336135864,0.4645031690597534,0.5934505462646484,0.2806432545185089,0.2281392365694046,0.26337340474128723,0.4130953550338745
