,when,did,the,il-khanate,experiment,with,paper,money,?
the,0.5091903209686279,0.34736719727516174,1.0,0.26451852917671204,0.168198361992836,0.4223487675189972,0.2077420949935913,0.2699695825576782,0.22068053483963013
il-khanate,0.2181515395641327,0.1524742841720581,0.26451852917671204,1.0000001192092896,0.12066223472356796,0.1914745420217514,0.2170766294002533,0.19087637960910797,0.16967196762561798
government,0.23078718781471252,0.2792121469974518,0.31798112392425537,0.317808598279953,0.11416604369878769,0.2035938799381256,0.20377087593078613,0.41245928406715393,0.18851417303085327
issued,0.18766894936561584,0.2733176648616791,0.22837360203266144,0.15578658878803253,0.08516024798154831,0.17334161698818207,0.3089936673641205,0.2329452633857727,0.169851616024971
paper,0.2627309560775757,0.2034338414669037,0.2077420949935913,0.2170766294002533,0.2929675579071045,0.2179279774427414,0.9999998807907104,0.26961252093315125,0.12693770229816437
money,0.261506587266922,0.3498571217060089,0.2699695825576782,0.19087637960910797,0.16969093680381775,0.2095198929309845,0.26961252093315125,0.9999998807907104,0.2069680541753769
in,0.4431333839893341,0.2593238651752472,0.6662389636039734,0.2019803822040558,0.1938578486442566,0.4080928862094879,0.18605142831802368,0.2393328845500946,0.20430970191955566
1294,0.2203310877084732,0.07598394900560379,0.09579470008611679,-0.015504381619393826,0.06130535900592804,0.14485803246498108,0.07169289141893387,0.0504002645611763,0.050814855843782425
",",0.36674630641937256,0.3015086054801941,0.4933079481124878,0.24872557818889618,0.19933569431304932,0.4120737314224243,0.2304661124944687,0.24156853556632996,0.31091248989105225
but,0.5599016547203064,0.49033689498901367,0.4859698414802551,0.25108885765075684,0.2329213172197342,0.4495173394680023,0.24718722701072693,0.30705881118774414,0.27921953797340393
public,0.18564704060554504,0.19092120230197906,0.22857438027858734,0.13786406815052032,0.11979808658361435,0.17061910033226013,0.15674570202827454,0.2930757403373718,0.19872993230819702
distrust,0.3026540279388428,0.2840863764286041,0.24463175237178802,0.2377176731824875,0.20709745585918427,0.2577309012413025,0.15224134922027588,0.2513236999511719,0.20761649310588837
of,0.3757161796092987,0.2513895630836487,0.733189046382904,0.25263160467147827,0.12456657737493515,0.41827285289764404,0.19050662219524384,0.23114095628261566,0.1826142966747284
the,0.5091903209686279,0.34736719727516174,1.0,0.26451852917671204,0.168198361992836,0.4223487675189972,0.2077420949935913,0.2699695825576782,0.22068053483963013
exotic,0.16317883133888245,0.12990665435791016,0.19988848268985748,0.1250954419374466,0.2582533657550812,0.22801607847213745,0.15228211879730225,0.20448333024978638,0.10570502281188965
new,0.257220059633255,0.227974995970726,0.3845241069793701,0.13631115853786469,0.18393081426620483,0.24325589835643768,0.1730293184518814,0.2387741506099701,0.14782847464084625
currency,0.1398850828409195,0.09366574138402939,0.20077890157699585,0.30509883165359497,0.046238385140895844,0.10516214370727539,0.2479703724384308,0.43008002638816833,0.15155024826526642
doomed,0.2345549464225769,0.2915661036968231,0.2333817183971405,0.2177015095949173,0.21593749523162842,0.2900698184967041,0.09246829152107239,0.19589467346668243,0.36091184616088867
the,0.5091903209686279,0.34736719727516174,1.0,0.26451852917671204,0.168198361992836,0.4223487675189972,0.2077420949935913,0.2699695825576782,0.22068053483963013
experiment,0.29783669114112854,0.23614230751991272,0.168198361992836,0.12066223472356796,1.0000001192092896,0.21030481159687042,0.2929675579071045,0.16969093680381775,0.14968745410442352
.,0.475719153881073,0.35288307070732117,0.5934505462646484,0.22224512696266174,0.23954947292804718,0.4446153938770294,0.2429187148809433,0.2570818066596985,0.4130953550338745
